round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1015,0.1015,2.3044,0.00,196.36,196.36
2,0.3643,0.1084,1.7184,196.36,196.36,392.73
3,0.5679,0.1340,1.3883,196.36,196.36,392.73
4,0.7844,0.1733,1.0573,196.36,196.36,392.73
5,0.8844,0.2154,0.7992,196.36,196.36,392.73
6,0.9260,0.2567,0.6268,196.36,196.36,392.73
7,0.9453,0.2748,0.5094,196.36,196.36,392.73
8,0.9583,0.2849,0.4236,196.36,196.36,392.73
9,0.9653,0.2877,0.3626,196.36,196.36,392.73
10,0.9706,0.2901,0.3161,196.36,196.36,392.73
11,0.9733,0.2918,0.2802,196.36,196.36,392.73
12,0.9765,0.2947,0.2503,196.36,196.36,392.73
13,0.9777,0.2964,0.2270,196.36,196.36,392.73
14,0.9786,0.2996,0.2076,196.36,196.36,392.73
15,0.9801,0.3022,0.1909,196.36,196.36,392.73
16,0.9808,0.3046,0.1754,196.36,196.36,392.73
17,0.9816,0.3070,0.1648,196.36,196.36,392.73
18,0.9824,0.3107,0.1540,196.36,196.36,392.73
19,0.9834,0.3133,0.1439,196.36,196.36,392.73
20,0.9843,0.3153,0.1366,196.36,196.36,392.73
21,0.9849,0.3176,0.1294,196.36,196.36,392.73
22,0.9857,0.3211,0.1231,196.36,196.36,392.73
23,0.9862,0.3210,0.1173,196.36,196.36,392.73
24,0.9878,0.3213,0.1157,196.36,196.36,392.73
25,0.9877,0.3242,0.1075,196.36,196.36,392.73
26,0.9881,0.3264,0.1044,196.36,196.36,392.73
27,0.9888,0.3304,0.0995,196.36,196.36,392.73
28,0.9891,0.3293,0.0962,196.36,196.36,392.73
29,0.9894,0.3320,0.0931,196.36,196.36,392.73
30,0.9892,0.3353,0.0940,196.36,196.36,392.73
31,0.9896,0.3387,0.0879,196.36,196.36,392.73
32,0.9902,0.3353,0.0839,196.36,196.36,392.73
33,0.9902,0.3370,0.0808,196.36,196.36,392.73
34,0.9905,0.3362,0.0788,196.36,196.36,392.73
35,0.9909,0.3354,0.0758,196.36,196.36,392.73
36,0.9918,0.3372,0.0733,196.36,196.36,392.73
37,0.9918,0.3363,0.0709,196.36,196.36,392.73
38,0.9904,0.3323,0.0801,196.36,196.36,392.73
39,0.9914,0.3346,0.0695,196.36,196.36,392.73
40,0.9920,0.3373,0.0656,196.36,196.36,392.73
41,0.9922,0.3372,0.0638,196.36,196.36,392.73
42,0.9921,0.3363,0.0617,196.36,196.36,392.73
43,0.9920,0.3364,0.0603,196.36,196.36,392.73
44,0.9922,0.3389,0.0617,196.36,196.36,392.73
45,0.9926,0.3411,0.0578,196.36,196.36,392.73
46,0.9926,0.3378,0.0573,196.36,196.36,392.73
47,0.9927,0.3355,0.0550,196.36,196.36,392.73
48,0.9927,0.3384,0.0534,196.36,196.36,392.73
49,0.9930,0.3376,0.0519,196.36,196.36,392.73
50,0.9930,0.3361,0.0513,196.36,196.36,392.73
51,0.9931,0.3369,0.0491,196.36,196.36,392.73
52,0.9930,0.3366,0.0485,196.36,196.36,392.73
53,0.9930,0.3370,0.0470,196.36,196.36,392.73
54,0.9931,0.3371,0.0459,196.36,196.36,392.73
55,0.9934,0.3355,0.0450,196.36,196.36,392.73
56,0.9933,0.3339,0.0441,196.36,196.36,392.73
57,0.9935,0.3361,0.0435,196.36,196.36,392.73
58,0.9932,0.3361,0.0434,196.36,196.36,392.73
59,0.9935,0.3371,0.0425,196.36,196.36,392.73
60,0.9934,0.3363,0.0426,196.36,196.36,392.73
61,0.9935,0.3356,0.0402,196.36,196.36,392.73
62,0.9935,0.3338,0.0389,196.36,196.36,392.73
63,0.9935,0.3330,0.0382,196.36,196.36,392.73
64,0.9935,0.3318,0.0374,196.36,196.36,392.73
65,0.9932,0.3326,0.0389,196.36,196.36,392.73
66,0.9936,0.3298,0.0371,196.36,196.36,392.73
67,0.9937,0.3298,0.0368,196.36,196.36,392.73
68,0.9935,0.3291,0.0349,196.36,196.36,392.73
69,0.9936,0.3266,0.0346,196.36,196.36,392.73
70,0.9936,0.3261,0.0340,196.36,196.36,392.73
71,0.9938,0.3282,0.0330,196.36,196.36,392.73
72,0.9934,0.3243,0.0340,196.36,196.36,392.73
73,0.9942,0.3264,0.0315,196.36,196.36,392.73
74,0.9942,0.3286,0.0310,196.36,196.36,392.73
75,0.9940,0.3283,0.0306,196.36,196.36,392.73
76,0.9939,0.3291,0.0313,196.36,196.36,392.73
77,0.9942,0.3293,0.0303,196.36,196.36,392.73
78,0.9939,0.3297,0.0304,196.36,196.36,392.73
79,0.9939,0.3306,0.0299,196.36,196.36,392.73
80,0.9940,0.3302,0.0293,196.36,196.36,392.73
81,0.9943,0.3295,0.0282,196.36,196.36,392.73
82,0.9945,0.3289,0.0281,196.36,196.36,392.73
