round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3032,0.00,196.36,196.36
2,0.4357,,2.1292,196.36,196.36,392.73
3,0.6223,,1.3564,196.36,196.36,392.73
4,0.6598,,0.8549,196.36,196.36,392.73
5,0.6725,,0.6315,196.36,196.36,392.73
6,0.6812,,0.5006,196.36,196.36,392.73
7,0.6867,,0.4140,196.36,196.36,392.73
8,0.6890,,0.3530,196.36,196.36,392.73
9,0.6903,,0.3086,196.36,196.36,392.73
10,0.6915,,0.2747,196.36,196.36,392.73
11,0.6930,,0.2472,196.36,196.36,392.73
12,0.6938,,0.2255,196.36,196.36,392.73
13,0.6952,,0.2075,196.36,196.36,392.73
14,0.6960,,0.1935,196.36,196.36,392.73
15,0.6965,,0.1814,196.36,196.36,392.73
16,0.6970,,0.1709,196.36,196.36,392.73
17,0.6987,,0.1618,196.36,196.36,392.73
18,0.7009,,0.1529,196.36,196.36,392.73
19,0.7041,,0.1458,196.36,196.36,392.73
20,0.7075,,0.1392,196.36,196.36,392.73
21,0.7099,,0.1333,196.36,196.36,392.73
22,0.7120,,0.1281,196.36,196.36,392.73
23,0.7132,,0.1236,196.36,196.36,392.73
24,0.7146,,0.1192,196.36,196.36,392.73
25,0.7156,,0.1149,196.36,196.36,392.73
26,0.7169,,0.1113,196.36,196.36,392.73
27,0.7173,,0.1079,196.36,196.36,392.73
28,0.7178,,0.1043,196.36,196.36,392.73
29,0.7184,,0.1018,196.36,196.36,392.73
30,0.7189,,0.0985,196.36,196.36,392.73
31,0.7199,,0.0958,196.36,196.36,392.73
32,0.7207,,0.0932,196.36,196.36,392.73
33,0.7209,,0.0908,196.36,196.36,392.73
34,0.7204,,0.0893,196.36,196.36,392.73
35,0.7218,,0.0867,196.36,196.36,392.73
36,0.7221,,0.0847,196.36,196.36,392.73
37,0.7228,,0.0824,196.36,196.36,392.73
38,0.7229,,0.0802,196.36,196.36,392.73
39,0.7241,,0.0784,196.36,196.36,392.73
40,0.7243,,0.0772,196.36,196.36,392.73
41,0.7252,,0.0755,196.36,196.36,392.73
42,0.7261,,0.0739,196.36,196.36,392.73
43,0.7260,,0.0718,196.36,196.36,392.73
44,0.7263,,0.0702,196.36,196.36,392.73
45,0.7270,,0.0690,196.36,196.36,392.73
46,0.7279,,0.0676,196.36,196.36,392.73
47,0.7283,,0.0661,196.36,196.36,392.73
48,0.7285,,0.0647,196.36,196.36,392.73
49,0.7287,,0.0636,196.36,196.36,392.73
50,0.7293,,0.0622,196.36,196.36,392.73
51,0.7292,,0.0614,196.36,196.36,392.73
52,0.7301,,0.0604,196.36,196.36,392.73
53,0.7304,,0.0593,196.36,196.36,392.73
54,0.7306,,0.0578,196.36,196.36,392.73
55,0.7306,,0.0574,196.36,196.36,392.73
56,0.7306,,0.0565,196.36,196.36,392.73
57,0.7313,,0.0555,196.36,196.36,392.73
58,0.7313,,0.0545,196.36,196.36,392.73
59,0.7321,,0.0535,196.36,196.36,392.73
60,0.7321,,0.0525,196.36,196.36,392.73
61,0.7315,,0.0517,196.36,196.36,392.73
62,0.7316,,0.0506,196.36,196.36,392.73
63,0.7317,,0.0499,196.36,196.36,392.73
64,0.7320,,0.0490,196.36,196.36,392.73
65,0.7314,,0.0485,196.36,196.36,392.73
66,0.7320,,0.0475,196.36,196.36,392.73
67,0.7316,,0.0469,196.36,196.36,392.73
68,0.7317,,0.0462,196.36,196.36,392.73
69,0.7318,,0.0454,196.36,196.36,392.73
70,0.7321,,0.0446,196.36,196.36,392.73
71,0.7319,,0.0439,196.36,196.36,392.73
72,0.7320,,0.0433,196.36,196.36,392.73
73,0.7320,,0.0427,196.36,196.36,392.73
74,0.7321,,0.0420,196.36,196.36,392.73
75,0.7320,,0.0413,196.36,196.36,392.73
76,0.7317,,0.0408,196.36,196.36,392.73
77,0.7315,,0.0403,196.36,196.36,392.73
78,0.7313,,0.0398,196.36,196.36,392.73
79,0.7313,,0.0392,196.36,196.36,392.73
80,0.7316,,0.0389,196.36,196.36,392.73
81,0.7315,,0.0384,196.36,196.36,392.73
82,0.7316,,0.0376,196.36,196.36,392.73
83,0.7317,,0.0371,196.36,196.36,392.73
84,0.7315,,0.0367,196.36,196.36,392.73
85,0.7316,,0.0363,196.36,196.36,392.73
86,0.7312,,0.0354,196.36,196.36,392.73
87,0.7313,,0.0349,196.36,196.36,392.73
88,0.7317,,0.0345,196.36,196.36,392.73
89,0.7312,,0.0342,196.36,196.36,392.73
90,0.7307,,0.0338,196.36,196.36,392.73
91,0.7312,,0.0336,196.36,196.36,392.73
92,0.7309,,0.0327,196.36,196.36,392.73
93,0.7312,,0.0326,196.36,196.36,392.73
94,0.7312,,0.0324,196.36,196.36,392.73
95,0.7311,,0.0318,196.36,196.36,392.73
96,0.7313,,0.0314,196.36,196.36,392.73
97,0.7311,,0.0311,196.36,196.36,392.73
98,0.7307,,0.0302,196.36,196.36,392.73
99,0.7309,,0.0301,196.36,196.36,392.73
100,0.7308,,0.0298,196.36,196.36,392.73
101,0.7305,,0.0297,196.36,196.36,392.73
