round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1016,0.1016,2.3031,0.00,0.00,0.00
2,0.8055,0.1043,1.2597,196.36,196.36,392.73
3,0.8648,0.1220,0.7500,196.36,196.36,392.73
4,0.8904,0.1310,0.5356,196.36,196.36,392.73
5,0.8985,0.1352,0.4049,196.36,196.36,392.73
6,0.9102,0.1457,0.3584,196.36,196.36,392.73
7,0.9160,0.1513,0.3088,196.36,196.36,392.73
8,0.9186,0.1540,0.2842,196.36,196.36,392.73
9,0.9198,0.1581,0.2543,196.36,196.36,392.73
10,0.9249,0.1636,0.2368,196.36,196.36,392.73
11,0.9311,0.1722,0.2193,196.36,196.36,392.73
12,0.9325,0.1773,0.2101,196.36,196.36,392.73
13,0.9350,0.1833,0.1983,196.36,196.36,392.73
14,0.9408,0.1888,0.1794,196.36,196.36,392.73
15,0.9432,0.1955,0.1774,196.36,196.36,392.73
16,0.9447,0.1954,0.1755,196.36,196.36,392.73
17,0.9464,0.1977,0.1677,196.36,196.36,392.73
18,0.9470,0.2015,0.1650,196.36,196.36,392.73
19,0.9493,0.2036,0.1592,196.36,196.36,392.73
20,0.9502,0.2082,0.1486,196.36,196.36,392.73
21,0.9525,0.2133,0.1451,196.36,196.36,392.73
22,0.9531,0.2160,0.1478,196.36,196.36,392.73
23,0.9527,0.2163,0.1397,196.36,196.36,392.73
24,0.9531,0.2155,0.1376,196.36,196.36,392.73
25,0.9550,0.2178,0.1338,196.36,196.36,392.73
26,0.9560,0.2217,0.1331,196.36,196.36,392.73
27,0.9561,0.2216,0.1309,196.36,196.36,392.73
28,0.9570,0.2272,0.1246,196.36,196.36,392.73
29,0.9573,0.2279,0.1265,196.36,196.36,392.73
30,0.9573,0.2298,0.1234,196.36,196.36,392.73
31,0.9584,0.2290,0.1213,196.36,196.36,392.73
32,0.9584,0.2332,0.1220,196.36,196.36,392.73
33,0.9611,0.2378,0.1152,196.36,196.36,392.73
34,0.9582,0.2373,0.1178,196.36,196.36,392.73
35,0.9616,0.2385,0.1119,196.36,196.36,392.73
36,0.9612,0.2397,0.1096,196.36,196.36,392.73
37,0.9626,0.2445,0.1083,196.36,196.36,392.73
38,0.9596,0.2384,0.1158,196.36,196.36,392.73
39,0.9614,0.2427,0.1094,196.36,196.36,392.73
40,0.9625,0.2453,0.1034,196.36,196.36,392.73
41,0.9633,0.2444,0.1028,196.36,196.36,392.73
42,0.9647,0.2495,0.1003,196.36,196.36,392.73
43,0.9651,0.2487,0.1008,196.36,196.36,392.73
44,0.9642,0.2454,0.1016,196.36,196.36,392.73
45,0.9622,0.2434,0.1026,196.36,196.36,392.73
46,0.9619,0.2464,0.0997,196.36,196.36,392.73
47,0.9644,0.2532,0.0977,196.36,196.36,392.73
48,0.9653,0.2522,0.0960,196.36,196.36,392.73
49,0.9639,0.2555,0.0944,196.36,196.36,392.73
50,0.9659,0.2551,0.0935,196.36,196.36,392.73
51,0.9632,0.2541,0.1066,196.36,196.36,392.73
52,0.9650,0.2547,0.0942,196.36,196.36,392.73
53,0.9662,0.2584,0.0911,196.36,196.36,392.73
54,0.9636,0.2560,0.0922,196.36,196.36,392.73
55,0.9654,0.2579,0.0944,196.36,196.36,392.73
56,0.9662,0.2592,0.0930,196.36,196.36,392.73
57,0.9655,0.2605,0.0943,196.36,196.36,392.73
58,0.9674,0.2616,0.0875,196.36,196.36,392.73
59,0.9665,0.2604,0.0876,196.36,196.36,392.73
60,0.9658,0.2592,0.0916,196.36,196.36,392.73
61,0.9672,0.2619,0.0883,196.36,196.36,392.73
62,0.9643,0.2624,0.0921,196.36,196.36,392.73
63,0.9656,0.2599,0.0882,196.36,196.36,392.73
64,0.9683,0.2650,0.0828,196.36,196.36,392.73
65,0.9647,0.2599,0.0958,196.36,196.36,392.73
