round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0968,0.0968,2.3030,0.00,0.00,0.00
2,0.5366,0.2307,1.6645,78.55,78.55,157.09
3,0.6239,0.2965,1.2141,78.55,78.55,157.09
4,0.6934,0.3652,0.9941,78.55,78.55,157.09
5,0.7387,0.4146,0.8558,78.55,78.55,157.09
6,0.7611,0.4471,0.7635,78.55,78.55,157.09
7,0.7819,0.4799,0.6959,78.55,78.55,157.09
8,0.7923,0.4968,0.6436,78.55,78.55,157.09
9,0.8026,0.5158,0.6023,78.55,78.55,157.09
10,0.8115,0.5341,0.5720,78.55,78.55,157.09
11,0.8175,0.5428,0.5432,78.55,78.55,157.09
12,0.8270,0.5592,0.5221,78.55,78.55,157.09
13,0.8311,0.5670,0.5023,78.55,78.55,157.09
14,0.8358,0.5745,0.4859,78.55,78.55,157.09
15,0.8296,0.5764,0.4782,78.55,78.55,157.09
16,0.8420,0.5913,0.4557,78.55,78.55,157.09
17,0.8460,0.5961,0.4432,78.55,78.55,157.09
18,0.8496,0.6052,0.4346,78.55,78.55,157.09
19,0.8510,0.6132,0.4243,78.55,78.55,157.09
20,0.8575,0.6202,0.4089,78.55,78.55,157.09
21,0.8555,0.6216,0.4047,78.55,78.55,157.09
22,0.8606,0.6284,0.3912,78.55,78.55,157.09
23,0.8619,0.6319,0.3837,78.55,78.55,157.09
24,0.8673,0.6347,0.3774,78.55,78.55,157.09
25,0.8647,0.6409,0.3771,78.55,78.55,157.09
26,0.8666,0.6461,0.3673,78.55,78.55,157.09
27,0.8624,0.6382,0.3678,78.55,78.55,157.09
28,0.8744,0.6570,0.3499,78.55,78.55,157.09
29,0.8720,0.6541,0.3471,78.55,78.55,157.09
30,0.8759,0.6589,0.3395,78.55,78.55,157.09
31,0.8773,0.6647,0.3334,78.55,78.55,157.09
32,0.8769,0.6617,0.3341,78.55,78.55,157.09
33,0.8768,0.6718,0.3361,78.55,78.55,157.09
34,0.8863,0.6799,0.3130,78.55,78.55,157.09
35,0.8781,0.6843,0.3319,78.55,78.55,157.09
36,0.8832,0.6857,0.3100,78.55,78.55,157.09
37,0.8884,0.6826,0.3092,78.55,78.55,157.09
38,0.8857,0.6842,0.3051,78.55,78.55,157.09
39,0.8873,0.6929,0.2971,78.55,78.55,157.09
40,0.8881,0.6906,0.2987,78.55,78.55,157.09
41,0.8869,0.6874,0.2985,78.55,78.55,157.09
42,0.8928,0.7069,0.2901,78.55,78.55,157.09
43,0.8850,0.6966,0.3025,78.55,78.55,157.09
44,0.8857,0.6912,0.2895,78.55,78.55,157.09
45,0.8908,0.7050,0.3012,78.55,78.55,157.09
46,0.8932,0.7061,0.2779,78.55,78.55,157.09
47,0.8930,0.7060,0.2796,78.55,78.55,157.09
48,0.8952,0.7082,0.2680,78.55,78.55,157.09
49,0.8857,0.7073,0.3048,78.55,78.55,157.09
50,0.8995,0.7116,0.2606,78.55,78.55,157.09
51,0.8985,0.7124,0.2618,78.55,78.55,157.09
52,0.8886,0.7186,0.2854,78.55,78.55,157.09
53,0.8984,0.7147,0.2587,78.55,78.55,157.09
54,0.8976,0.7212,0.2656,78.55,78.55,157.09
55,0.8957,0.7200,0.2592,78.55,78.55,157.09
56,0.8887,0.7180,0.2788,78.55,78.55,157.09
57,0.8945,0.7223,0.2614,78.55,78.55,157.09
58,0.8938,0.7117,0.2616,78.55,78.55,157.09
59,0.9054,0.7248,0.2361,78.55,78.55,157.09
60,0.9035,0.7285,0.2406,78.55,78.55,157.09
61,0.9044,0.7266,0.2359,78.55,78.55,157.09
62,0.9024,0.7269,0.2362,78.55,78.55,157.09
63,0.8982,0.7218,0.2564,78.55,78.55,157.09
64,0.9019,0.7318,0.2389,78.55,78.55,157.09
65,0.9007,0.7349,0.2416,78.55,78.55,157.09
66,0.9063,0.7381,0.2286,78.55,78.55,157.09
67,0.9033,0.7325,0.2280,78.55,78.55,157.09
68,0.9023,0.7352,0.2332,78.55,78.55,157.09
69,0.9061,0.7422,0.2240,78.55,78.55,157.09
70,0.9026,0.7337,0.2321,78.55,78.55,157.09
71,0.9048,0.7375,0.2242,78.55,78.55,157.09
72,0.9069,0.7431,0.2150,78.55,78.55,157.09
73,0.9074,0.7365,0.2163,78.55,78.55,157.09
74,0.9037,0.7463,0.2223,78.55,78.55,157.09
75,0.9048,0.7440,0.2363,78.55,78.55,157.09
76,0.9057,0.7403,0.2237,78.55,78.55,157.09
77,0.9044,0.7455,0.2291,78.55,78.55,157.09
78,0.9078,0.7530,0.2125,78.55,78.55,157.09
79,0.9075,0.7473,0.2113,78.55,78.55,157.09
80,0.9075,0.7463,0.2165,78.55,78.55,157.09
81,0.9088,0.7514,0.2108,78.55,78.55,157.09
82,0.9095,0.7506,0.2021,78.55,78.55,157.09
83,0.9063,0.7522,0.2100,78.55,78.55,157.09
84,0.8977,0.7371,0.2340,78.55,78.55,157.09
85,0.9077,0.7536,0.2099,78.55,78.55,157.09
86,0.9136,0.7555,0.1930,78.55,78.55,157.09
87,0.9084,0.7504,0.2031,78.55,78.55,157.09
88,0.9107,0.7556,0.1994,78.55,78.55,157.09
89,0.9114,0.7567,0.1937,78.55,78.55,157.09
90,0.9046,0.7493,0.2174,78.55,78.55,157.09
91,0.9086,0.7552,0.1985,78.55,78.55,157.09
92,0.9091,0.7512,0.2024,78.55,78.55,157.09
93,0.9107,0.7537,0.1922,78.55,78.55,157.09
94,0.9152,0.7530,0.1818,78.55,78.55,157.09
95,0.9095,0.7573,0.2004,78.55,78.55,157.09
96,0.9069,0.7539,0.2059,78.55,78.55,157.09
97,0.9022,0.7518,0.2209,78.55,78.55,157.09
98,0.9164,0.7546,0.1802,78.55,78.55,157.09
99,0.9111,0.7601,0.1977,78.55,78.55,157.09
100,0.9048,0.7538,0.2106,78.55,78.55,157.09
101,0.9156,0.7628,0.1852,78.55,78.55,157.09
