round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,0.00,0.00
2,0.1664,,1.7692,,,,,,,117.82,117.82,235.64
3,0.1864,,0.5409,,,,,,,117.82,117.82,235.64
4,0.1891,,0.2377,,,,,,,117.82,117.82,235.64
5,0.1903,,0.1677,,,,,,,117.82,117.82,235.64
6,0.1913,,0.1351,,,,,,,117.82,117.82,235.64
7,0.1917,,0.1166,,,,,,,117.82,117.82,235.64
8,0.1918,,0.1022,,,,,,,117.82,117.82,235.64
9,0.1925,,0.0921,,,,,,,117.82,117.82,235.64
10,0.1925,,0.0844,,,,,,,117.82,117.82,235.64
11,0.1930,,0.0787,,,,,,,117.82,117.82,235.64
12,0.1933,,0.0738,,,,,,,117.82,117.82,235.64
13,0.1935,,0.0698,,,,,,,117.82,117.82,235.64
14,0.1934,,0.0663,,,,,,,117.82,117.82,235.64
15,0.1937,,0.0632,,,,,,,117.82,117.82,235.64
16,0.1938,,0.0613,,,,,,,117.82,117.82,235.64
17,0.1938,,0.0596,,,,,,,117.82,117.82,235.64
18,0.1942,,0.0566,,,,,,,117.82,117.82,235.64
19,0.1942,,0.0545,,,,,,,117.82,117.82,235.64
20,0.1942,,0.0524,,,,,,,117.82,117.82,235.64
21,0.1943,,0.0514,,,,,,,117.82,117.82,235.64
22,0.1941,,0.0501,,,,,,,117.82,117.82,235.64
23,0.1942,,0.0491,,,,,,,117.82,117.82,235.64
24,0.1942,,0.0480,,,,,,,117.82,117.82,235.64
25,0.1944,,0.0463,,,,,,,117.82,117.82,235.64
26,0.1945,,0.0450,,,,,,,117.82,117.82,235.64
27,0.1944,,0.0444,,,,,,,117.82,117.82,235.64
28,0.1948,,0.0441,,,,,,,117.82,117.82,235.64
29,0.1944,,0.0429,,,,,,,117.82,117.82,235.64
30,0.1948,,0.0412,,,,,,,117.82,117.82,235.64
31,0.1947,,0.0406,,,,,,,117.82,117.82,235.64
32,0.1949,,0.0402,,,,,,,117.82,117.82,235.64
33,0.1947,,0.0400,,,,,,,117.82,117.82,235.64
34,0.1947,,0.0395,,,,,,,117.82,117.82,235.64
35,0.1949,,0.0385,,,,,,,117.82,117.82,235.64
36,0.1947,,0.0385,,,,,,,117.82,117.82,235.64
37,0.1950,,0.0377,,,,,,,117.82,117.82,235.64
38,0.1950,,0.0374,,,,,,,117.82,117.82,235.64
39,0.1949,,0.0368,,,,,,,117.82,117.82,235.64
40,0.1949,,0.0362,,,,,,,117.82,117.82,235.64
41,0.1950,,0.0368,,,,,,,117.82,117.82,235.64
42,0.1949,,0.0358,,,,,,,117.82,117.82,235.64
43,0.1949,,0.0350,,,,,,,117.82,117.82,235.64
44,0.1951,,0.0340,,,,,,,117.82,117.82,235.64
45,0.1951,,0.0336,,,,,,,117.82,117.82,235.64
46,0.1950,,0.0339,,,,,,,117.82,117.82,235.64
47,0.1951,,0.0333,,,,,,,117.82,117.82,235.64
48,0.1951,,0.0325,,,,,,,117.82,117.82,235.64
49,0.1950,,0.0319,,,,,,,117.82,117.82,235.64
50,0.1950,,0.0322,,,,,,,117.82,117.82,235.64
51,0.1950,,0.0312,,,,,,,117.82,117.82,235.64
52,0.1572,,1.2343,,,,,,,117.82,117.82,235.64
53,0.1921,,0.1716,,,,,,,196.36,196.36,392.73
54,0.1962,,0.0864,,,,,,,196.36,196.36,392.73
55,0.1967,,0.0613,,,,,,,196.36,196.36,392.73
56,0.1967,,0.0504,,,,,,,196.36,196.36,392.73
57,0.1969,,0.0441,,,,,,,196.36,196.36,392.73
58,0.1969,,0.0415,,,,,,,196.36,196.36,392.73
59,0.1969,,0.0389,,,,,,,196.36,196.36,392.73
60,0.1969,,0.0368,,,,,,,196.36,196.36,392.73
61,0.1969,,0.0353,,,,,,,196.36,196.36,392.73
62,0.1968,,0.0336,,,,,,,196.36,196.36,392.73
63,0.1968,,0.0315,,,,,,,196.36,196.36,392.73
64,0.1970,,0.0297,,,,,,,196.36,196.36,392.73
65,0.1971,,0.0295,,,,,,,196.36,196.36,392.73
66,0.1970,,0.0286,,,,,,,196.36,196.36,392.73
67,0.1969,,0.0277,,,,,,,196.36,196.36,392.73
68,0.1970,,0.0272,,,,,,,196.36,196.36,392.73
69,0.1968,,0.0267,,,,,,,196.36,196.36,392.73
