round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1015,0.1015,2.3031,0.00,0.00,0.00
2,0.8384,0.1326,1.1572,196.36,196.36,392.73
3,0.9011,0.1476,0.8131,196.36,196.36,392.73
4,0.9379,0.1641,0.4705,196.36,196.36,392.73
5,0.9578,0.1757,0.2932,196.36,196.36,392.73
6,0.9716,0.1857,0.2033,196.36,196.36,392.73
7,0.9771,0.1897,0.1591,196.36,196.36,392.73
8,0.9795,0.1922,0.1279,196.36,196.36,392.73
9,0.9814,0.1932,0.1073,196.36,196.36,392.73
10,0.9822,0.1941,0.0945,196.36,196.36,392.73
11,0.9842,0.1942,0.0818,196.36,196.36,392.73
12,0.9857,0.1958,0.0733,196.36,196.36,392.73
13,0.9868,0.1960,0.0678,196.36,196.36,392.73
14,0.9874,0.1960,0.0632,196.36,196.36,392.73
15,0.9885,0.1969,0.0612,196.36,196.36,392.73
16,0.9890,0.1970,0.0552,196.36,196.36,392.73
17,0.9891,0.1968,0.0530,196.36,196.36,392.73
18,0.9899,0.1969,0.0500,196.36,196.36,392.73
19,0.9900,0.1973,0.0481,196.36,196.36,392.73
20,0.9911,0.1976,0.0465,196.36,196.36,392.73
21,0.9906,0.1973,0.0443,196.36,196.36,392.73
22,0.9906,0.1976,0.0430,196.36,196.36,392.73
23,0.9910,0.1976,0.0426,196.36,196.36,392.73
24,0.9909,0.1975,0.0404,196.36,196.36,392.73
25,0.9909,0.1977,0.0398,196.36,196.36,392.73
26,0.9916,0.1980,0.0365,196.36,196.36,392.73
27,0.9912,0.1977,0.0380,196.36,196.36,392.73
28,0.9917,0.1977,0.0355,196.36,196.36,392.73
29,0.9920,0.1981,0.0356,196.36,196.36,392.73
30,0.9919,0.1980,0.0333,196.36,196.36,392.73
31,0.9917,0.1976,0.0338,196.36,196.36,392.73
32,0.9924,0.1979,0.0326,196.36,196.36,392.73
33,0.9919,0.1979,0.0332,196.36,196.36,392.73
34,0.9916,0.1980,0.0330,196.36,196.36,392.73
35,0.9922,0.1980,0.0307,196.36,196.36,392.73
36,0.9921,0.1980,0.0311,196.36,196.36,392.73
37,0.9928,0.1982,0.0284,196.36,196.36,392.73
38,0.9930,0.1982,0.0287,196.36,196.36,392.73
39,0.9930,0.1983,0.0279,196.36,196.36,392.73
40,0.9926,0.1983,0.0280,196.36,196.36,392.73
41,0.9926,0.1981,0.0273,196.36,196.36,392.73
42,0.9926,0.1975,0.0280,196.36,196.36,392.73
43,0.9934,0.1982,0.0257,196.36,196.36,392.73
44,0.9930,0.1985,0.0246,196.36,196.36,392.73
45,0.9929,0.1982,0.0240,196.36,196.36,392.73
46,0.9933,0.1982,0.0230,196.36,196.36,392.73
47,0.9934,0.1983,0.0242,196.36,196.36,392.73
48,0.9936,0.1984,0.0250,196.36,196.36,392.73
49,0.9928,0.1983,0.0248,196.36,196.36,392.73
50,0.9937,0.1984,0.0230,196.36,196.36,392.73
51,0.9939,0.1984,0.0228,196.36,196.36,392.73
52,0.9923,0.1984,0.0248,196.36,196.36,392.73
53,0.9912,0.1984,0.0291,196.36,196.36,392.73
54,0.9918,0.1984,0.0262,196.36,196.36,392.73
55,0.9933,0.1985,0.0224,196.36,196.36,392.73
56,0.9937,0.1981,0.0222,196.36,196.36,392.73
57,0.9934,0.1983,0.0213,196.36,196.36,392.73
58,0.9941,0.1985,0.0213,196.36,196.36,392.73
59,0.9934,0.1982,0.0209,196.36,196.36,392.73
60,0.9930,0.1981,0.0198,196.36,196.36,392.73
61,0.9937,0.1986,0.0188,196.36,196.36,392.73
62,0.9938,0.1986,0.0199,196.36,196.36,392.73
63,0.9943,0.1986,0.0190,196.36,196.36,392.73
64,0.9935,0.1984,0.0199,196.36,196.36,392.73
65,0.9939,0.1985,0.0187,196.36,196.36,392.73
66,0.9942,0.1986,0.0180,196.36,196.36,392.73
67,0.9935,0.1983,0.0201,196.36,196.36,392.73
68,0.9941,0.1986,0.0179,196.36,196.36,392.73
69,0.9941,0.1983,0.0177,196.36,196.36,392.73
70,0.9938,0.1986,0.0177,196.36,196.36,392.73
71,0.9941,0.1985,0.0172,196.36,196.36,392.73
72,0.9939,0.1985,0.0170,196.36,196.36,392.73
73,0.9937,0.1986,0.0162,196.36,196.36,392.73
74,0.9940,0.1985,0.0170,196.36,196.36,392.73
75,0.9935,0.1984,0.0179,196.36,196.36,392.73
76,0.9941,0.1986,0.0160,196.36,196.36,392.73
77,0.9939,0.1986,0.0175,196.36,196.36,392.73
78,0.9940,0.1985,0.0177,196.36,196.36,392.73
79,0.9937,0.1979,0.0173,196.36,196.36,392.73
80,0.9940,0.1987,0.0160,196.36,196.36,392.73
81,0.9944,0.1985,0.0178,196.36,196.36,392.73
82,0.9942,0.1978,0.0159,196.36,196.36,392.73
83,0.9912,0.1985,0.0233,196.36,196.36,392.73
84,0.9941,0.1985,0.0168,196.36,196.36,392.73
85,0.9950,0.1986,0.0172,196.36,196.36,392.73
86,0.9939,0.1986,0.0153,196.36,196.36,392.73
87,0.9942,0.1986,0.0155,196.36,196.36,392.73
88,0.9946,0.1985,0.0159,196.36,196.36,392.73
89,0.9942,0.1987,0.0148,196.36,196.36,392.73
90,0.9942,0.1984,0.0160,196.36,196.36,392.73
91,0.9946,0.1987,0.0143,196.36,196.36,392.73
92,0.9946,0.1987,0.0141,196.36,196.36,392.73
93,0.9937,0.1981,0.0150,196.36,196.36,392.73
94,0.9943,0.1986,0.0148,196.36,196.36,392.73
95,0.9947,0.1987,0.0144,196.36,196.36,392.73
96,0.9945,0.1987,0.0144,196.36,196.36,392.73
97,0.9950,0.1986,0.0146,196.36,196.36,392.73
98,0.9947,0.1987,0.0140,196.36,196.36,392.73
99,0.9942,0.1984,0.0146,196.36,196.36,392.73
100,0.9948,0.1986,0.0133,196.36,196.36,392.73
101,0.9941,0.1986,0.0143,196.36,196.36,392.73
