round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3032,0.00,0.00,0.00
2,0.8817,,1.7782,196.36,196.36,392.73
3,0.9446,,0.5719,196.36,196.36,392.73
4,0.9639,,0.2502,196.36,196.36,392.73
5,0.9715,,0.1734,196.36,196.36,392.73
6,0.9743,,0.1364,196.36,196.36,392.73
7,0.9778,,0.1130,196.36,196.36,392.73
8,0.9784,,0.0972,196.36,196.36,392.73
9,0.9799,,0.0865,196.36,196.36,392.73
10,0.9815,,0.0775,196.36,196.36,392.73
11,0.9814,,0.0716,196.36,196.36,392.73
12,0.9826,,0.0653,196.36,196.36,392.73
13,0.9840,,0.0607,196.36,196.36,392.73
14,0.9843,,0.0574,196.36,196.36,392.73
15,0.9849,,0.0540,196.36,196.36,392.73
16,0.9856,,0.0523,196.36,196.36,392.73
17,0.9861,,0.0503,196.36,196.36,392.73
18,0.9860,,0.0479,196.36,196.36,392.73
19,0.9862,,0.0463,196.36,196.36,392.73
20,0.9868,,0.0446,196.36,196.36,392.73
21,0.9871,,0.0428,196.36,196.36,392.73
22,0.9874,,0.0411,196.36,196.36,392.73
23,0.9874,,0.0399,196.36,196.36,392.73
24,0.9878,,0.0382,196.36,196.36,392.73
25,0.9879,,0.0374,196.36,196.36,392.73
26,0.9880,,0.0371,196.36,196.36,392.73
27,0.9882,,0.0356,196.36,196.36,392.73
28,0.9883,,0.0350,196.36,196.36,392.73
29,0.9884,,0.0340,196.36,196.36,392.73
30,0.9886,,0.0332,196.36,196.36,392.73
31,0.9887,,0.0325,196.36,196.36,392.73
32,0.9885,,0.0319,196.36,196.36,392.73
33,0.9888,,0.0309,196.36,196.36,392.73
34,0.9890,,0.0304,196.36,196.36,392.73
35,0.9892,,0.0303,196.36,196.36,392.73
36,0.9890,,0.0300,196.36,196.36,392.73
37,0.9890,,0.0294,196.36,196.36,392.73
38,0.9893,,0.0284,196.36,196.36,392.73
39,0.9892,,0.0283,196.36,196.36,392.73
40,0.9892,,0.0280,196.36,196.36,392.73
41,0.9893,,0.0273,196.36,196.36,392.73
42,0.9894,,0.0272,196.36,196.36,392.73
43,0.9899,,0.0263,196.36,196.36,392.73
44,0.9895,,0.0253,196.36,196.36,392.73
45,0.9891,,0.0253,196.36,196.36,392.73
46,0.9897,,0.0245,196.36,196.36,392.73
47,0.9898,,0.0247,196.36,196.36,392.73
48,0.9897,,0.0252,196.36,196.36,392.73
49,0.9900,,0.0242,196.36,196.36,392.73
50,0.9897,,0.0234,196.36,196.36,392.73
51,0.9899,,0.0235,196.36,196.36,392.73
52,0.9897,,0.0234,196.36,196.36,392.73
53,0.9903,,0.0226,196.36,196.36,392.73
54,0.9899,,0.0221,196.36,196.36,392.73
55,0.9901,,0.0221,196.36,196.36,392.73
56,0.9899,,0.0221,196.36,196.36,392.73
57,0.9899,,0.0215,196.36,196.36,392.73
58,0.9899,,0.0208,196.36,196.36,392.73
59,0.9904,,0.0206,196.36,196.36,392.73
60,0.9904,,0.0209,196.36,196.36,392.73
61,0.9901,,0.0207,196.36,196.36,392.73
62,0.9900,,0.0205,196.36,196.36,392.73
63,0.9903,,0.0207,196.36,196.36,392.73
64,0.9906,,0.0198,196.36,196.36,392.73
65,0.9905,,0.0195,196.36,196.36,392.73
66,0.9906,,0.0200,196.36,196.36,392.73
67,0.9903,,0.0200,196.36,196.36,392.73
68,0.9904,,0.0196,196.36,196.36,392.73
69,0.9904,,0.0196,196.36,196.36,392.73
70,0.9906,,0.0193,196.36,196.36,392.73
71,0.9902,,0.0187,196.36,196.36,392.73
72,0.9904,,0.0182,196.36,196.36,392.73
73,0.9910,,0.0182,196.36,196.36,392.73
74,0.9908,,0.0180,196.36,196.36,392.73
75,0.9910,,0.0183,196.36,196.36,392.73
76,0.9910,,0.0178,196.36,196.36,392.73
77,0.9908,,0.0178,196.36,196.36,392.73
78,0.9907,,0.0176,196.36,196.36,392.73
79,0.9906,,0.0169,196.36,196.36,392.73
80,0.9906,,0.0167,196.36,196.36,392.73
81,0.9908,,0.0167,196.36,196.36,392.73
82,0.9909,,0.0171,196.36,196.36,392.73
83,0.9908,,0.0169,196.36,196.36,392.73
84,0.9908,,0.0168,196.36,196.36,392.73
85,0.9911,,0.0162,196.36,196.36,392.73
86,0.9911,,0.0165,196.36,196.36,392.73
87,0.9910,,0.0164,196.36,196.36,392.73
88,0.9911,,0.0158,196.36,196.36,392.73
89,0.9910,,0.0153,196.36,196.36,392.73
90,0.9911,,0.0155,196.36,196.36,392.73
91,0.9911,,0.0159,196.36,196.36,392.73
92,0.9912,,0.0156,196.36,196.36,392.73
93,0.9910,,0.0152,196.36,196.36,392.73
94,0.9910,,0.0149,196.36,196.36,392.73
95,0.9916,,0.0153,196.36,196.36,392.73
96,0.9912,,0.0150,196.36,196.36,392.73
97,0.9911,,0.0145,196.36,196.36,392.73
98,0.9909,,0.0143,196.36,196.36,392.73
99,0.9913,,0.0144,196.36,196.36,392.73
100,0.9914,,0.0145,196.36,196.36,392.73
101,0.9912,,0.0148,196.36,196.36,392.73
