round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1041,0.1041,2.3029,0.00,196.36,196.36
2,0.1072,0.1358,2.3101,196.36,196.36,392.73
3,0.2901,0.3949,2.2035,196.36,196.36,392.73
4,0.3924,0.5071,2.0716,196.36,196.36,392.73
5,0.4480,0.5576,1.9535,196.36,196.36,392.73
6,0.4871,0.5875,1.8448,196.36,196.36,392.73
7,0.5189,0.6135,1.7498,196.36,196.36,392.73
8,0.5434,0.6328,1.6666,196.36,196.36,392.73
9,0.5626,0.6527,1.5951,196.36,196.36,392.73
10,0.5800,0.6685,1.5340,196.36,196.36,392.73
11,0.5950,0.6797,1.4782,196.36,196.36,392.73
12,0.6027,0.6867,1.4362,196.36,196.36,392.73
13,0.6115,0.6954,1.3901,196.36,196.36,392.73
14,0.6164,0.7000,1.3533,196.36,196.36,392.73
15,0.6202,0.7049,1.3221,196.36,196.36,392.73
16,0.6240,0.7081,1.2937,196.36,196.36,392.73
17,0.6291,0.7122,1.2656,196.36,196.36,392.73
18,0.6329,0.7162,1.2379,196.36,196.36,392.73
19,0.6351,0.7172,1.2179,196.36,196.36,392.73
20,0.6377,0.7198,1.1986,196.36,196.36,392.73
21,0.6414,0.7247,1.1769,196.36,196.36,392.73
22,0.6432,0.7272,1.1598,196.36,196.36,392.73
23,0.6483,0.7297,1.1401,196.36,196.36,392.73
24,0.6489,0.7327,1.1284,196.36,196.36,392.73
25,0.6533,0.7352,1.1131,196.36,196.36,392.73
26,0.6559,0.7380,1.0964,196.36,196.36,392.73
27,0.6569,0.7395,1.0874,196.36,196.36,392.73
28,0.6619,0.7428,1.0722,196.36,196.36,392.73
29,0.6654,0.7457,1.0596,196.36,196.36,392.73
30,0.6658,0.7473,1.0538,196.36,196.36,392.73
31,0.6674,0.7483,1.0470,196.36,196.36,392.73
32,0.6695,0.7505,1.0357,196.36,196.36,392.73
33,0.6701,0.7535,1.0278,196.36,196.36,392.73
34,0.6722,0.7548,1.0171,196.36,196.36,392.73
35,0.6726,0.7565,1.0164,196.36,196.36,392.73
36,0.6778,0.7602,1.0059,196.36,196.36,392.73
37,0.6805,0.7627,0.9949,196.36,196.36,392.73
38,0.6785,0.7627,0.9907,196.36,196.36,392.73
39,0.6819,0.7671,0.9845,196.36,196.36,392.73
40,0.6827,0.7674,0.9771,196.36,196.36,392.73
41,0.6853,0.7697,0.9680,196.36,196.36,392.73
42,0.6853,0.7706,0.9686,196.36,196.36,392.73
43,0.6849,0.7713,0.9633,196.36,196.36,392.73
44,0.6890,0.7758,0.9540,196.36,196.36,392.73
45,0.6895,0.7780,0.9534,196.36,196.36,392.73
46,0.6884,0.7780,0.9488,196.36,196.36,392.73
47,0.6954,0.7813,0.9335,196.36,196.36,392.73
48,0.6903,0.7810,0.9422,196.36,196.36,392.73
49,0.6903,0.7835,0.9384,196.36,196.36,392.73
50,0.6952,0.7857,0.9317,196.36,196.36,392.73
51,0.6918,0.7862,0.9340,196.36,196.36,392.73
52,0.6939,0.7878,0.9326,196.36,196.36,392.73
53,0.6990,0.7903,0.9167,196.36,196.36,392.73
54,0.6973,0.7918,0.9179,196.36,196.36,392.73
55,0.6960,0.7924,0.9235,196.36,196.36,392.73
56,0.6995,0.7946,0.9099,196.36,196.36,392.73
57,0.7020,0.7960,0.9032,196.36,196.36,392.73
58,0.6989,0.7960,0.9083,196.36,196.36,392.73
59,0.7048,0.7998,0.8953,196.36,196.36,392.73
60,0.7026,0.7992,0.8996,196.36,196.36,392.73
61,0.7040,0.8019,0.8937,196.36,196.36,392.73
62,0.7087,0.8033,0.8827,196.36,196.36,392.73
63,0.7067,0.8046,0.8826,196.36,196.36,392.73
64,0.7072,0.8045,0.8840,196.36,196.36,392.73
65,0.7049,0.8048,0.8873,196.36,196.36,392.73
