round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0968,0.0968,2.3043,0.00,78.55,78.55
2,0.2994,0.3767,2.1193,78.55,78.55,157.09
3,0.4812,0.5477,1.7730,78.55,78.55,157.09
4,0.5679,0.6250,1.5281,78.55,78.55,157.09
5,0.6237,0.6732,1.3566,78.55,78.55,157.09
6,0.6572,0.6998,1.2335,78.55,78.55,157.09
7,0.6718,0.7135,1.1408,78.55,78.55,157.09
8,0.6845,0.7256,1.0671,78.55,78.55,157.09
9,0.6906,0.7320,1.0127,78.55,78.55,157.09
10,0.6977,0.7384,0.9683,78.55,78.55,157.09
11,0.7038,0.7449,0.9330,78.55,78.55,157.09
12,0.7083,0.7489,0.9004,78.55,78.55,157.09
13,0.7147,0.7546,0.8731,78.55,78.55,157.09
14,0.7166,0.7601,0.8504,78.55,78.55,157.09
15,0.7211,0.7645,0.8308,78.55,78.55,157.09
16,0.7264,0.7678,0.8156,78.55,78.55,157.09
17,0.7266,0.7692,0.8035,78.55,78.55,157.09
18,0.7330,0.7746,0.7856,78.55,78.55,157.09
19,0.7381,0.7814,0.7700,78.55,78.55,157.09
20,0.7386,0.7830,0.7601,78.55,78.55,157.09
21,0.7406,0.7861,0.7512,78.55,78.55,157.09
22,0.7473,0.7915,0.7297,78.55,78.55,157.09
23,0.7462,0.7938,0.7327,78.55,78.55,157.09
24,0.7524,0.7991,0.7164,78.55,78.55,157.09
25,0.7588,0.8037,0.7043,78.55,78.55,157.09
26,0.7582,0.8055,0.6992,78.55,78.55,157.09
27,0.7619,0.8091,0.6888,78.55,78.55,157.09
28,0.7626,0.8109,0.6860,78.55,78.55,157.09
29,0.7676,0.8144,0.6725,78.55,78.55,157.09
30,0.7677,0.8167,0.6698,78.55,78.55,157.09
31,0.7682,0.8173,0.6659,78.55,78.55,157.09
32,0.7700,0.8207,0.6673,78.55,78.55,157.09
33,0.7748,0.8236,0.6519,78.55,78.55,157.09
34,0.7750,0.8251,0.6483,78.55,78.55,157.09
35,0.7781,0.8270,0.6394,78.55,78.55,157.09
36,0.7822,0.8293,0.6341,78.55,78.55,157.09
37,0.7749,0.8286,0.6414,78.55,78.55,157.09
38,0.7798,0.8306,0.6293,78.55,78.55,157.09
39,0.7805,0.8316,0.6231,78.55,78.55,157.09
40,0.7829,0.8343,0.6177,78.55,78.55,157.09
41,0.7838,0.8353,0.6159,78.55,78.55,157.09
42,0.7842,0.8363,0.6152,78.55,78.55,157.09
43,0.7867,0.8373,0.6128,78.55,78.55,157.09
44,0.7854,0.8377,0.6065,78.55,78.55,157.09
45,0.7817,0.8374,0.6149,78.55,78.55,157.09
46,0.7814,0.8381,0.6127,78.55,78.55,157.09
47,0.7860,0.8392,0.6043,78.55,78.55,157.09
48,0.7870,0.8425,0.5960,78.55,78.55,157.09
49,0.7827,0.8412,0.6037,78.55,78.55,157.09
50,0.7856,0.8419,0.5959,78.55,78.55,157.09
51,0.7863,0.8424,0.5983,78.55,78.55,157.09
52,0.7865,0.8439,0.5982,78.55,78.55,157.09
53,0.7949,0.8487,0.5747,78.55,78.55,157.09
54,0.7857,0.8444,0.5946,78.55,78.55,157.09
55,0.7896,0.8475,0.5826,78.55,78.55,157.09
56,0.7910,0.8495,0.5784,78.55,78.55,157.09
57,0.7905,0.8475,0.5733,78.55,78.55,157.09
58,0.7943,0.8498,0.5678,78.55,78.55,157.09
59,0.7928,0.8499,0.5661,78.55,78.55,157.09
60,0.7946,0.8500,0.5645,78.55,78.55,157.09
61,0.7934,0.8502,0.5665,78.55,78.55,157.09
62,0.7949,0.8525,0.5615,78.55,78.55,157.09
63,0.7859,0.8491,0.5802,78.55,78.55,157.09
64,0.7951,0.8511,0.5586,78.55,78.55,157.09
65,0.7971,0.8533,0.5517,78.55,78.55,157.09
66,0.7905,0.8512,0.5647,78.55,78.55,157.09
67,0.7934,0.8523,0.5598,78.55,78.55,157.09
