round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,117.82,117.82
2,0.1662,,2.2390,,,,,,,117.82,117.82,235.64
3,0.2832,,1.8160,,,,,,,117.82,117.82,235.64
4,0.3416,,1.5169,,,,,,,117.82,117.82,235.64
5,0.3572,,1.3507,,,,,,,117.82,117.82,235.64
6,0.3680,,1.2289,,,,,,,117.82,117.82,235.64
7,0.3730,,1.1292,,,,,,,117.82,117.82,235.64
8,0.3774,,1.0454,,,,,,,117.82,117.82,235.64
9,0.3787,,0.9730,,,,,,,117.82,117.82,235.64
10,0.3790,,0.9117,,,,,,,117.82,117.82,235.64
11,0.3805,,0.8573,,,,,,,117.82,117.82,235.64
12,0.3815,,0.8090,,,,,,,117.82,117.82,235.64
13,0.3827,,0.7634,,,,,,,117.82,117.82,235.64
14,0.3833,,0.7239,,,,,,,117.82,117.82,235.64
15,0.3838,,0.6881,,,,,,,117.82,117.82,235.64
16,0.3835,,0.6560,,,,,,,117.82,117.82,235.64
17,0.3833,,0.6261,,,,,,,117.82,117.82,235.64
18,0.3832,,0.5984,,,,,,,117.82,117.82,235.64
19,0.3834,,0.5734,,,,,,,117.82,117.82,235.64
20,0.3824,,0.5495,,,,,,,117.82,117.82,235.64
21,0.3813,,0.5278,,,,,,,117.82,117.82,235.64
22,0.3818,,0.5084,,,,,,,117.82,117.82,235.64
23,0.3820,,0.4896,,,,,,,117.82,117.82,235.64
24,0.3821,,0.4715,,,,,,,117.82,117.82,235.64
25,0.3805,,0.4551,,,,,,,117.82,117.82,235.64
26,0.3791,,0.4406,,,,,,,117.82,117.82,235.64
27,0.3787,,0.4271,,,,,,,117.82,117.82,235.64
28,0.3793,,0.4128,,,,,,,117.82,117.82,235.64
29,0.3776,,0.4019,,,,,,,117.82,117.82,235.64
30,0.3761,,0.3893,,,,,,,117.82,117.82,235.64
31,0.3755,,0.3778,,,,,,,117.82,117.82,235.64
32,0.3770,,0.3700,,,,,,,117.82,117.82,235.64
33,0.3754,,0.3567,,,,,,,117.82,117.82,235.64
34,0.3751,,0.3504,,,,,,,117.82,117.82,235.64
35,0.3731,,0.3372,,,,,,,117.82,117.82,235.64
36,0.3727,,0.3299,,,,,,,117.82,117.82,235.64
37,0.3745,,0.3211,,,,,,,117.82,117.82,235.64
38,0.3716,,0.3127,,,,,,,117.82,117.82,235.64
39,0.3708,,0.3069,,,,,,,117.82,117.82,235.64
40,0.3727,,0.2979,,,,,,,117.82,117.82,235.64
41,0.3718,,0.2920,,,,,,,117.82,117.82,235.64
42,0.3684,,0.2855,,,,,,,117.82,117.82,235.64
43,0.3675,,0.2788,,,,,,,117.82,117.82,235.64
44,0.3675,,0.2731,,,,,,,117.82,117.82,235.64
45,0.3687,,0.2679,,,,,,,117.82,117.82,235.64
46,0.3676,,0.2626,,,,,,,117.82,117.82,235.64
47,0.3651,,0.2555,,,,,,,117.82,117.82,235.64
48,0.3640,,0.2508,,,,,,,117.82,117.82,235.64
49,0.3634,,0.2460,,,,,,,117.82,117.82,235.64
50,0.3640,,0.2417,,,,,,,117.82,117.82,235.64
51,0.3626,,0.2378,,,,,,,117.82,117.82,235.64
52,0.2897,,1.1091,,,,,,,117.82,196.36,314.18
53,0.2597,,1.5181,,,,,,,196.36,196.36,392.73
54,0.3019,,1.7026,,,,,,,196.36,196.36,392.73
