round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.81852722,117.81852722,0.00000000,117.81852722,117.81852722,117.81852722
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16183333,0.16729167,,,0.22856612,0.10895865,,,30,30,0,0,971,6000,4015,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,117.81852722,235.63705444,353.45558167,176.72779083
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.38183333,0.25850000,,,0.36266027,0.07505095,,,30,30,0,0,2291,6000,6204,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,235.63705444,353.45558167,589.09263611,196.36421204
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.59466667,0.27829167,,,0.22643223,0.05951583,,,30,30,0,0,3568,6000,6679,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,353.45558167,471.27410889,824.72969055,206.18242264
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.68766667,0.27462500,,,0.17074705,0.05527220,,,30,30,0,0,4126,6000,6591,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,471.27410889,589.09263611,1060.36674500,212.07334900
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.74733333,0.27320833,,,0.13728154,0.05742176,,,30,30,0,0,4484,6000,6557,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,589.09263611,706.91116333,1296.00379944,216.00063324
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.79000000,0.26870833,,,0.10992422,0.06169775,,,30,30,0,0,4740,6000,6449,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,706.91116333,824.72969055,1531.64085388,218.80583627
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.81350000,0.26833333,,,0.10074845,0.06736123,,,30,30,0,0,4881,6000,6440,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,824.72969055,942.54821777,1767.27790833,220.90973854
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.82550000,0.26704167,,,0.09485383,0.07064397,,,30,30,0,0,4953,6000,6409,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,942.54821777,1060.36674500,2002.91496277,222.54610697
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.83600000,0.26479167,,,0.08723913,0.07122228,,,30,30,0,0,5016,6000,6355,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1060.36674500,1178.18527222,2238.55201721,223.85520172
