round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1015,0.1015,2.3044,0.00,196.36,196.36
2,0.2369,0.1177,2.2894,196.36,196.36,392.73
3,0.2686,0.1793,2.2303,196.36,196.36,392.73
4,0.3095,0.3252,2.1239,196.36,196.36,392.73
5,0.3722,0.4442,2.0029,196.36,196.36,392.73
6,0.4609,0.4984,1.8940,196.36,196.36,392.73
7,0.5205,0.5194,1.7960,196.36,196.36,392.73
8,0.5616,0.5249,1.7125,196.36,196.36,392.73
9,0.5879,0.5205,1.6408,196.36,196.36,392.73
10,0.6091,0.5260,1.5729,196.36,196.36,392.73
11,0.6261,0.5279,1.5142,196.36,196.36,392.73
12,0.6437,0.5302,1.4607,196.36,196.36,392.73
13,0.6587,0.5301,1.4128,196.36,196.36,392.73
14,0.6728,0.5344,1.3672,196.36,196.36,392.73
15,0.6781,0.5353,1.3274,196.36,196.36,392.73
16,0.6845,0.5344,1.2916,196.36,196.36,392.73
17,0.6925,0.5328,1.2568,196.36,196.36,392.73
18,0.6966,0.5320,1.2261,196.36,196.36,392.73
19,0.7109,0.5384,1.1960,196.36,196.36,392.73
20,0.7081,0.5362,1.1712,196.36,196.36,392.73
21,0.7168,0.5367,1.1402,196.36,196.36,392.73
22,0.7155,0.5357,1.1188,196.36,196.36,392.73
23,0.7249,0.5384,1.0922,196.36,196.36,392.73
24,0.7288,0.5389,1.0693,196.36,196.36,392.73
25,0.7286,0.5350,1.0507,196.36,196.36,392.73
26,0.7396,0.5405,1.0270,196.36,196.36,392.73
27,0.7446,0.5414,1.0093,196.36,196.36,392.73
28,0.7472,0.5394,0.9948,196.36,196.36,392.73
29,0.7500,0.5403,0.9786,196.36,196.36,392.73
30,0.7534,0.5425,0.9593,196.36,196.36,392.73
31,0.7549,0.5394,0.9459,196.36,196.36,392.73
32,0.7583,0.5398,0.9335,196.36,196.36,392.73
33,0.7604,0.5412,0.9198,196.36,196.36,392.73
34,0.7734,0.5430,0.9033,196.36,196.36,392.73
35,0.7646,0.5406,0.8957,196.36,196.36,392.73
36,0.7728,0.5415,0.8771,196.36,196.36,392.73
37,0.7727,0.5428,0.8645,196.36,196.36,392.73
38,0.7740,0.5401,0.8535,196.36,196.36,392.73
39,0.7745,0.5398,0.8447,196.36,196.36,392.73
40,0.7740,0.5341,0.8389,196.36,196.36,392.73
41,0.7745,0.5340,0.8302,196.36,196.36,392.73
42,0.7780,0.5380,0.8195,196.36,196.36,392.73
43,0.7800,0.5377,0.8098,196.36,196.36,392.73
44,0.7875,0.5404,0.8027,196.36,196.36,392.73
45,0.7927,0.5371,0.7901,196.36,196.36,392.73
46,0.7881,0.5378,0.7858,196.36,196.36,392.73
47,0.7893,0.5376,0.7780,196.36,196.36,392.73
48,0.7953,0.5368,0.7663,196.36,196.36,392.73
49,0.7928,0.5379,0.7573,196.36,196.36,392.73
50,0.7967,0.5390,0.7515,196.36,196.36,392.73
51,0.7920,0.5367,0.7458,196.36,196.36,392.73
52,0.8008,0.5397,0.7315,196.36,196.36,392.73
53,0.8021,0.5368,0.7282,196.36,196.36,392.73
54,0.7955,0.5367,0.7281,196.36,196.36,392.73
55,0.7999,0.5376,0.7175,196.36,196.36,392.73
56,0.7980,0.5353,0.7127,196.36,196.36,392.73
57,0.7991,0.5323,0.7101,196.36,196.36,392.73
58,0.8066,0.5326,0.7027,196.36,196.36,392.73
59,0.8012,0.5329,0.6980,196.36,196.36,392.73
60,0.7983,0.5346,0.6892,196.36,196.36,392.73
61,0.8120,0.5357,0.6740,196.36,196.36,392.73
62,0.8087,0.5346,0.6738,196.36,196.36,392.73
63,0.8096,0.5357,0.6720,196.36,196.36,392.73
64,0.8105,0.5344,0.6652,196.36,196.36,392.73
65,0.8112,0.5341,0.6619,196.36,196.36,392.73
66,0.8153,0.5349,0.6562,196.36,196.36,392.73
67,0.8075,0.5320,0.6576,196.36,196.36,392.73
68,0.8141,0.5339,0.6430,196.36,196.36,392.73
69,0.8202,0.5371,0.6345,196.36,196.36,392.73
70,0.8194,0.5405,0.6361,196.36,196.36,392.73
71,0.8114,0.5361,0.6387,196.36,196.36,392.73
72,0.8170,0.5320,0.6283,196.36,196.36,392.73
73,0.8172,0.5335,0.6231,196.36,196.36,392.73
74,0.8350,0.5339,0.6192,196.36,196.36,392.73
75,0.8188,0.5293,0.6199,196.36,196.36,392.73
76,0.8207,0.5302,0.6110,196.36,196.36,392.73
77,0.8178,0.5325,0.6059,196.36,196.36,392.73
78,0.8272,0.5353,0.5989,196.36,196.36,392.73
79,0.8189,0.5343,0.6030,196.36,196.36,392.73
80,0.8137,0.5299,0.6045,196.36,196.36,392.73
81,0.8124,0.5277,0.6041,196.36,196.36,392.73
82,0.8198,0.5325,0.5906,196.36,196.36,392.73
83,0.8214,0.5282,0.5870,196.36,196.36,392.73
84,0.8203,0.5286,0.5857,196.36,196.36,392.73
85,0.8262,0.5292,0.5817,196.36,196.36,392.73
86,0.8226,0.5302,0.5767,196.36,196.36,392.73
87,0.8155,0.5257,0.5773,196.36,196.36,392.73
88,0.8160,0.5280,0.5777,196.36,196.36,392.73
89,0.8383,0.5256,0.5681,196.36,196.36,392.73
90,0.8221,0.5249,0.5695,196.36,196.36,392.73
91,0.8273,0.5302,0.5600,196.36,196.36,392.73
92,0.8293,0.5261,0.5566,196.36,196.36,392.73
93,0.8163,0.5230,0.5686,196.36,196.36,392.73
94,0.8186,0.5248,0.5629,196.36,196.36,392.73
95,0.8153,0.5224,0.5678,196.36,196.36,392.73
96,0.8321,0.5219,0.5548,196.36,196.36,392.73
97,0.8234,0.5247,0.5514,196.36,196.36,392.73
98,0.8229,0.5240,0.5510,196.36,196.36,392.73
99,0.8234,0.5256,0.5458,196.36,196.36,392.73
