round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3032,0.00,196.36,196.36
2,0.0707,,2.3364,196.36,196.36,392.73
3,0.2708,,2.2385,196.36,196.36,392.73
4,0.3679,,2.1156,196.36,196.36,392.73
5,0.4095,,2.0214,196.36,196.36,392.73
6,0.4418,,1.9360,196.36,196.36,392.73
7,0.4734,,1.8568,196.36,196.36,392.73
8,0.4990,,1.7817,196.36,196.36,392.73
9,0.5190,,1.7126,196.36,196.36,392.73
10,0.5361,,1.6481,196.36,196.36,392.73
11,0.5509,,1.5894,196.36,196.36,392.73
12,0.5654,,1.5350,196.36,196.36,392.73
13,0.5783,,1.4857,196.36,196.36,392.73
14,0.5884,,1.4400,196.36,196.36,392.73
15,0.5993,,1.3970,196.36,196.36,392.73
16,0.6072,,1.3575,196.36,196.36,392.73
17,0.6126,,1.3209,196.36,196.36,392.73
18,0.6196,,1.2856,196.36,196.36,392.73
19,0.6256,,1.2529,196.36,196.36,392.73
20,0.6318,,1.2226,196.36,196.36,392.73
21,0.6378,,1.1932,196.36,196.36,392.73
22,0.6415,,1.1658,196.36,196.36,392.73
23,0.6461,,1.1397,196.36,196.36,392.73
24,0.6506,,1.1160,196.36,196.36,392.73
25,0.6535,,1.0919,196.36,196.36,392.73
26,0.6588,,1.0676,196.36,196.36,392.73
27,0.6616,,1.0467,196.36,196.36,392.73
28,0.6639,,1.0276,196.36,196.36,392.73
29,0.6666,,1.0079,196.36,196.36,392.73
30,0.6691,,0.9892,196.36,196.36,392.73
31,0.6717,,0.9700,196.36,196.36,392.73
32,0.6747,,0.9528,196.36,196.36,392.73
33,0.6754,,0.9367,196.36,196.36,392.73
34,0.6758,,0.9212,196.36,196.36,392.73
35,0.6779,,0.9052,196.36,196.36,392.73
36,0.6796,,0.8914,196.36,196.36,392.73
37,0.6812,,0.8766,196.36,196.36,392.73
38,0.6830,,0.8630,196.36,196.36,392.73
39,0.6823,,0.8513,196.36,196.36,392.73
40,0.6865,,0.8366,196.36,196.36,392.73
41,0.6859,,0.8243,196.36,196.36,392.73
42,0.6873,,0.8122,196.36,196.36,392.73
43,0.6874,,0.8005,196.36,196.36,392.73
44,0.6892,,0.7890,196.36,196.36,392.73
45,0.6919,,0.7772,196.36,196.36,392.73
46,0.6904,,0.7682,196.36,196.36,392.73
47,0.6913,,0.7588,196.36,196.36,392.73
48,0.6927,,0.7464,196.36,196.36,392.73
49,0.6925,,0.7381,196.36,196.36,392.73
50,0.6934,,0.7290,196.36,196.36,392.73
51,0.6946,,0.7183,196.36,196.36,392.73
52,0.6942,,0.7110,196.36,196.36,392.73
53,0.6956,,0.7015,196.36,196.36,392.73
54,0.6958,,0.6928,196.36,196.36,392.73
55,0.6963,,0.6845,196.36,196.36,392.73
56,0.6973,,0.6771,196.36,196.36,392.73
57,0.6960,,0.6705,196.36,196.36,392.73
58,0.6983,,0.6618,196.36,196.36,392.73
59,0.6951,,0.6573,196.36,196.36,392.73
60,0.6950,,0.6498,196.36,196.36,392.73
61,0.6956,,0.6425,196.36,196.36,392.73
62,0.6957,,0.6364,196.36,196.36,392.73
63,0.6980,,0.6278,196.36,196.36,392.73
64,0.6965,,0.6226,196.36,196.36,392.73
65,0.6970,,0.6157,196.36,196.36,392.73
66,0.6972,,0.6084,196.36,196.36,392.73
67,0.6972,,0.6039,196.36,196.36,392.73
68,0.6979,,0.5965,196.36,196.36,392.73
69,0.6963,,0.5934,196.36,196.36,392.73
70,0.6991,,0.5846,196.36,196.36,392.73
71,0.6981,,0.5818,196.36,196.36,392.73
72,0.6981,,0.5752,196.36,196.36,392.73
73,0.6972,,0.5704,196.36,196.36,392.73
74,0.6979,,0.5651,196.36,196.36,392.73
75,0.6987,,0.5604,196.36,196.36,392.73
76,0.6988,,0.5546,196.36,196.36,392.73
77,0.6977,,0.5504,196.36,196.36,392.73
78,0.7004,,0.5442,196.36,196.36,392.73
79,0.6985,,0.5408,196.36,196.36,392.73
80,0.6998,,0.5354,196.36,196.36,392.73
81,0.6980,,0.5322,196.36,196.36,392.73
82,0.7013,,0.5248,196.36,196.36,392.73
83,0.6986,,0.5245,196.36,196.36,392.73
84,0.6981,,0.5204,196.36,196.36,392.73
85,0.6993,,0.5152,196.36,196.36,392.73
86,0.6989,,0.5115,196.36,196.36,392.73
87,0.7001,,0.5057,196.36,196.36,392.73
