round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0990,0.0990,2.3027,0.00,196.36,196.36
2,0.1116,0.1253,2.2955,196.36,196.36,392.73
3,0.4135,0.4785,2.1560,196.36,196.36,392.73
4,0.5052,0.5660,1.9865,196.36,196.36,392.73
5,0.5467,0.5984,1.8491,196.36,196.36,392.73
6,0.5847,0.6267,1.7302,196.36,196.36,392.73
7,0.6118,0.6482,1.6235,196.36,196.36,392.73
8,0.6275,0.6638,1.5294,196.36,196.36,392.73
9,0.6443,0.6827,1.4487,196.36,196.36,392.73
10,0.6567,0.6948,1.3761,196.36,196.36,392.73
11,0.6650,0.7037,1.3158,196.36,196.36,392.73
12,0.6698,0.7087,1.2614,196.36,196.36,392.73
13,0.6759,0.7132,1.2128,196.36,196.36,392.73
14,0.6813,0.7185,1.1713,196.36,196.36,392.73
15,0.6853,0.7215,1.1331,196.36,196.36,392.73
16,0.6903,0.7255,1.0961,196.36,196.36,392.73
17,0.6950,0.7289,1.0651,196.36,196.36,392.73
18,0.6974,0.7306,1.0375,196.36,196.36,392.73
19,0.6997,0.7339,1.0114,196.36,196.36,392.73
20,0.7042,0.7374,0.9866,196.36,196.36,392.73
21,0.7025,0.7371,0.9708,196.36,196.36,392.73
22,0.7083,0.7418,0.9485,196.36,196.36,392.73
23,0.7106,0.7447,0.9328,196.36,196.36,392.73
24,0.7128,0.7459,0.9170,196.36,196.36,392.73
25,0.7150,0.7484,0.9016,196.36,196.36,392.73
26,0.7183,0.7512,0.8850,196.36,196.36,392.73
27,0.7201,0.7526,0.8714,196.36,196.36,392.73
28,0.7248,0.7560,0.8600,196.36,196.36,392.73
29,0.7255,0.7580,0.8488,196.36,196.36,392.73
30,0.7279,0.7608,0.8402,196.36,196.36,392.73
31,0.7294,0.7630,0.8286,196.36,196.36,392.73
32,0.7310,0.7642,0.8203,196.36,196.36,392.73
33,0.7317,0.7660,0.8094,196.36,196.36,392.73
34,0.7338,0.7680,0.8035,196.36,196.36,392.73
35,0.7358,0.7708,0.7925,196.36,196.36,392.73
36,0.7374,0.7730,0.7862,196.36,196.36,392.73
37,0.7390,0.7750,0.7818,196.36,196.36,392.73
38,0.7405,0.7770,0.7742,196.36,196.36,392.73
39,0.7437,0.7804,0.7648,196.36,196.36,392.73
40,0.7445,0.7810,0.7572,196.36,196.36,392.73
41,0.7446,0.7826,0.7544,196.36,196.36,392.73
42,0.7473,0.7850,0.7490,196.36,196.36,392.73
43,0.7492,0.7873,0.7410,196.36,196.36,392.73
44,0.7491,0.7872,0.7369,196.36,196.36,392.73
45,0.7536,0.7915,0.7293,196.36,196.36,392.73
46,0.7553,0.7943,0.7227,196.36,196.36,392.73
47,0.7550,0.7948,0.7184,196.36,196.36,392.73
48,0.7567,0.7961,0.7121,196.36,196.36,392.73
49,0.7585,0.7977,0.7100,196.36,196.36,392.73
50,0.7622,0.8010,0.7034,196.36,196.36,392.73
51,0.7577,0.7995,0.7042,196.36,196.36,392.73
52,0.7636,0.8039,0.6953,196.36,196.36,392.73
53,0.7632,0.8048,0.6941,196.36,196.36,392.73
54,0.7646,0.8062,0.6913,196.36,196.36,392.73
55,0.7646,0.8060,0.6857,196.36,196.36,392.73
56,0.7660,0.8081,0.6824,196.36,196.36,392.73
57,0.7671,0.8096,0.6796,196.36,196.36,392.73
58,0.7700,0.8121,0.6768,196.36,196.36,392.73
59,0.7717,0.8133,0.6675,196.36,196.36,392.73
60,0.7700,0.8139,0.6688,196.36,196.36,392.73
61,0.7741,0.8161,0.6643,196.36,196.36,392.73
62,0.7711,0.8161,0.6649,196.36,196.36,392.73
63,0.7743,0.8178,0.6598,196.36,196.36,392.73
64,0.7771,0.8192,0.6552,196.36,196.36,392.73
65,0.7761,0.8210,0.6529,196.36,196.36,392.73
66,0.7779,0.8216,0.6481,196.36,196.36,392.73
67,0.7806,0.8229,0.6404,196.36,196.36,392.73
68,0.7780,0.8228,0.6437,196.36,196.36,392.73
69,0.7819,0.8248,0.6360,196.36,196.36,392.73
70,0.7787,0.8249,0.6394,196.36,196.36,392.73
71,0.7808,0.8257,0.6349,196.36,196.36,392.73
72,0.7820,0.8258,0.6333,196.36,196.36,392.73
73,0.7816,0.8276,0.6284,196.36,196.36,392.73
74,0.7818,0.8271,0.6260,196.36,196.36,392.73
75,0.7798,0.8269,0.6291,196.36,196.36,392.73
76,0.7842,0.8297,0.6209,196.36,196.36,392.73
77,0.7826,0.8281,0.6218,196.36,196.36,392.73
78,0.7861,0.8311,0.6145,196.36,196.36,392.73
79,0.7852,0.8309,0.6133,196.36,196.36,392.73
80,0.7859,0.8327,0.6117,196.36,196.36,392.73
81,0.7841,0.8324,0.6121,196.36,196.36,392.73
82,0.7850,0.8331,0.6130,196.36,196.36,392.73
83,0.7876,0.8332,0.6073,196.36,196.36,392.73
84,0.7882,0.8338,0.6072,196.36,196.36,392.73
85,0.7898,0.8357,0.5993,196.36,196.36,392.73
86,0.7897,0.8366,0.5961,196.36,196.36,392.73
87,0.7891,0.8358,0.5971,196.36,196.36,392.73
88,0.7900,0.8375,0.5937,196.36,196.36,392.73
89,0.7894,0.8355,0.5931,196.36,196.36,392.73
90,0.7918,0.8384,0.5897,196.36,196.36,392.73
91,0.7921,0.8397,0.5866,196.36,196.36,392.73
92,0.7919,0.8390,0.5892,196.36,196.36,392.73
93,0.7908,0.8387,0.5824,196.36,196.36,392.73
94,0.7934,0.8406,0.5838,196.36,196.36,392.73
95,0.7943,0.8419,0.5792,196.36,196.36,392.73
96,0.7914,0.8399,0.5818,196.36,196.36,392.73
97,0.7929,0.8417,0.5797,196.36,196.36,392.73
98,0.7925,0.8420,0.5795,196.36,196.36,392.73
99,0.7957,0.8423,0.5741,196.36,196.36,392.73
100,0.7950,0.8428,0.5740,196.36,196.36,392.73
101,0.7933,0.8439,0.5733,196.36,196.36,392.73
