round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,117.66,117.66
2,0.1662,,2.2380,,,,,,,117.66,117.66,235.31
3,0.2824,,1.8125,,,,,,,117.66,117.66,235.31
4,0.3426,,1.5111,,,,,,,117.66,117.66,235.31
5,0.3570,,1.3431,,,,,,,117.66,117.66,235.31
6,0.3692,,1.2198,,,,,,,117.66,117.66,235.31
7,0.3725,,1.1187,,,,,,,117.66,117.66,235.31
8,0.3762,,1.0336,,,,,,,117.66,117.66,235.31
9,0.3782,,0.9601,,,,,,,117.66,117.66,235.31
10,0.3786,,0.8978,,,,,,,117.66,117.66,235.31
11,0.3808,,0.8426,,,,,,,117.66,117.66,235.31
12,0.3813,,0.7934,,,,,,,117.66,117.66,235.31
13,0.3824,,0.7471,,,,,,,117.66,117.66,235.31
14,0.3830,,0.7069,,,,,,,117.66,117.66,235.31
15,0.3836,,0.6706,,,,,,,117.66,117.66,235.31
16,0.3826,,0.6379,,,,,,,117.66,117.66,235.31
17,0.3827,,0.6074,,,,,,,117.66,117.66,235.31
18,0.3824,,0.5793,,,,,,,117.66,117.66,235.31
19,0.3828,,0.5538,,,,,,,117.66,117.66,235.31
20,0.3818,,0.5296,,,,,,,117.66,117.66,235.31
21,0.3808,,0.5074,,,,,,,117.66,117.66,235.31
22,0.3815,,0.4876,,,,,,,117.66,117.66,235.31
23,0.3809,,0.4685,,,,,,,117.66,117.66,235.31
24,0.3808,,0.4500,,,,,,,117.66,117.66,235.31
25,0.3794,,0.4334,,,,,,,117.66,117.66,235.31
26,0.3782,,0.4186,,,,,,,117.66,117.66,235.31
27,0.3783,,0.4046,,,,,,,117.66,117.66,235.31
28,0.3781,,0.3901,,,,,,,117.66,117.66,235.31
29,0.3766,,0.3788,,,,,,,117.66,117.66,235.31
30,0.3745,,0.3660,,,,,,,117.66,117.66,235.31
31,0.3753,,0.3542,,,,,,,117.66,117.66,235.31
32,0.3761,,0.3459,,,,,,,117.66,117.66,235.31
33,0.3744,,0.3327,,,,,,,117.66,117.66,235.31
34,0.3745,,0.3258,,,,,,,117.66,117.66,235.31
35,0.3713,,0.3127,,,,,,,117.66,117.66,235.31
36,0.3712,,0.3052,,,,,,,117.66,117.66,235.31
37,0.3727,,0.2961,,,,,,,117.66,117.66,235.31
38,0.3695,,0.2875,,,,,,,117.66,117.66,235.31
39,0.3681,,0.2814,,,,,,,117.66,117.66,235.31
40,0.3692,,0.2724,,,,,,,117.66,117.66,235.31
41,0.3684,,0.2662,,,,,,,117.66,117.66,235.31
42,0.3655,,0.2596,,,,,,,117.66,117.66,235.31
43,0.3644,,0.2527,,,,,,,117.66,117.66,235.31
44,0.3643,,0.2469,,,,,,,117.66,117.66,235.31
45,0.3650,,0.2414,,,,,,,117.66,117.66,235.31
46,0.3641,,0.2359,,,,,,,117.66,117.66,235.31
47,0.3618,,0.2288,,,,,,,117.66,117.66,235.31
48,0.3608,,0.2239,,,,,,,117.66,117.66,235.31
49,0.3595,,0.2190,,,,,,,117.66,117.66,235.31
50,0.3600,,0.2144,,,,,,,117.66,117.66,235.31
