round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.65739441,117.65739441,0.00000000,117.65739441,117.65739441,117.65739441
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16233333,0.16716667,,,0.22891677,0.10913482,,,30,30,0,0,974,6000,4012,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,117.65739441,235.31478882,352.97218323,176.48609161
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.38650000,0.25637500,,,0.36186588,0.07534597,,,30,30,0,0,2319,6000,6153,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,235.31478882,352.97218323,588.28697205,196.09565735
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.60733333,0.27641667,,,0.22040770,0.05934691,,,30,30,0,0,3644,6000,6634,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,352.97218323,470.62957764,823.60176086,205.90044022
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.69716667,0.27191667,,,0.16585980,0.05411286,,,30,30,0,0,4183,6000,6526,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,470.62957764,588.28697205,1058.91654968,211.78330994
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.76216667,0.27095833,,,0.12780639,0.05664002,,,30,30,0,0,4573,6000,6503,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,588.28697205,705.94436646,1294.23133850,215.70522308
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.79933333,0.26579167,,,0.10593027,0.06064109,,,30,30,0,0,4796,6000,6379,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,705.94436646,823.60176086,1529.54612732,218.50658962
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.81833333,0.26570833,,,0.09932550,0.06709421,,,30,30,0,0,4910,6000,6377,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,823.60176086,941.25915527,1764.86091614,220.60761452
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.83333333,0.26437500,,,0.09079586,0.07020339,,,30,30,0,0,5000,6000,6345,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,941.25915527,1058.91654968,2000.17570496,222.24174500
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.84266667,0.26254167,,,0.08502679,0.07049046,,,30,30,0,0,5056,6000,6301,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1058.91654968,1176.57394409,2235.49049377,223.54904938
10,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.85466667,0.26237500,,,0.07626635,0.07190659,,,30,30,0,0,5128,6000,6297,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1176.57394409,1294.23133850,2470.80528259,224.61866205
11,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.85966667,0.26166667,,,0.07436322,0.07279275,,,30,30,0,0,5158,6000,6280,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1294.23133850,1411.88873291,2706.12007141,225.51000595
12,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.87016667,0.26050000,,,0.06736076,0.07233717,,,30,30,0,0,5221,6000,6252,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1411.88873291,1529.54612732,2941.43486023,226.26422002
13,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.87516667,0.25995833,,,0.06719974,0.07114794,,,30,30,0,0,5251,6000,6239,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1529.54612732,1647.20352173,3176.74964905,226.91068922
14,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.88100000,0.25925000,,,0.06657577,0.07418839,,,30,30,0,0,5286,6000,6222,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1647.20352173,1764.86091614,3412.06443787,227.47096252
15,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.88366667,0.25737500,,,0.06515281,0.07421418,,,30,30,0,0,5302,6000,6177,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1764.86091614,1882.51831055,3647.37922668,227.96120167
16,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.88700000,0.25662500,,,0.06418203,0.07694028,,,30,30,0,0,5322,6000,6159,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,1882.51831055,2000.17570496,3882.69401550,228.39376562
17,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.89066667,0.25529167,,,0.06145097,0.07878550,,,30,30,0,0,5344,6000,6127,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2000.17570496,2117.83309937,4118.00880432,228.77826691
18,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.89383333,0.25500000,,,0.06013434,0.08007939,,,30,30,0,0,5363,6000,6120,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2117.83309937,2235.49049377,4353.32359314,229.12229438
19,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.89866667,0.25258333,,,0.05897645,0.08238498,,,30,30,0,0,5392,6000,6062,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2235.49049377,2353.14788818,4588.63838196,229.43191910
20,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.90166667,0.25054167,,,0.05701364,0.08238545,,,30,30,0,0,5410,6000,6013,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2353.14788818,2470.80528259,4823.95317078,229.71205575
21,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.90600000,0.25033333,,,0.05533835,0.08368961,,,30,30,0,0,5436,6000,6008,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2470.80528259,2588.46267700,5059.26795959,229.96672544
22,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.90950000,0.24870833,,,0.05608550,0.08537874,,,30,30,0,0,5457,6000,5969,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2588.46267700,2706.12007141,5294.58274841,230.19924993
23,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.91216667,0.24791667,,,0.05435506,0.08629367,,,30,30,0,0,5473,6000,5950,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2706.12007141,2823.77746582,5529.89753723,230.41239738
24,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.91416667,0.24570833,,,0.05446839,0.08911058,,,30,30,0,0,5485,6000,5897,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2823.77746582,2941.43486023,5765.21232605,230.60849304
25,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.91666667,0.24354167,,,0.05214297,0.09001799,,,30,30,0,0,5500,6000,5845,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,2941.43486023,3059.09225464,6000.52711487,230.78950442
26,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.92050000,0.24279167,,,0.04960427,0.09399728,,,30,30,0,0,5523,6000,5827,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,3059.09225464,3176.74964905,6235.84190369,230.95710754
27,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.92166667,0.24216667,,,0.04933446,0.09212307,,,30,30,0,0,5530,6000,5812,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,3176.74964905,3294.40704346,6471.15669250,231.11273902
28,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.92283333,0.24008333,,,0.04793543,0.09629379,,,30,30,0,0,5537,6000,5762,24000,0,0,0,0,117.65739441,117.65739441,235.31478882,3294.40704346,3412.06443787,6706.47148132,231.25763729
