round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1009,0.1009,2.3044,0.00,78.55,78.55
2,0.3099,0.1698,2.2704,78.55,78.55,157.09
3,0.3780,0.3330,2.1399,78.55,78.55,157.09
4,0.4130,0.4561,2.0078,78.55,78.55,157.09
5,0.4598,0.4877,1.8877,78.55,78.55,157.09
6,0.5159,0.4998,1.7807,78.55,78.55,157.09
7,0.5626,0.5096,1.6856,78.55,78.55,157.09
8,0.5896,0.5145,1.6015,78.55,78.55,157.09
9,0.6170,0.5202,1.5243,78.55,78.55,157.09
10,0.6362,0.5204,1.4606,78.55,78.55,157.09
11,0.6508,0.5236,1.4039,78.55,78.55,157.09
12,0.6676,0.5266,1.3486,78.55,78.55,157.09
13,0.6799,0.5296,1.3029,78.55,78.55,157.09
14,0.6913,0.5308,1.2587,78.55,78.55,157.09
15,0.6948,0.5315,1.2170,78.55,78.55,157.09
16,0.7063,0.5319,1.1827,78.55,78.55,157.09
17,0.7083,0.5307,1.1537,78.55,78.55,157.09
18,0.7135,0.5313,1.1261,78.55,78.55,157.09
19,0.7233,0.5328,1.0958,78.55,78.55,157.09
20,0.7261,0.5309,1.0676,78.55,78.55,157.09
21,0.7311,0.5318,1.0478,78.55,78.55,157.09
22,0.7336,0.5317,1.0293,78.55,78.55,157.09
23,0.7395,0.5313,1.0046,78.55,78.55,157.09
24,0.7395,0.5311,0.9950,78.55,78.55,157.09
25,0.7447,0.5322,0.9703,78.55,78.55,157.09
26,0.7503,0.5299,0.9530,78.55,78.55,157.09
27,0.7513,0.5296,0.9383,78.55,78.55,157.09
28,0.7541,0.5316,0.9323,78.55,78.55,157.09
29,0.7576,0.5287,0.9121,78.55,78.55,157.09
30,0.7655,0.5289,0.8906,78.55,78.55,157.09
31,0.7684,0.5291,0.8844,78.55,78.55,157.09
32,0.7687,0.5273,0.8689,78.55,78.55,157.09
33,0.7700,0.5276,0.8571,78.55,78.55,157.09
34,0.7701,0.5251,0.8518,78.55,78.55,157.09
35,0.7732,0.5215,0.8376,78.55,78.55,157.09
36,0.7730,0.5251,0.8296,78.55,78.55,157.09
37,0.7829,0.5265,0.8098,78.55,78.55,157.09
38,0.7845,0.5251,0.8060,78.55,78.55,157.09
39,0.7777,0.5230,0.8003,78.55,78.55,157.09
40,0.7830,0.5205,0.7925,78.55,78.55,157.09
41,0.7833,0.5243,0.7851,78.55,78.55,157.09
42,0.7824,0.5213,0.7858,78.55,78.55,157.09
43,0.7836,0.5165,0.7756,78.55,78.55,157.09
44,0.7845,0.5172,0.7708,78.55,78.55,157.09
45,0.7855,0.5172,0.7611,78.55,78.55,157.09
46,0.7885,0.5206,0.7541,78.55,78.55,157.09
47,0.7885,0.5167,0.7432,78.55,78.55,157.09
48,0.7875,0.5153,0.7379,78.55,78.55,157.09
49,0.7912,0.5157,0.7368,78.55,78.55,157.09
50,0.7893,0.5206,0.7323,78.55,78.55,157.09
51,0.7960,0.5204,0.7107,78.55,78.55,157.09
52,0.7979,0.5132,0.7130,78.55,78.55,157.09
53,0.7969,0.5158,0.7003,78.55,78.55,157.09
54,0.7997,0.5152,0.6950,78.55,78.55,157.09
55,0.7991,0.5169,0.6889,78.55,78.55,157.09
56,0.8002,0.5125,0.6873,78.55,78.55,157.09
57,0.8006,0.5141,0.6855,78.55,78.55,157.09
58,0.8053,0.5135,0.6785,78.55,78.55,157.09
59,0.8052,0.5147,0.6731,78.55,78.55,157.09
60,0.8000,0.5171,0.6664,78.55,78.55,157.09
61,0.8052,0.5163,0.6580,78.55,78.55,157.09
62,0.8080,0.5142,0.6558,78.55,78.55,157.09
63,0.8057,0.5116,0.6638,78.55,78.55,157.09
64,0.8015,0.5130,0.6580,78.55,78.55,157.09
65,0.8060,0.5130,0.6505,78.55,78.55,157.09
66,0.8057,0.5117,0.6384,78.55,78.55,157.09
67,0.8137,0.5120,0.6385,78.55,78.55,157.09
68,0.8021,0.5082,0.6542,78.55,78.55,157.09
69,0.8177,0.5114,0.6118,78.55,78.55,157.09
70,0.8020,0.5083,0.6362,78.55,78.55,157.09
71,0.8069,0.5101,0.6273,78.55,78.55,157.09
72,0.8065,0.5072,0.6144,78.55,78.55,157.09
