round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0999,,2.3031,0.00,196.36,196.36
2,0.1239,,2.3525,196.36,196.36,392.73
3,0.2230,,2.2683,196.36,196.36,392.73
4,0.3143,,2.1439,196.36,196.36,392.73
5,0.3749,,2.0488,196.36,196.36,392.73
6,0.4277,,1.9626,196.36,196.36,392.73
7,0.4739,,1.8806,196.36,196.36,392.73
8,0.5104,,1.8034,196.36,196.36,392.73
9,0.5385,,1.7314,196.36,196.36,392.73
10,0.5634,,1.6636,196.36,196.36,392.73
11,0.5801,,1.6014,196.36,196.36,392.73
12,0.5951,,1.5427,196.36,196.36,392.73
13,0.6087,,1.4878,196.36,196.36,392.73
14,0.6185,,1.4372,196.36,196.36,392.73
15,0.6291,,1.3903,196.36,196.36,392.73
16,0.6375,,1.3462,196.36,196.36,392.73
17,0.6427,,1.3056,196.36,196.36,392.73
18,0.6491,,1.2673,196.36,196.36,392.73
19,0.6528,,1.2315,196.36,196.36,392.73
20,0.6573,,1.1992,196.36,196.36,392.73
21,0.6621,,1.1678,196.36,196.36,392.73
22,0.6672,,1.1374,196.36,196.36,392.73
23,0.6710,,1.1097,196.36,196.36,392.73
24,0.6747,,1.0840,196.36,196.36,392.73
25,0.6780,,1.0587,196.36,196.36,392.73
26,0.6807,,1.0356,196.36,196.36,392.73
27,0.6845,,1.0131,196.36,196.36,392.73
28,0.6884,,0.9919,196.36,196.36,392.73
29,0.6910,,0.9722,196.36,196.36,392.73
30,0.6943,,0.9508,196.36,196.36,392.73
31,0.6996,,0.9328,196.36,196.36,392.73
32,0.7013,,0.9147,196.36,196.36,392.73
33,0.7046,,0.8975,196.36,196.36,392.73
34,0.7066,,0.8811,196.36,196.36,392.73
35,0.7087,,0.8656,196.36,196.36,392.73
36,0.7119,,0.8521,196.36,196.36,392.73
37,0.7157,,0.8357,196.36,196.36,392.73
38,0.7153,,0.8242,196.36,196.36,392.73
39,0.7203,,0.8093,196.36,196.36,392.73
40,0.7218,,0.7968,196.36,196.36,392.73
41,0.7233,,0.7834,196.36,196.36,392.73
42,0.7250,,0.7718,196.36,196.36,392.73
43,0.7264,,0.7597,196.36,196.36,392.73
44,0.7275,,0.7488,196.36,196.36,392.73
45,0.7293,,0.7365,196.36,196.36,392.73
46,0.7299,,0.7272,196.36,196.36,392.73
47,0.7289,,0.7194,196.36,196.36,392.73
48,0.7351,,0.7054,196.36,196.36,392.73
49,0.7366,,0.6957,196.36,196.36,392.73
50,0.7340,,0.6890,196.36,196.36,392.73
51,0.7376,,0.6778,196.36,196.36,392.73
52,0.7391,,0.6698,196.36,196.36,392.73
53,0.7394,,0.6630,196.36,196.36,392.73
54,0.7408,,0.6534,196.36,196.36,392.73
55,0.7410,,0.6456,196.36,196.36,392.73
56,0.7415,,0.6375,196.36,196.36,392.73
57,0.7447,,0.6290,196.36,196.36,392.73
58,0.7452,,0.6208,196.36,196.36,392.73
59,0.7447,,0.6157,196.36,196.36,392.73
60,0.7500,,0.6043,196.36,196.36,392.73
61,0.7493,,0.5984,196.36,196.36,392.73
62,0.7462,,0.5958,196.36,196.36,392.73
63,0.7519,,0.5838,196.36,196.36,392.73
64,0.7525,,0.5792,196.36,196.36,392.73
65,0.7506,,0.5742,196.36,196.36,392.73
66,0.7507,,0.5706,196.36,196.36,392.73
67,0.7568,,0.5601,196.36,196.36,392.73
68,0.7558,,0.5553,196.36,196.36,392.73
69,0.7568,,0.5478,196.36,196.36,392.73
70,0.7576,,0.5439,196.36,196.36,392.73
71,0.7562,,0.5388,196.36,196.36,392.73
72,0.7579,,0.5322,196.36,196.36,392.73
73,0.7582,,0.5270,196.36,196.36,392.73
74,0.7584,,0.5206,196.36,196.36,392.73
75,0.7585,,0.5177,196.36,196.36,392.73
76,0.7610,,0.5105,196.36,196.36,392.73
77,0.7608,,0.5056,196.36,196.36,392.73
78,0.7594,,0.5019,196.36,196.36,392.73
79,0.7631,,0.4943,196.36,196.36,392.73
80,0.7644,,0.4908,196.36,196.36,392.73
81,0.7638,,0.4876,196.36,196.36,392.73
82,0.7633,,0.4827,196.36,196.36,392.73
83,0.7627,,0.4793,196.36,196.36,392.73
84,0.7657,,0.4712,196.36,196.36,392.73
85,0.7655,,0.4684,196.36,196.36,392.73
86,0.7662,,0.4640,196.36,196.36,392.73
87,0.7655,,0.4615,196.36,196.36,392.73
88,0.7669,,0.4556,196.36,196.36,392.73
89,0.7687,,0.4488,196.36,196.36,392.73
90,0.7664,,0.4493,196.36,196.36,392.73
91,0.7692,,0.4416,196.36,196.36,392.73
92,0.7678,,0.4412,196.36,196.36,392.73
93,0.7732,,0.4310,196.36,196.36,392.73
94,0.7721,,0.4312,196.36,196.36,392.73
95,0.7710,,0.4282,196.36,196.36,392.73
96,0.7698,,0.4271,196.36,196.36,392.73
97,0.7719,,0.4189,196.36,196.36,392.73
98,0.7748,,0.4143,196.36,196.36,392.73
99,0.7756,,0.4112,196.36,196.36,392.73
100,0.7733,,0.4073,196.36,196.36,392.73
101,0.7740,,0.4066,196.36,196.36,392.73
