round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,0.0000,,,,,,,0.00,0.00,0.00
2,0.1499,,0.0000,,,,,,,132.99,132.99,265.99
3,0.1733,,0.0000,,,,,,,132.99,132.99,265.99
4,0.1855,,0.0000,,,,,,,132.99,132.99,265.99
5,0.1870,,0.0000,,,,,,,132.99,132.99,265.99
6,0.1885,,0.0000,,,,,,,132.99,132.99,265.99
7,0.1896,,0.0000,,,,,,,132.99,132.99,265.99
8,0.1905,,0.0000,,,,,,,132.99,132.99,265.99
9,0.1909,,0.0000,,,,,,,132.99,132.99,265.99
10,0.1915,,0.0000,,,,,,,132.99,132.99,265.99
11,0.1916,,0.0000,,,,,,,132.99,132.99,265.99
12,0.1918,,0.0000,,,,,,,132.99,132.99,265.99
13,0.1919,,0.0000,,,,,,,132.99,132.99,265.99
14,0.1919,,0.0000,,,,,,,132.99,132.99,265.99
15,0.1921,,0.0000,,,,,,,132.99,132.99,265.99
16,0.1921,,0.0000,,,,,,,132.99,132.99,265.99
17,0.1925,,0.0000,,,,,,,132.99,132.99,265.99
18,0.1925,,0.0000,,,,,,,132.99,132.99,265.99
19,0.1930,,0.0000,,,,,,,132.99,132.99,265.99
20,0.1931,,0.0000,,,,,,,132.99,132.99,265.99
21,0.1931,,0.0000,,,,,,,132.99,132.99,265.99
22,0.1934,,0.0000,,,,,,,132.99,132.99,265.99
23,0.1933,,0.0000,,,,,,,132.99,132.99,265.99
24,0.1934,,0.0000,,,,,,,132.99,132.99,265.99
25,0.1936,,0.0000,,,,,,,132.99,132.99,265.99
26,0.1936,,0.0000,,,,,,,132.99,132.99,265.99
27,0.1935,,0.0000,,,,,,,132.99,132.99,265.99
28,0.1936,,0.0000,,,,,,,132.99,132.99,265.99
29,0.1936,,0.0000,,,,,,,132.99,132.99,265.99
30,0.1938,,0.0000,,,,,,,132.99,132.99,265.99
31,0.1937,,0.0000,,,,,,,132.99,132.99,265.99
32,0.1937,,0.0000,,,,,,,132.99,132.99,265.99
33,0.1937,,0.0000,,,,,,,132.99,132.99,265.99
34,0.1937,,0.0000,,,,,,,132.99,132.99,265.99
35,0.1937,,0.0000,,,,,,,132.99,132.99,265.99
36,0.1936,,0.0000,,,,,,,132.99,132.99,265.99
37,0.1937,,0.0000,,,,,,,132.99,132.99,265.99
38,0.1936,,0.0000,,,,,,,132.99,132.99,265.99
39,0.1938,,0.0000,,,,,,,132.99,132.99,265.99
40,0.1940,,0.0000,,,,,,,132.99,132.99,265.99
41,0.1940,,0.0000,,,,,,,132.99,132.99,265.99
42,0.1943,,0.0000,,,,,,,132.99,132.99,265.99
43,0.1941,,0.0000,,,,,,,132.99,132.99,265.99
44,0.1943,,0.0000,,,,,,,132.99,132.99,265.99
45,0.1942,,0.0000,,,,,,,132.99,132.99,265.99
46,0.1942,,0.0000,,,,,,,132.99,132.99,265.99
47,0.1943,,0.0000,,,,,,,132.99,132.99,265.99
48,0.1944,,0.0000,,,,,,,132.99,132.99,265.99
49,0.1943,,0.0000,,,,,,,132.99,132.99,265.99
50,0.1944,,0.0000,,,,,,,132.99,132.99,265.99
51,0.1943,,0.0000,,,,,,,132.99,132.99,265.99
52,0.1567,,0.0000,,,,,,,132.99,132.99,265.99
53,0.1822,,0.0000,,,,,,,221.66,221.66,443.31
54,0.1929,,0.0000,,,,,,,221.66,221.66,443.31
55,0.1956,,0.0000,,,,,,,221.66,221.66,443.31
56,0.1959,,0.0000,,,,,,,221.66,221.66,443.31
57,0.1963,,0.0000,,,,,,,221.66,221.66,443.31
58,0.1963,,0.0000,,,,,,,221.66,221.66,443.31
59,0.1963,,0.0000,,,,,,,221.66,221.66,443.31
60,0.1964,,0.0000,,,,,,,221.66,221.66,443.31
61,0.1963,,0.0000,,,,,,,221.66,221.66,443.31
62,0.1964,,0.0000,,,,,,,221.66,221.66,443.31
63,0.1963,,0.0000,,,,,,,221.66,221.66,443.31
64,0.1964,,0.0000,,,,,,,221.66,221.66,443.31
65,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
66,0.1965,,0.0000,,,,,,,221.66,221.66,443.31
67,0.1965,,0.0000,,,,,,,221.66,221.66,443.31
68,0.1964,,0.0000,,,,,,,221.66,221.66,443.31
69,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
70,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
71,0.1965,,0.0000,,,,,,,221.66,221.66,443.31
72,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
73,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
74,0.1968,,0.0000,,,,,,,221.66,221.66,443.31
75,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
76,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
77,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
78,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
79,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
80,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
81,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
82,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
83,0.1965,,0.0000,,,,,,,221.66,221.66,443.31
84,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
85,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
86,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
87,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
88,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
89,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
90,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
91,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
92,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
93,0.1968,,0.0000,,,,,,,221.66,221.66,443.31
94,0.1968,,0.0000,,,,,,,221.66,221.66,443.31
95,0.1966,,0.0000,,,,,,,221.66,221.66,443.31
96,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
97,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
98,0.1968,,0.0000,,,,,,,221.66,221.66,443.31
99,0.1967,,0.0000,,,,,,,221.66,221.66,443.31
100,0.1968,,0.0000,,,,,,,221.66,221.66,443.31
101,0.1968,,0.0000,,,,,,,221.66,221.66,443.31
