round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.42266667,0.08245833,,,0.31813449,0.11057731,,,30,30,0,0,2536,6000,1979,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,132.99430847,132.99430847,265.98861694,132.99430847
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.83833333,0.00712500,,,0.10992674,0.01030852,,,30,30,0,0,5030,6000,171,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,265.98861694,265.98861694,531.97723389,177.32574463
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.92633333,0.00000000,,,0.04248398,0.00000000,,,30,30,0,0,5558,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,398.98292542,398.98292542,797.96585083,199.49146271
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.93633333,0.00000000,,,0.03607708,0.00000000,,,30,30,0,0,5618,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,531.97723389,531.97723389,1063.95446777,212.79089355
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.94283333,0.00000000,,,0.03089453,0.00000000,,,30,30,0,0,5657,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,664.97154236,664.97154236,1329.94308472,221.65718079
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.94783333,0.00000000,,,0.02785927,0.00000000,,,30,30,0,0,5687,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,797.96585083,797.96585083,1595.93170166,227.99024309
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95216667,0.00000000,,,0.02761893,0.00000000,,,30,30,0,0,5713,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,930.96015930,930.96015930,1861.92031860,232.74003983
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95483333,0.00000000,,,0.02700257,0.00000000,,,30,30,0,0,5729,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1063.95446777,1063.95446777,2127.90893555,236.43432617
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95650000,0.00000000,,,0.02608160,0.00000000,,,30,30,0,0,5739,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1196.94877625,1196.94877625,2393.89755249,239.38975525
10,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95850000,0.00000000,,,0.02559785,0.00000000,,,30,30,0,0,5751,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1329.94308472,1329.94308472,2659.88616943,241.80783358
11,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95850000,0.00000000,,,0.02490482,0.00000000,,,30,30,0,0,5751,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1462.93739319,1462.93739319,2925.87478638,243.82289886
12,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95933333,0.00000000,,,0.02485737,0.00000000,,,30,30,0,0,5756,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1595.93170166,1595.93170166,3191.86340332,245.52795410
13,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96050000,0.00000000,,,0.02460860,0.00000000,,,30,30,0,0,5763,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1728.92601013,1728.92601013,3457.85202026,246.98943002
14,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96083333,0.00000000,,,0.02422407,0.00000000,,,30,30,0,0,5765,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1861.92031860,1861.92031860,3723.84063721,248.25604248
15,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96050000,0.00000000,,,0.02457472,0.00000000,,,30,30,0,0,5763,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,1994.91462708,1994.91462708,3989.82925415,249.36432838
16,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96250000,0.00000000,,,0.02362026,0.00000000,,,30,30,0,0,5775,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2127.90893555,2127.90893555,4255.81787109,250.34222771
17,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96250000,0.00000000,,,0.02397047,0.00000000,,,30,30,0,0,5775,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2260.90324402,2260.90324402,4521.80648804,251.21147156
18,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96500000,0.00000000,,,0.02345208,0.00000000,,,30,30,0,0,5790,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2393.89755249,2393.89755249,4787.79510498,251.98921605
19,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96533333,0.00000000,,,0.02327135,0.00000000,,,30,30,0,0,5792,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2526.89186096,2526.89186096,5053.78372192,252.68918610
20,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96566667,0.00000000,,,0.02286676,0.00000000,,,30,30,0,0,5794,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2659.88616943,2659.88616943,5319.77233887,253.32249233
21,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96633333,0.00000000,,,0.02224610,0.00000000,,,30,30,0,0,5798,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2792.88047791,2792.88047791,5585.76095581,253.89822526
22,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96750000,0.00000000,,,0.02143789,0.00000000,,,30,30,0,0,5805,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,2925.87478638,2925.87478638,5851.74957275,254.42389447
23,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96666667,0.00000000,,,0.02222361,0.00000000,,,30,30,0,0,5800,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3058.86909485,3058.86909485,6117.73818970,254.90575790
24,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96750000,0.00000000,,,0.02170829,0.00000000,,,30,30,0,0,5805,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3191.86340332,3191.86340332,6383.72680664,255.34907227
25,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96800000,0.00000000,,,0.02115813,0.00000000,,,30,30,0,0,5808,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3324.85771179,3324.85771179,6649.71542358,255.75828552
26,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96816667,0.00000000,,,0.02162111,0.00000000,,,30,30,0,0,5809,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3457.85202026,3457.85202026,6915.70404053,256.13718669
27,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96766667,0.00000000,,,0.02170765,0.00000000,,,30,30,0,0,5806,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3590.84632874,3590.84632874,7181.69265747,256.48902348
28,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96833333,0.00000000,,,0.02114763,0.00000000,,,30,30,0,0,5810,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3723.84063721,3723.84063721,7447.68127441,256.81659567
29,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96800000,0.00000000,,,0.02170253,0.00000000,,,30,30,0,0,5808,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3856.83494568,3856.83494568,7713.66989136,257.12232971
30,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96850000,0.00000000,,,0.02133659,0.00000000,,,30,30,0,0,5811,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,3989.82925415,3989.82925415,7979.65850830,257.40833898
31,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96816667,0.00000000,,,0.02103502,0.00000000,,,30,30,0,0,5809,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4122.82356262,4122.82356262,8245.64712524,257.67647266
32,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96816667,0.00000000,,,0.02142753,0.00000000,,,30,30,0,0,5809,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4255.81787109,4255.81787109,8511.63574219,257.92835582
33,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96916667,0.00000000,,,0.02089989,0.00000000,,,30,30,0,0,5815,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4388.81217957,4388.81217957,8777.62435913,258.16542233
34,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96866667,0.00000000,,,0.02132812,0.00000000,,,30,30,0,0,5812,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4521.80648804,4521.80648804,9043.61297607,258.38894217
35,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96800000,0.00000000,,,0.02204541,0.00000000,,,30,30,0,0,5808,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4654.80079651,4654.80079651,9309.60159302,258.60004425
36,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96833333,0.00000000,,,0.02146056,0.00000000,,,30,30,0,0,5810,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4787.79510498,4787.79510498,9575.59020996,258.79973540
37,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96900000,0.00000000,,,0.02111082,0.00000000,,,30,30,0,0,5814,6000,0,24000,0,0,0,0,132.99430847,132.99430847,265.98861694,4920.78941345,4920.78941345,9841.57882690,258.98891650
