round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,0.0000,0.00,0.00,0.00
2,0.2215,,0.0000,221.66,221.66,443.31
3,0.4079,,0.0000,221.66,221.66,443.31
4,0.5046,,0.0000,221.66,221.66,443.31
5,0.5284,,0.0000,221.66,221.66,443.31
6,0.5353,,0.0000,221.66,221.66,443.31
7,0.5383,,0.0000,221.66,221.66,443.31
8,0.5403,,0.0000,221.66,221.66,443.31
9,0.5410,,0.0000,221.66,221.66,443.31
10,0.5420,,0.0000,221.66,221.66,443.31
11,0.5427,,0.0000,221.66,221.66,443.31
12,0.5433,,0.0000,221.66,221.66,443.31
13,0.5440,,0.0000,221.66,221.66,443.31
14,0.5442,,0.0000,221.66,221.66,443.31
15,0.5447,,0.0000,221.66,221.66,443.31
16,0.5447,,0.0000,221.66,221.66,443.31
17,0.5453,,0.0000,221.66,221.66,443.31
18,0.5456,,0.0000,221.66,221.66,443.31
19,0.5456,,0.0000,221.66,221.66,443.31
20,0.5458,,0.0000,221.66,221.66,443.31
21,0.5461,,0.0000,221.66,221.66,443.31
22,0.5462,,0.0000,221.66,221.66,443.31
23,0.5465,,0.0000,221.66,221.66,443.31
24,0.5465,,0.0000,221.66,221.66,443.31
25,0.5466,,0.0000,221.66,221.66,443.31
26,0.5470,,0.0000,221.66,221.66,443.31
27,0.5471,,0.0000,221.66,221.66,443.31
28,0.5470,,0.0000,221.66,221.66,443.31
29,0.5472,,0.0000,221.66,221.66,443.31
30,0.5474,,0.0000,221.66,221.66,443.31
31,0.5473,,0.0000,221.66,221.66,443.31
32,0.5476,,0.0000,221.66,221.66,443.31
33,0.5475,,0.0000,221.66,221.66,443.31
34,0.5479,,0.0000,221.66,221.66,443.31
35,0.5480,,0.0000,221.66,221.66,443.31
36,0.5477,,0.0000,221.66,221.66,443.31
37,0.5480,,0.0000,221.66,221.66,443.31
38,0.5480,,0.0000,221.66,221.66,443.31
39,0.5482,,0.0000,221.66,221.66,443.31
40,0.5484,,0.0000,221.66,221.66,443.31
41,0.5483,,0.0000,221.66,221.66,443.31
42,0.5485,,0.0000,221.66,221.66,443.31
43,0.5486,,0.0000,221.66,221.66,443.31
44,0.5487,,0.0000,221.66,221.66,443.31
45,0.5489,,0.0000,221.66,221.66,443.31
46,0.5489,,0.0000,221.66,221.66,443.31
47,0.5488,,0.0000,221.66,221.66,443.31
48,0.5490,,0.0000,221.66,221.66,443.31
49,0.5489,,0.0000,221.66,221.66,443.31
50,0.5492,,0.0000,221.66,221.66,443.31
51,0.5490,,0.0000,221.66,221.66,443.31
52,0.5492,,0.0000,221.66,221.66,443.31
53,0.5493,,0.0000,221.66,221.66,443.31
54,0.5493,,0.0000,221.66,221.66,443.31
55,0.5492,,0.0000,221.66,221.66,443.31
56,0.5496,,0.0000,221.66,221.66,443.31
57,0.5495,,0.0000,221.66,221.66,443.31
58,0.5493,,0.0000,221.66,221.66,443.31
59,0.5496,,0.0000,221.66,221.66,443.31
60,0.5495,,0.0000,221.66,221.66,443.31
61,0.5495,,0.0000,221.66,221.66,443.31
62,0.5497,,0.0000,221.66,221.66,443.31
63,0.5497,,0.0000,221.66,221.66,443.31
64,0.5495,,0.0000,221.66,221.66,443.31
65,0.5496,,0.0000,221.66,221.66,443.31
66,0.5496,,0.0000,221.66,221.66,443.31
67,0.5498,,0.0000,221.66,221.66,443.31
68,0.5499,,0.0000,221.66,221.66,443.31
69,0.5496,,0.0000,221.66,221.66,443.31
70,0.5498,,0.0000,221.66,221.66,443.31
71,0.5501,,0.0000,221.66,221.66,443.31
72,0.5499,,0.0000,221.66,221.66,443.31
73,0.5500,,0.0000,221.66,221.66,443.31
74,0.5499,,0.0000,221.66,221.66,443.31
75,0.5499,,0.0000,221.66,221.66,443.31
76,0.5501,,0.0000,221.66,221.66,443.31
77,0.5501,,0.0000,221.66,221.66,443.31
78,0.5501,,0.0000,221.66,221.66,443.31
79,0.5502,,0.0000,221.66,221.66,443.31
80,0.5502,,0.0000,221.66,221.66,443.31
81,0.5502,,0.0000,221.66,221.66,443.31
82,0.5501,,0.0000,221.66,221.66,443.31
83,0.5501,,0.0000,221.66,221.66,443.31
84,0.5503,,0.0000,221.66,221.66,443.31
85,0.5503,,0.0000,221.66,221.66,443.31
86,0.5502,,0.0000,221.66,221.66,443.31
87,0.5501,,0.0000,221.66,221.66,443.31
88,0.5503,,0.0000,221.66,221.66,443.31
89,0.5502,,0.0000,221.66,221.66,443.31
90,0.5505,,0.0000,221.66,221.66,443.31
91,0.5504,,0.0000,221.66,221.66,443.31
92,0.5504,,0.0000,221.66,221.66,443.31
93,0.5504,,0.0000,221.66,221.66,443.31
94,0.5504,,0.0000,221.66,221.66,443.31
95,0.5503,,0.0000,221.66,221.66,443.31
96,0.5505,,0.0000,221.66,221.66,443.31
97,0.5505,,0.0000,221.66,221.66,443.31
98,0.5504,,0.0000,221.66,221.66,443.31
99,0.5506,,0.0000,221.66,221.66,443.31
100,0.5507,,0.0000,221.66,221.66,443.31
101,0.5504,,0.0000,221.66,221.66,443.31
