round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3031,0.00,0.00,0.00
2,0.8629,0.1357,0.5095,78.55,78.55,157.09
3,0.8823,0.1532,0.4242,78.55,78.55,157.09
4,0.8992,0.1813,0.3627,78.55,78.55,157.09
5,0.9048,0.2014,0.3440,78.55,78.55,157.09
6,0.9055,0.1973,0.3381,78.55,78.55,157.09
7,0.9153,0.2047,0.3020,78.55,78.55,157.09
8,0.9227,0.2235,0.2739,78.55,78.55,157.09
9,0.9251,0.2455,0.2649,78.55,78.55,157.09
10,0.9191,0.2317,0.2844,78.55,78.55,157.09
11,0.9213,0.2335,0.2659,78.55,78.55,157.09
12,0.9247,0.2575,0.2668,78.55,78.55,157.09
13,0.9355,0.2622,0.2329,78.55,78.55,157.09
14,0.9318,0.2713,0.2313,78.55,78.55,157.09
15,0.9380,0.2855,0.2314,78.55,78.55,157.09
16,0.9376,0.2897,0.2146,78.55,78.55,157.09
17,0.9376,0.2960,0.2257,78.55,78.55,157.09
18,0.9410,0.2952,0.1972,78.55,78.55,157.09
19,0.9408,0.2915,0.2029,78.55,78.55,157.09
20,0.9402,0.3194,0.1955,78.55,78.55,157.09
21,0.9405,0.3295,0.1960,78.55,78.55,157.09
22,0.9407,0.3116,0.1897,78.55,78.55,157.09
23,0.9493,0.3349,0.1661,78.55,78.55,157.09
24,0.9437,0.3215,0.1919,78.55,78.55,157.09
25,0.9459,0.3256,0.1761,78.55,78.55,157.09
26,0.9448,0.3392,0.1734,78.55,78.55,157.09
27,0.9500,0.3411,0.1663,78.55,78.55,157.09
28,0.9496,0.3349,0.1596,78.55,78.55,157.09
29,0.9478,0.3556,0.1685,78.55,78.55,157.09
30,0.9456,0.3620,0.1625,78.55,78.55,157.09
31,0.9487,0.3569,0.1616,78.55,78.55,157.09
32,0.9519,0.3859,0.1553,78.55,78.55,157.09
33,0.9521,0.3676,0.1468,78.55,78.55,157.09
34,0.9522,0.3929,0.1484,78.55,78.55,157.09
35,0.9512,0.3706,0.1446,78.55,78.55,157.09
36,0.9529,0.3767,0.1477,78.55,78.55,157.09
37,0.9514,0.3862,0.1499,78.55,78.55,157.09
38,0.9533,0.3946,0.1432,78.55,78.55,157.09
39,0.9535,0.4110,0.1423,78.55,78.55,157.09
40,0.9545,0.4174,0.1383,78.55,78.55,157.09
41,0.9560,0.4276,0.1420,78.55,78.55,157.09
42,0.9539,0.3989,0.1408,78.55,78.55,157.09
43,0.9582,0.4259,0.1320,78.55,78.55,157.09
44,0.9525,0.4113,0.1399,78.55,78.55,157.09
45,0.9553,0.4353,0.1367,78.55,78.55,157.09
46,0.9549,0.4062,0.1317,78.55,78.55,157.09
47,0.9574,0.4271,0.1294,78.55,78.55,157.09
48,0.9562,0.4196,0.1284,78.55,78.55,157.09
49,0.9574,0.4429,0.1302,78.55,78.55,157.09
50,0.9586,0.4318,0.1222,78.55,78.55,157.09
51,0.9594,0.4386,0.1216,78.55,78.55,157.09
