round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,0.00,0.00
2,0.1736,,1.6036,,,,,,,117.82,117.82,235.64
3,0.1890,,0.3678,,,,,,,117.82,117.82,235.64
4,0.1907,,0.1633,,,,,,,117.82,117.82,235.64
5,0.1913,,0.1189,,,,,,,117.82,117.82,235.64
6,0.1920,,0.0980,,,,,,,117.82,117.82,235.64
7,0.1920,,0.0855,,,,,,,117.82,117.82,235.64
8,0.1925,,0.0762,,,,,,,117.82,117.82,235.64
9,0.1928,,0.0695,,,,,,,117.82,117.82,235.64
10,0.1931,,0.0640,,,,,,,117.82,117.82,235.64
11,0.1932,,0.0594,,,,,,,117.82,117.82,235.64
12,0.1935,,0.0558,,,,,,,117.82,117.82,235.64
13,0.1936,,0.0526,,,,,,,117.82,117.82,235.64
14,0.1935,,0.0500,,,,,,,117.82,117.82,235.64
15,0.1936,,0.0472,,,,,,,117.82,117.82,235.64
16,0.1938,,0.0452,,,,,,,117.82,117.82,235.64
17,0.1939,,0.0431,,,,,,,117.82,117.82,235.64
18,0.1939,,0.0409,,,,,,,117.82,117.82,235.64
19,0.1942,,0.0390,,,,,,,117.82,117.82,235.64
20,0.1941,,0.0376,,,,,,,117.82,117.82,235.64
21,0.1942,,0.0363,,,,,,,117.82,117.82,235.64
22,0.1942,,0.0350,,,,,,,117.82,117.82,235.64
23,0.1942,,0.0334,,,,,,,117.82,117.82,235.64
24,0.1944,,0.0323,,,,,,,117.82,117.82,235.64
25,0.1943,,0.0313,,,,,,,117.82,117.82,235.64
26,0.1945,,0.0298,,,,,,,117.82,117.82,235.64
27,0.1945,,0.0287,,,,,,,117.82,117.82,235.64
28,0.1945,,0.0281,,,,,,,117.82,117.82,235.64
29,0.1945,,0.0280,,,,,,,117.82,117.82,235.64
30,0.1946,,0.0260,,,,,,,117.82,117.82,235.64
31,0.1947,,0.0258,,,,,,,117.82,117.82,235.64
32,0.1946,,0.0252,,,,,,,117.82,117.82,235.64
33,0.1946,,0.0239,,,,,,,117.82,117.82,235.64
34,0.1948,,0.0230,,,,,,,117.82,117.82,235.64
35,0.1947,,0.0222,,,,,,,117.82,117.82,235.64
36,0.1945,,0.0219,,,,,,,117.82,117.82,235.64
37,0.1947,,0.0211,,,,,,,117.82,117.82,235.64
38,0.1947,,0.0203,,,,,,,117.82,117.82,235.64
39,0.1948,,0.0201,,,,,,,117.82,117.82,235.64
