round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1014,0.1014,2.3027,0.00,0.00,0.00
2,0.8536,0.1296,1.1231,196.36,196.36,392.73
3,0.8817,0.1561,0.8832,196.36,196.36,392.73
4,0.9121,0.1650,0.6225,196.36,196.36,392.73
5,0.8913,0.1777,0.5631,196.36,196.36,392.73
6,0.9130,0.1845,0.4465,196.36,196.36,392.73
7,0.9351,0.1907,0.3855,196.36,196.36,392.73
8,0.9277,0.2116,0.4162,196.36,196.36,392.73
9,0.9458,0.2014,0.3376,196.36,196.36,392.73
10,0.9414,0.2051,0.3461,196.36,196.36,392.73
11,0.9443,0.2145,0.3220,196.36,196.36,392.73
12,0.9490,0.2172,0.3009,196.36,196.36,392.73
13,0.9398,0.2198,0.3283,196.36,196.36,392.73
14,0.9647,0.2302,0.2528,196.36,196.36,392.73
15,0.9652,0.2379,0.2369,196.36,196.36,392.73
16,0.9552,0.2395,0.2688,196.36,196.36,392.73
17,0.9721,0.2382,0.2112,196.36,196.36,392.73
18,0.9715,0.2384,0.2167,196.36,196.36,392.73
19,0.9700,0.2289,0.2017,196.36,196.36,392.73
20,0.9742,0.2395,0.1888,196.36,196.36,392.73
21,0.9736,0.2385,0.1941,196.36,196.36,392.73
22,0.9735,0.2592,0.1990,196.36,196.36,392.73
23,0.9707,0.2519,0.1921,196.36,196.36,392.73
24,0.9606,0.2439,0.2101,196.36,196.36,392.73
25,0.9725,0.2584,0.1764,196.36,196.36,392.73
26,0.9816,0.2591,0.1495,196.36,196.36,392.73
27,0.9739,0.2581,0.1568,196.36,196.36,392.73
28,0.9778,0.2722,0.1518,196.36,196.36,392.73
29,0.9751,0.2771,0.1648,196.36,196.36,392.73
30,0.9830,0.2669,0.1277,196.36,196.36,392.73
31,0.9811,0.2601,0.1312,196.36,196.36,392.73
32,0.9627,0.2781,0.1950,196.36,196.36,392.73
33,0.9813,0.2740,0.1311,196.36,196.36,392.73
34,0.9809,0.2711,0.1374,196.36,196.36,392.73
35,0.9829,0.2708,0.1171,196.36,196.36,392.73
36,0.9829,0.2845,0.1194,196.36,196.36,392.73
37,0.9824,0.2821,0.1156,196.36,196.36,392.73
38,0.9820,0.2935,0.1267,196.36,196.36,392.73
39,0.9832,0.2838,0.1221,196.36,196.36,392.73
40,0.9826,0.2894,0.1153,196.36,196.36,392.73
41,0.9844,0.2870,0.1115,196.36,196.36,392.73
42,0.9849,0.2974,0.1075,196.36,196.36,392.73
43,0.9822,0.3005,0.1173,196.36,196.36,392.73
44,0.9853,0.2901,0.1006,196.36,196.36,392.73
45,0.9856,0.3138,0.1052,196.36,196.36,392.73
46,0.9806,0.3090,0.1301,196.36,196.36,392.73
47,0.9839,0.3036,0.1031,196.36,196.36,392.73
48,0.9856,0.2997,0.0963,196.36,196.36,392.73
49,0.9854,0.2987,0.0900,196.36,196.36,392.73
50,0.9855,0.3105,0.0944,196.36,196.36,392.73
51,0.9864,0.3117,0.0940,196.36,196.36,392.73
52,0.9854,0.3034,0.0940,196.36,196.36,392.73
53,0.9853,0.3111,0.0943,196.36,196.36,392.73
54,0.9853,0.3141,0.0929,196.36,196.36,392.73
55,0.9866,0.3146,0.0863,196.36,196.36,392.73
56,0.9860,0.3158,0.0873,196.36,196.36,392.73
57,0.9864,0.3049,0.0834,196.36,196.36,392.73
58,0.9874,0.3135,0.0842,196.36,196.36,392.73
59,0.9865,0.3100,0.0825,196.36,196.36,392.73
60,0.9856,0.3172,0.0843,196.36,196.36,392.73
61,0.9868,0.3215,0.0869,196.36,196.36,392.73
62,0.9860,0.3308,0.0867,196.36,196.36,392.73
63,0.9873,0.3175,0.0785,196.36,196.36,392.73
64,0.9861,0.3249,0.0837,196.36,196.36,392.73
65,0.9869,0.3148,0.0831,196.36,196.36,392.73
66,0.9875,0.3206,0.0789,196.36,196.36,392.73
67,0.9873,0.3269,0.0787,196.36,196.36,392.73
68,0.9883,0.3322,0.0765,196.36,196.36,392.73
69,0.9871,0.3256,0.0740,196.36,196.36,392.73
70,0.9881,0.3225,0.0769,196.36,196.36,392.73
71,0.9870,0.3122,0.0735,196.36,196.36,392.73
72,0.9872,0.3368,0.0767,196.36,196.36,392.73
73,0.9886,0.3259,0.0716,196.36,196.36,392.73
74,0.9880,0.3417,0.0719,196.36,196.36,392.73
75,0.9885,0.3371,0.0705,196.36,196.36,392.73
76,0.9873,0.3331,0.0757,196.36,196.36,392.73
77,0.9884,0.3323,0.0683,196.36,196.36,392.73
78,0.9876,0.3319,0.0709,196.36,196.36,392.73
79,0.9886,0.3334,0.0712,196.36,196.36,392.73
80,0.9874,0.3312,0.0698,196.36,196.36,392.73
81,0.9880,0.3353,0.0660,196.36,196.36,392.73
82,0.9886,0.3356,0.0670,196.36,196.36,392.73
83,0.9878,0.3320,0.0683,196.36,196.36,392.73
84,0.9519,0.3225,0.3159,196.36,196.36,392.73
85,0.9892,0.3213,0.0613,196.36,196.36,392.73
86,0.9888,0.3388,0.0655,196.36,196.36,392.73
87,0.9878,0.3352,0.0641,196.36,196.36,392.73
88,0.9882,0.3505,0.0663,196.36,196.36,392.73
89,0.9884,0.3439,0.0647,196.36,196.36,392.73
90,0.9882,0.3497,0.0640,196.36,196.36,392.73
91,0.9895,0.3402,0.0593,196.36,196.36,392.73
92,0.9893,0.3285,0.0603,196.36,196.36,392.73
93,0.9890,0.3335,0.0601,196.36,196.36,392.73
94,0.9893,0.3392,0.0598,196.36,196.36,392.73
95,0.9887,0.3447,0.0611,196.36,196.36,392.73
96,0.9898,0.3302,0.0549,196.36,196.36,392.73
97,0.9897,0.3275,0.0577,196.36,196.36,392.73
98,0.9891,0.3229,0.0596,196.36,196.36,392.73
99,0.9884,0.3582,0.0627,196.36,196.36,392.73
100,0.9891,0.3489,0.0600,196.36,196.36,392.73
101,0.9894,0.3482,0.0582,196.36,196.36,392.73
