round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3031,0.00,0.00,0.00
2,0.8449,,1.6164,196.36,196.36,392.73
3,0.9403,,0.6243,196.36,196.36,392.73
4,0.9516,,0.4156,196.36,196.36,392.73
5,0.9548,,0.3647,196.36,196.36,392.73
6,0.9602,,0.3199,196.36,196.36,392.73
7,0.9613,,0.3233,196.36,196.36,392.73
8,0.9665,,0.2740,196.36,196.36,392.73
9,0.9675,,0.2580,196.36,196.36,392.73
10,0.9702,,0.2323,196.36,196.36,392.73
11,0.9725,,0.2019,196.36,196.36,392.73
12,0.9731,,0.2123,196.36,196.36,392.73
13,0.9744,,0.1859,196.36,196.36,392.73
14,0.9754,,0.1713,196.36,196.36,392.73
15,0.9763,,0.1612,196.36,196.36,392.73
16,0.9775,,0.1456,196.36,196.36,392.73
17,0.9772,,0.1552,196.36,196.36,392.73
18,0.9784,,0.1384,196.36,196.36,392.73
19,0.9785,,0.1392,196.36,196.36,392.73
20,0.9796,,0.1298,196.36,196.36,392.73
21,0.9786,,0.1363,196.36,196.36,392.73
22,0.9773,,0.1437,196.36,196.36,392.73
23,0.9802,,0.1265,196.36,196.36,392.73
24,0.9800,,0.1177,196.36,196.36,392.73
25,0.9802,,0.1124,196.36,196.36,392.73
26,0.9809,,0.1130,196.36,196.36,392.73
27,0.9812,,0.1035,196.36,196.36,392.73
28,0.9821,,0.0974,196.36,196.36,392.73
29,0.9819,,0.0994,196.36,196.36,392.73
30,0.9820,,0.0976,196.36,196.36,392.73
31,0.9825,,0.0970,196.36,196.36,392.73
32,0.9822,,0.0937,196.36,196.36,392.73
33,0.9824,,0.0973,196.36,196.36,392.73
34,0.9813,,0.1027,196.36,196.36,392.73
35,0.9829,,0.0959,196.36,196.36,392.73
36,0.9826,,0.0884,196.36,196.36,392.73
37,0.9816,,0.0972,196.36,196.36,392.73
38,0.9840,,0.0871,196.36,196.36,392.73
39,0.9825,,0.0851,196.36,196.36,392.73
40,0.9838,,0.0884,196.36,196.36,392.73
41,0.9838,,0.0840,196.36,196.36,392.73
42,0.9836,,0.0835,196.36,196.36,392.73
43,0.9840,,0.0811,196.36,196.36,392.73
44,0.9840,,0.0806,196.36,196.36,392.73
45,0.9833,,0.0812,196.36,196.36,392.73
46,0.9843,,0.0772,196.36,196.36,392.73
47,0.9845,,0.0771,196.36,196.36,392.73
48,0.9842,,0.0777,196.36,196.36,392.73
49,0.9847,,0.0754,196.36,196.36,392.73
50,0.9846,,0.0741,196.36,196.36,392.73
51,0.9845,,0.0757,196.36,196.36,392.73
52,0.9847,,0.0744,196.36,196.36,392.73
53,0.9845,,0.0734,196.36,196.36,392.73
54,0.9848,,0.0706,196.36,196.36,392.73
55,0.9850,,0.0699,196.36,196.36,392.73
56,0.9860,,0.0652,196.36,196.36,392.73
57,0.9840,,0.0732,196.36,196.36,392.73
58,0.9849,,0.0718,196.36,196.36,392.73
59,0.9852,,0.0652,196.36,196.36,392.73
60,0.9854,,0.0672,196.36,196.36,392.73
61,0.9853,,0.0674,196.36,196.36,392.73
62,0.9858,,0.0627,196.36,196.36,392.73
63,0.9851,,0.0652,196.36,196.36,392.73
64,0.9854,,0.0638,196.36,196.36,392.73
65,0.9855,,0.0654,196.36,196.36,392.73
66,0.9856,,0.0625,196.36,196.36,392.73
67,0.9858,,0.0624,196.36,196.36,392.73
68,0.9861,,0.0633,196.36,196.36,392.73
69,0.9864,,0.0593,196.36,196.36,392.73
70,0.9861,,0.0623,196.36,196.36,392.73
71,0.9862,,0.0605,196.36,196.36,392.73
72,0.9861,,0.0611,196.36,196.36,392.73
73,0.9855,,0.0618,196.36,196.36,392.73
74,0.9860,,0.0619,196.36,196.36,392.73
75,0.9864,,0.0589,196.36,196.36,392.73
76,0.9870,,0.0550,196.36,196.36,392.73
77,0.9869,,0.0574,196.36,196.36,392.73
78,0.9860,,0.0555,196.36,196.36,392.73
79,0.9871,,0.0552,196.36,196.36,392.73
80,0.9864,,0.0602,196.36,196.36,392.73
81,0.9865,,0.0571,196.36,196.36,392.73
82,0.9864,,0.0560,196.36,196.36,392.73
83,0.9866,,0.0566,196.36,196.36,392.73
84,0.9872,,0.0534,196.36,196.36,392.73
85,0.9870,,0.0516,196.36,196.36,392.73
86,0.9874,,0.0520,196.36,196.36,392.73
87,0.9861,,0.0565,196.36,196.36,392.73
88,0.9870,,0.0531,196.36,196.36,392.73
89,0.9867,,0.0537,196.36,196.36,392.73
90,0.9872,,0.0533,196.36,196.36,392.73
91,0.9869,,0.0532,196.36,196.36,392.73
92,0.9872,,0.0523,196.36,196.36,392.73
93,0.9875,,0.0515,196.36,196.36,392.73
94,0.9870,,0.0520,196.36,196.36,392.73
95,0.9874,,0.0499,196.36,196.36,392.73
96,0.9870,,0.0506,196.36,196.36,392.73
97,0.9872,,0.0520,196.36,196.36,392.73
98,0.9875,,0.0493,196.36,196.36,392.73
99,0.9875,,0.0505,196.36,196.36,392.73
100,0.9878,,0.0494,196.36,196.36,392.73
101,0.9871,,0.0504,196.36,196.36,392.73
