round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3010,,,,,,,0.00,86.23,86.23
2,0.1000,,2.2862,,,,,,,82.55,82.55,165.11
3,0.1000,,2.2765,,,,,,,82.55,82.55,165.11
4,0.1000,,2.2694,,,,,,,82.55,82.55,165.11
5,0.1000,,2.2637,,,,,,,82.55,82.55,165.11
6,0.1000,,2.2591,,,,,,,82.55,82.55,165.11
7,0.1000,,2.2553,,,,,,,82.55,82.55,165.11
8,0.1000,,2.2520,,,,,,,82.55,82.55,165.11
9,0.1000,,2.2491,,,,,,,82.55,82.55,165.11
10,0.1000,,2.2466,,,,,,,82.55,82.55,165.11
11,0.1000,,2.2443,,,,,,,82.55,82.55,165.11
12,0.1000,,2.2372,,,,,,,86.23,86.23,172.46
13,0.1000,,2.2369,,,,,,,82.55,82.55,165.11
14,0.1000,,2.2364,,,,,,,82.55,82.55,165.11
15,0.1000,,2.2358,,,,,,,82.55,82.55,165.11
16,0.1000,,2.2352,,,,,,,82.55,82.55,165.11
17,0.1000,,2.2346,,,,,,,82.55,82.55,165.11
18,0.1000,,2.2340,,,,,,,82.55,82.55,165.11
19,0.1000,,2.2335,,,,,,,82.55,82.55,165.11
20,0.1000,,2.2329,,,,,,,82.55,82.55,165.11
21,0.1000,,2.2323,,,,,,,82.55,82.55,165.11
22,0.1000,,2.2317,,,,,,,86.23,82.55,168.78
23,0.1000,,2.2312,,,,,,,82.55,82.55,165.11
24,0.1000,,2.2307,,,,,,,82.55,82.55,165.11
25,0.1000,,2.2301,,,,,,,82.55,82.55,165.11
26,0.1000,,2.2296,,,,,,,82.55,82.55,165.11
27,0.1000,,2.2291,,,,,,,82.55,82.55,165.11
28,0.1000,,2.2286,,,,,,,82.55,82.55,165.11
29,0.1000,,2.2281,,,,,,,82.55,82.55,165.11
30,0.1000,,2.2275,,,,,,,82.55,82.55,165.11
31,0.1020,,2.2271,,,,,,,82.55,82.55,165.11
32,0.1030,,2.2266,,,,,,,86.23,82.55,168.78
33,0.1030,,2.2261,,,,,,,82.55,82.55,165.11
34,0.1070,,2.2256,,,,,,,82.55,82.55,165.11
35,0.1090,,2.2251,,,,,,,82.55,82.55,165.11
36,0.1160,,2.2247,,,,,,,82.55,82.55,165.11
37,0.1210,,2.2242,,,,,,,82.55,82.55,165.11
38,0.1300,,2.2238,,,,,,,82.55,82.55,165.11
39,0.1300,,2.2235,,,,,,,82.55,82.55,165.11
40,0.1300,,2.2231,,,,,,,82.55,82.55,165.11
41,0.1300,,2.2227,,,,,,,82.55,82.55,165.11
42,0.1340,,2.2223,,,,,,,86.23,82.55,168.78
43,0.1370,,2.2219,,,,,,,82.55,82.55,165.11
44,0.1430,,2.2216,,,,,,,82.55,82.55,165.11
45,0.1420,,2.2213,,,,,,,82.55,82.55,165.11
46,0.1520,,2.2209,,,,,,,82.55,82.55,165.11
47,0.1520,,2.2206,,,,,,,82.55,82.55,165.11
48,0.1590,,2.2203,,,,,,,82.55,82.55,165.11
49,0.1600,,2.2201,,,,,,,82.55,82.55,165.11
50,0.1670,,2.2198,,,,,,,82.55,82.55,165.11
51,0.1710,,2.2195,,,,,,,82.55,82.55,165.11
52,0.1680,,2.2971,,,,,,,82.55,137.59,220.15
53,0.1670,,2.2955,,,,,,,137.59,137.59,275.18
54,0.1570,,2.2949,,,,,,,137.59,137.59,275.18
55,0.1580,,2.2946,,,,,,,137.59,137.59,275.18
56,0.1580,,2.2943,,,,,,,137.59,137.59,275.18
57,0.1580,,2.2939,,,,,,,137.59,137.59,275.18
58,0.1580,,2.2935,,,,,,,137.59,137.59,275.18
59,0.1560,,2.2932,,,,,,,137.59,137.59,275.18
60,0.1550,,2.2929,,,,,,,137.59,137.59,275.18
61,0.1540,,2.2925,,,,,,,137.59,137.59,275.18
62,0.1540,,2.2922,,,,,,,137.59,137.59,275.18
63,0.1560,,2.2920,,,,,,,137.59,137.59,275.18
64,0.1550,,2.2917,,,,,,,137.59,137.59,275.18
65,0.1540,,2.2914,,,,,,,137.59,137.59,275.18
66,0.1550,,2.2912,,,,,,,137.59,137.59,275.18
67,0.1570,,2.2910,,,,,,,137.59,137.59,275.18
68,0.1550,,2.2908,,,,,,,137.59,137.59,275.18
69,0.1530,,2.2906,,,,,,,137.59,137.59,275.18
70,0.1550,,2.2904,,,,,,,137.59,137.59,275.18
71,0.1540,,2.2902,,,,,,,137.59,137.59,275.18
72,0.1520,,2.2901,,,,,,,137.59,137.59,275.18
73,0.1540,,2.2899,,,,,,,137.59,137.59,275.18
74,0.1540,,2.2897,,,,,,,137.59,137.59,275.18
75,0.1560,,2.2896,,,,,,,137.59,137.59,275.18
76,0.1560,,2.2894,,,,,,,137.59,137.59,275.18
77,0.1560,,2.2893,,,,,,,137.59,137.59,275.18
78,0.1560,,2.2891,,,,,,,137.59,137.59,275.18
79,0.1560,,2.2890,,,,,,,137.59,137.59,275.18
80,0.1560,,2.2889,,,,,,,137.59,137.59,275.18
81,0.1560,,2.2887,,,,,,,137.59,137.59,275.18
82,0.1570,,2.2886,,,,,,,137.59,137.59,275.18
83,0.1570,,2.2885,,,,,,,137.59,137.59,275.18
84,0.1570,,2.2884,,,,,,,137.59,137.59,275.18
85,0.1570,,2.2882,,,,,,,137.59,137.59,275.18
86,0.1570,,2.2881,,,,,,,137.59,137.59,275.18
87,0.1560,,2.2880,,,,,,,137.59,137.59,275.18
88,0.1570,,2.2879,,,,,,,137.59,137.59,275.18
89,0.1570,,2.2878,,,,,,,137.59,137.59,275.18
90,0.1570,,2.2877,,,,,,,137.59,137.59,275.18
91,0.1570,,2.2876,,,,,,,137.59,137.59,275.18
92,0.1580,,2.2875,,,,,,,137.59,137.59,275.18
93,0.1570,,2.2874,,,,,,,137.59,137.59,275.18
94,0.1560,,2.2874,,,,,,,137.59,137.59,275.18
95,0.1550,,2.2873,,,,,,,137.59,137.59,275.18
96,0.1560,,2.2872,,,,,,,137.59,137.59,275.18
97,0.1550,,2.2871,,,,,,,137.59,137.59,275.18
98,0.1550,,2.2870,,,,,,,137.59,137.59,275.18
99,0.1540,,2.2869,,,,,,,137.59,137.59,275.18
100,0.1550,,2.2868,,,,,,,137.59,137.59,275.18
101,0.1540,,2.2868,,,,,,,137.59,137.59,275.18
