round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0968,0.0968,2.3030,0.00,78.55,78.55
2,0.2959,0.3589,2.1276,78.55,78.55,157.09
3,0.4535,0.5113,1.7922,78.55,78.55,157.09
4,0.5547,0.6106,1.5623,78.55,78.55,157.09
5,0.6215,0.6714,1.3926,78.55,78.55,157.09
6,0.6574,0.6994,1.2649,78.55,78.55,157.09
7,0.6720,0.7136,1.1711,78.55,78.55,157.09
8,0.6837,0.7222,1.0921,78.55,78.55,157.09
9,0.6908,0.7295,1.0334,78.55,78.55,157.09
10,0.6983,0.7376,0.9789,78.55,78.55,157.09
11,0.7023,0.7409,0.9451,78.55,78.55,157.09
12,0.7074,0.7454,0.9116,78.55,78.55,157.09
13,0.7125,0.7519,0.8832,78.55,78.55,157.09
14,0.7171,0.7569,0.8567,78.55,78.55,157.09
15,0.7194,0.7579,0.8373,78.55,78.55,157.09
16,0.7235,0.7636,0.8232,78.55,78.55,157.09
17,0.7281,0.7661,0.8035,78.55,78.55,157.09
18,0.7302,0.7707,0.7936,78.55,78.55,157.09
19,0.7344,0.7746,0.7785,78.55,78.55,157.09
20,0.7373,0.7792,0.7655,78.55,78.55,157.09
21,0.7431,0.7839,0.7535,78.55,78.55,157.09
22,0.7454,0.7870,0.7425,78.55,78.55,157.09
23,0.7491,0.7909,0.7306,78.55,78.55,157.09
24,0.7500,0.7926,0.7275,78.55,78.55,157.09
25,0.7558,0.7980,0.7124,78.55,78.55,157.09
26,0.7610,0.8021,0.7048,78.55,78.55,157.09
27,0.7617,0.8047,0.6979,78.55,78.55,157.09
28,0.7590,0.8042,0.6965,78.55,78.55,157.09
29,0.7637,0.8075,0.6880,78.55,78.55,157.09
30,0.7662,0.8095,0.6820,78.55,78.55,157.09
31,0.7694,0.8137,0.6739,78.55,78.55,157.09
32,0.7703,0.8152,0.6680,78.55,78.55,157.09
33,0.7698,0.8169,0.6634,78.55,78.55,157.09
34,0.7721,0.8185,0.6573,78.55,78.55,157.09
35,0.7741,0.8211,0.6543,78.55,78.55,157.09
36,0.7729,0.8215,0.6529,78.55,78.55,157.09
37,0.7749,0.8249,0.6431,78.55,78.55,157.09
38,0.7782,0.8279,0.6377,78.55,78.55,157.09
39,0.7770,0.8254,0.6389,78.55,78.55,157.09
40,0.7811,0.8299,0.6327,78.55,78.55,157.09
41,0.7779,0.8276,0.6314,78.55,78.55,157.09
42,0.7819,0.8318,0.6239,78.55,78.55,157.09
43,0.7823,0.8331,0.6224,78.55,78.55,157.09
44,0.7873,0.8356,0.6067,78.55,78.55,157.09
45,0.7839,0.8366,0.6161,78.55,78.55,157.09
46,0.7802,0.8334,0.6161,78.55,78.55,157.09
47,0.7807,0.8368,0.6121,78.55,78.55,157.09
48,0.7887,0.8388,0.6002,78.55,78.55,157.09
49,0.7890,0.8405,0.5999,78.55,78.55,157.09
50,0.7893,0.8417,0.5935,78.55,78.55,157.09
51,0.7929,0.8442,0.5858,78.55,78.55,157.09
52,0.7858,0.8386,0.5979,78.55,78.55,157.09
53,0.7867,0.8406,0.5928,78.55,78.55,157.09
54,0.7928,0.8452,0.5833,78.55,78.55,157.09
55,0.7922,0.8461,0.5809,78.55,78.55,157.09
56,0.7916,0.8465,0.5801,78.55,78.55,157.09
57,0.7898,0.8448,0.5827,78.55,78.55,157.09
58,0.7958,0.8484,0.5680,78.55,78.55,157.09
59,0.7976,0.8486,0.5645,78.55,78.55,157.09
60,0.7937,0.8485,0.5726,78.55,78.55,157.09
61,0.7962,0.8502,0.5646,78.55,78.55,157.09
62,0.7992,0.8512,0.5565,78.55,78.55,157.09
63,0.7981,0.8504,0.5608,78.55,78.55,157.09
64,0.7937,0.8515,0.5673,78.55,78.55,157.09
65,0.7978,0.8507,0.5583,78.55,78.55,157.09
66,0.8015,0.8550,0.5451,78.55,78.55,157.09
67,0.7971,0.8526,0.5587,78.55,78.55,157.09
68,0.7965,0.8499,0.5617,78.55,78.55,157.09
69,0.7937,0.8530,0.5621,78.55,78.55,157.09
70,0.8026,0.8545,0.5452,78.55,78.55,157.09
71,0.7946,0.8535,0.5560,78.55,78.55,157.09
72,0.8009,0.8535,0.5437,78.55,78.55,157.09
73,0.7995,0.8557,0.5468,78.55,78.55,157.09
74,0.8017,0.8556,0.5384,78.55,78.55,157.09
75,0.8031,0.8591,0.5350,78.55,78.55,157.09
76,0.8033,0.8577,0.5348,78.55,78.55,157.09
77,0.8013,0.8568,0.5343,78.55,78.55,157.09
78,0.8020,0.8581,0.5345,78.55,78.55,157.09
79,0.8022,0.8587,0.5337,78.55,78.55,157.09
80,0.8033,0.8580,0.5305,78.55,78.55,157.09
81,0.8022,0.8575,0.5310,78.55,78.55,157.09
82,0.8049,0.8608,0.5239,78.55,78.55,157.09
83,0.8066,0.8623,0.5224,78.55,78.55,157.09
84,0.8025,0.8595,0.5276,78.55,78.55,157.09
85,0.8061,0.8628,0.5211,78.55,78.55,157.09
86,0.8034,0.8604,0.5271,78.55,78.55,157.09
87,0.8014,0.8605,0.5293,78.55,78.55,157.09
88,0.8045,0.8618,0.5205,78.55,78.55,157.09
89,0.8022,0.8628,0.5206,78.55,78.55,157.09
90,0.8047,0.8636,0.5159,78.55,78.55,157.09
91,0.8063,0.8633,0.5129,78.55,78.55,157.09
92,0.8045,0.8637,0.5146,78.55,78.55,157.09
93,0.8061,0.8637,0.5089,78.55,78.55,157.09
94,0.8073,0.8650,0.5087,78.55,78.55,157.09
95,0.8086,0.8657,0.5044,78.55,78.55,157.09
96,0.8095,0.8643,0.5018,78.55,78.55,157.09
