round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0990,0.0990,2.3027,0.00,196.36,196.36
2,0.1095,0.1215,2.2961,196.36,196.36,392.73
3,0.4072,0.4702,2.1620,196.36,196.36,392.73
4,0.5011,0.5621,1.9986,196.36,196.36,392.73
5,0.5417,0.5950,1.8661,196.36,196.36,392.73
6,0.5805,0.6237,1.7507,196.36,196.36,392.73
7,0.6091,0.6452,1.6458,196.36,196.36,392.73
8,0.6250,0.6605,1.5525,196.36,196.36,392.73
9,0.6419,0.6795,1.4718,196.36,196.36,392.73
10,0.6538,0.6919,1.3990,196.36,196.36,392.73
11,0.6631,0.7014,1.3382,196.36,196.36,392.73
12,0.6687,0.7067,1.2832,196.36,196.36,392.73
13,0.6746,0.7116,1.2339,196.36,196.36,392.73
14,0.6800,0.7171,1.1917,196.36,196.36,392.73
15,0.6841,0.7202,1.1528,196.36,196.36,392.73
16,0.6883,0.7241,1.1152,196.36,196.36,392.73
17,0.6937,0.7274,1.0833,196.36,196.36,392.73
18,0.6959,0.7292,1.0549,196.36,196.36,392.73
19,0.6981,0.7324,1.0281,196.36,196.36,392.73
20,0.7032,0.7357,1.0027,196.36,196.36,392.73
21,0.7013,0.7355,0.9859,196.36,196.36,392.73
22,0.7068,0.7401,0.9630,196.36,196.36,392.73
23,0.7098,0.7431,0.9466,196.36,196.36,392.73
24,0.7116,0.7439,0.9303,196.36,196.36,392.73
25,0.7130,0.7465,0.9142,196.36,196.36,392.73
26,0.7170,0.7493,0.8973,196.36,196.36,392.73
27,0.7186,0.7507,0.8833,196.36,196.36,392.73
28,0.7232,0.7541,0.8713,196.36,196.36,392.73
29,0.7243,0.7560,0.8598,196.36,196.36,392.73
30,0.7260,0.7587,0.8507,196.36,196.36,392.73
31,0.7273,0.7609,0.8388,196.36,196.36,392.73
32,0.7295,0.7621,0.8303,196.36,196.36,392.73
33,0.7301,0.7639,0.8191,196.36,196.36,392.73
34,0.7320,0.7658,0.8128,196.36,196.36,392.73
35,0.7346,0.7685,0.8017,196.36,196.36,392.73
36,0.7360,0.7707,0.7950,196.36,196.36,392.73
37,0.7383,0.7725,0.7903,196.36,196.36,392.73
38,0.7393,0.7746,0.7826,196.36,196.36,392.73
39,0.7416,0.7779,0.7730,196.36,196.36,392.73
40,0.7432,0.7785,0.7653,196.36,196.36,392.73
41,0.7434,0.7800,0.7621,196.36,196.36,392.73
42,0.7451,0.7824,0.7562,196.36,196.36,392.73
43,0.7473,0.7844,0.7486,196.36,196.36,392.73
44,0.7462,0.7845,0.7441,196.36,196.36,392.73
45,0.7513,0.7888,0.7364,196.36,196.36,392.73
46,0.7534,0.7914,0.7300,196.36,196.36,392.73
47,0.7533,0.7919,0.7253,196.36,196.36,392.73
48,0.7548,0.7935,0.7190,196.36,196.36,392.73
49,0.7577,0.7951,0.7165,196.36,196.36,392.73
50,0.7602,0.7983,0.7102,196.36,196.36,392.73
51,0.7563,0.7968,0.7103,196.36,196.36,392.73
52,0.7627,0.8012,0.7016,196.36,196.36,392.73
53,0.7616,0.8018,0.7002,196.36,196.36,392.73
54,0.7628,0.8035,0.6974,196.36,196.36,392.73
55,0.7631,0.8037,0.6913,196.36,196.36,392.73
56,0.7646,0.8060,0.6878,196.36,196.36,392.73
57,0.7659,0.8070,0.6852,196.36,196.36,392.73
58,0.7687,0.8098,0.6819,196.36,196.36,392.73
