round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,117.82,117.82
2,0.1658,,2.2423,,,,,,,117.82,117.82,235.64
3,0.2804,,1.8295,,,,,,,117.82,117.82,235.64
4,0.3402,,1.5325,,,,,,,117.82,117.82,235.64
5,0.3570,,1.3671,,,,,,,117.82,117.82,235.64
6,0.3672,,1.2459,,,,,,,117.82,117.82,235.64
7,0.3731,,1.1465,,,,,,,117.82,117.82,235.64
8,0.3772,,1.0628,,,,,,,117.82,117.82,235.64
9,0.3792,,0.9906,,,,,,,117.82,117.82,235.64
10,0.3794,,0.9291,,,,,,,117.82,117.82,235.64
11,0.3808,,0.8745,,,,,,,117.82,117.82,235.64
12,0.3813,,0.8261,,,,,,,117.82,117.82,235.64
13,0.3828,,0.7803,,,,,,,117.82,117.82,235.64
14,0.3837,,0.7405,,,,,,,117.82,117.82,235.64
15,0.3838,,0.7045,,,,,,,117.82,117.82,235.64
16,0.3841,,0.6721,,,,,,,117.82,117.82,235.64
17,0.3839,,0.6418,,,,,,,117.82,117.82,235.64
18,0.3842,,0.6137,,,,,,,117.82,117.82,235.64
19,0.3842,,0.5885,,,,,,,117.82,117.82,235.64
20,0.3832,,0.5642,,,,,,,117.82,117.82,235.64
21,0.3824,,0.5421,,,,,,,117.82,117.82,235.64
22,0.3824,,0.5224,,,,,,,117.82,117.82,235.64
23,0.3821,,0.5033,,,,,,,117.82,117.82,235.64
24,0.3832,,0.4848,,,,,,,117.82,117.82,235.64
25,0.3820,,0.4682,,,,,,,117.82,117.82,235.64
26,0.3808,,0.4533,,,,,,,117.82,117.82,235.64
27,0.3801,,0.4395,,,,,,,117.82,117.82,235.64
28,0.3806,,0.4249,,,,,,,117.82,117.82,235.64
29,0.3790,,0.4137,,,,,,,117.82,117.82,235.64
30,0.3776,,0.4007,,,,,,,117.82,117.82,235.64
31,0.3772,,0.3891,,,,,,,117.82,117.82,235.64
32,0.3779,,0.3811,,,,,,,117.82,117.82,235.64
33,0.3768,,0.3676,,,,,,,117.82,117.82,235.64
34,0.3762,,0.3608,,,,,,,117.82,117.82,235.64
35,0.3743,,0.3476,,,,,,,117.82,117.82,235.64
36,0.3740,,0.3400,,,,,,,117.82,117.82,235.64
37,0.3754,,0.3310,,,,,,,117.82,117.82,235.64
38,0.3730,,0.3225,,,,,,,117.82,117.82,235.64
39,0.3722,,0.3164,,,,,,,117.82,117.82,235.64
40,0.3741,,0.3075,,,,,,,117.82,117.82,235.64
