round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.81852722,117.81852722,0.00000000,117.81852722,117.81852722,117.81852722
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16250000,0.16666667,,,0.22949492,0.10876165,,,30,30,0,0,975,6000,4000,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,117.81852722,235.63705444,353.45558167,176.72779083
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.38066667,0.25533333,,,0.36725725,0.07702809,,,30,30,0,0,2284,6000,6128,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,235.63705444,353.45558167,589.09263611,196.36421204
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.58683333,0.27854167,,,0.23404944,0.05855027,,,30,30,0,0,3521,6000,6685,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,353.45558167,471.27410889,824.72969055,206.18242264
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.68416667,0.27516667,,,0.17333053,0.05514256,,,30,30,0,0,4105,6000,6604,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,471.27410889,589.09263611,1060.36674500,212.07334900
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.74266667,0.27337500,,,0.14107169,0.05702170,,,30,30,0,0,4456,6000,6561,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,589.09263611,706.91116333,1296.00379944,216.00063324
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.78666667,0.26966667,,,0.11151482,0.06109925,,,30,30,0,0,4720,6000,6472,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,706.91116333,824.72969055,1531.64085388,218.80583627
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.81016667,0.26891667,,,0.10163237,0.06601904,,,30,30,0,0,4861,6000,6454,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,824.72969055,942.54821777,1767.27790833,220.90973854
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.82400000,0.26804167,,,0.09598090,0.06906118,,,30,30,0,0,4944,6000,6433,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,942.54821777,1060.36674500,2002.91496277,222.54610697
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.83500000,0.26550000,,,0.08863784,0.07106819,,,30,30,0,0,5010,6000,6372,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1060.36674500,1178.18527222,2238.55201721,223.85520172
10,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.84516667,0.26475000,,,0.08200085,0.07226427,,,30,30,0,0,5071,6000,6354,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1178.18527222,1296.00379944,2474.18907166,224.92627924
11,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.85233333,0.26350000,,,0.07855713,0.07324360,,,30,30,0,0,5114,6000,6324,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1296.00379944,1413.82232666,2709.82612610,225.81884384
12,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.86283333,0.26275000,,,0.07048266,0.07209903,,,30,30,0,0,5177,6000,6306,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1413.82232666,1531.64085388,2945.46318054,226.57409081
13,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.86916667,0.26237500,,,0.06831402,0.07066157,,,30,30,0,0,5215,6000,6297,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1531.64085388,1649.45938110,3181.10023499,227.22144536
14,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.87433333,0.26112500,,,0.06813875,0.07432919,,,30,30,0,0,5246,6000,6267,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1649.45938110,1767.27790833,3416.73728943,227.78248596
15,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.87866667,0.26045833,,,0.06794524,0.07372209,,,30,30,0,0,5272,6000,6251,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1767.27790833,1885.09643555,3652.37434387,228.27339649
16,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.87966667,0.25991667,,,0.06834878,0.07594881,,,30,30,0,0,5278,6000,6238,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1885.09643555,2002.91496277,3888.01139832,228.70655284
17,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.88416667,0.25916667,,,0.06507794,0.07747334,,,30,30,0,0,5305,6000,6220,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2002.91496277,2120.73348999,4123.64845276,229.09158071
18,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.88600000,0.25875000,,,0.06434801,0.07920701,,,30,30,0,0,5316,6000,6210,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2120.73348999,2238.55201721,4359.28550720,229.43607933
19,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.88933333,0.25670833,,,0.06264627,0.08069908,,,30,30,0,0,5336,6000,6161,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2238.55201721,2356.37054443,4594.92256165,229.74612808
20,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.89150000,0.25516667,,,0.06165968,0.08088684,,,30,30,0,0,5349,6000,6124,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2356.37054443,2474.18907166,4830.55961609,230.02664839
21,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.89783333,0.25358333,,,0.05898705,0.08368638,,,30,30,0,0,5387,6000,6086,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2474.18907166,2592.00759888,5066.19667053,230.28166684
22,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.89933333,0.25275000,,,0.05907246,0.08437046,,,30,30,0,0,5396,6000,6066,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2592.00759888,2709.82612610,5301.83372498,230.51450978
23,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.90450000,0.25283333,,,0.05737813,0.08524532,,,30,30,0,0,5427,6000,6068,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2709.82612610,2827.64465332,5537.47077942,230.72794914
24,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.90500000,0.25125000,,,0.05748913,0.08662539,,,30,30,0,0,5430,6000,6030,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2827.64465332,2945.46318054,5773.10783386,230.92431335
25,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.90800000,0.24895833,,,0.05525094,0.08892007,,,30,30,0,0,5448,6000,5975,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2945.46318054,3063.28170776,6008.74488831,231.10557263
26,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.91033333,0.24758333,,,0.05537649,0.09205463,,,30,30,0,0,5462,6000,5942,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,3063.28170776,3181.10023499,6244.38194275,231.27340529
27,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.91116667,0.24800000,,,0.05626845,0.09074782,,,30,30,0,0,5467,6000,5952,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,3181.10023499,3298.91876221,6480.01899719,231.42924990
