round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1014,0.1014,2.3027,0.00,196.36,196.36
2,0.1710,0.1074,2.3035,196.36,196.36,392.73
3,0.1834,0.1783,2.2612,196.36,196.36,392.73
4,0.2361,0.3802,2.1745,196.36,196.36,392.73
5,0.3413,0.4771,2.0755,196.36,196.36,392.73
6,0.4156,0.5074,1.9808,196.36,196.36,392.73
7,0.4668,0.5169,1.8990,196.36,196.36,392.73
8,0.5084,0.5221,1.8191,196.36,196.36,392.73
9,0.5398,0.5196,1.7482,196.36,196.36,392.73
10,0.5826,0.5291,1.6830,196.36,196.36,392.73
11,0.6035,0.5344,1.6217,196.36,196.36,392.73
12,0.6246,0.5377,1.5647,196.36,196.36,392.73
13,0.6370,0.5381,1.5134,196.36,196.36,392.73
14,0.6527,0.5418,1.4675,196.36,196.36,392.73
15,0.6652,0.5430,1.4284,196.36,196.36,392.73
16,0.6764,0.5452,1.3847,196.36,196.36,392.73
17,0.6941,0.5473,1.3465,196.36,196.36,392.73
18,0.7015,0.5422,1.3165,196.36,196.36,392.73
19,0.7062,0.5453,1.2808,196.36,196.36,392.73
20,0.7123,0.5457,1.2515,196.36,196.36,392.73
21,0.7196,0.5500,1.2212,196.36,196.36,392.73
22,0.7252,0.5506,1.1948,196.36,196.36,392.73
23,0.7325,0.5493,1.1687,196.36,196.36,392.73
24,0.7325,0.5501,1.1488,196.36,196.36,392.73
25,0.7405,0.5502,1.1303,196.36,196.36,392.73
26,0.7441,0.5510,1.1068,196.36,196.36,392.73
27,0.7500,0.5515,1.0831,196.36,196.36,392.73
28,0.7504,0.5521,1.0602,196.36,196.36,392.73
29,0.7565,0.5518,1.0446,196.36,196.36,392.73
30,0.7527,0.5500,1.0314,196.36,196.36,392.73
31,0.7634,0.5514,1.0049,196.36,196.36,392.73
32,0.7682,0.5444,0.9978,196.36,196.36,392.73
33,0.7622,0.5469,0.9803,196.36,196.36,392.73
34,0.7628,0.5517,0.9694,196.36,196.36,392.73
35,0.7682,0.5488,0.9515,196.36,196.36,392.73
36,0.7683,0.5485,0.9396,196.36,196.36,392.73
37,0.7758,0.5509,0.9245,196.36,196.36,392.73
38,0.7798,0.5518,0.9107,196.36,196.36,392.73
39,0.7740,0.5523,0.8989,196.36,196.36,392.73
40,0.7835,0.5529,0.8863,196.36,196.36,392.73
41,0.7775,0.5510,0.8783,196.36,196.36,392.73
42,0.7834,0.5514,0.8645,196.36,196.36,392.73
43,0.7835,0.5485,0.8546,196.36,196.36,392.73
44,0.7798,0.5484,0.8463,196.36,196.36,392.73
45,0.7820,0.5489,0.8423,196.36,196.36,392.73
46,0.7804,0.5492,0.8317,196.36,196.36,392.73
47,0.7933,0.5491,0.8159,196.36,196.36,392.73
48,0.7905,0.5491,0.8097,196.36,196.36,392.73
49,0.7908,0.5472,0.8009,196.36,196.36,392.73
50,0.7931,0.5466,0.7947,196.36,196.36,392.73
51,0.7932,0.5476,0.7868,196.36,196.36,392.73
52,0.7931,0.5468,0.7779,196.36,196.36,392.73
53,0.7912,0.5478,0.7730,196.36,196.36,392.73
54,0.7952,0.5478,0.7606,196.36,196.36,392.73
55,0.7924,0.5462,0.7615,196.36,196.36,392.73
56,0.7985,0.5489,0.7476,196.36,196.36,392.73
57,0.7923,0.5449,0.7491,196.36,196.36,392.73
58,0.7936,0.5416,0.7433,196.36,196.36,392.73
59,0.8034,0.5472,0.7218,196.36,196.36,392.73
60,0.7941,0.5424,0.7271,196.36,196.36,392.73
61,0.7973,0.5444,0.7215,196.36,196.36,392.73
62,0.7966,0.5445,0.7174,196.36,196.36,392.73
63,0.8025,0.5424,0.7113,196.36,196.36,392.73
64,0.8045,0.5405,0.7016,196.36,196.36,392.73
65,0.7950,0.5394,0.7072,196.36,196.36,392.73
66,0.8011,0.5403,0.7014,196.36,196.36,392.73
67,0.8008,0.5395,0.6938,196.36,196.36,392.73
68,0.8225,0.5378,0.6787,196.36,196.36,392.73
69,0.8069,0.5413,0.6768,196.36,196.36,392.73
70,0.7993,0.5418,0.6796,196.36,196.36,392.73
71,0.8129,0.5413,0.6651,196.36,196.36,392.73
72,0.8080,0.5368,0.6667,196.36,196.36,392.73
73,0.8106,0.5361,0.6628,196.36,196.36,392.73
74,0.8113,0.5376,0.6572,196.36,196.36,392.73
75,0.8100,0.5406,0.6513,196.36,196.36,392.73
76,0.8034,0.5427,0.6523,196.36,196.36,392.73
77,0.8148,0.5409,0.6400,196.36,196.36,392.73
78,0.8109,0.5364,0.6406,196.36,196.36,392.73
79,0.8058,0.5360,0.6417,196.36,196.36,392.73
80,0.8129,0.5350,0.6275,196.36,196.36,392.73
81,0.8077,0.5339,0.6296,196.36,196.36,392.73
82,0.8144,0.5374,0.6212,196.36,196.36,392.73
83,0.8179,0.5343,0.6143,196.36,196.36,392.73
84,0.8112,0.5350,0.6309,196.36,196.36,392.73
85,0.8157,0.5347,0.6173,196.36,196.36,392.73
86,0.8324,0.5347,0.6007,196.36,196.36,392.73
87,0.8205,0.5327,0.6040,196.36,196.36,392.73
88,0.8160,0.5318,0.6047,196.36,196.36,392.73
89,0.8218,0.5318,0.5981,196.36,196.36,392.73
90,0.8224,0.5313,0.5940,196.36,196.36,392.73
91,0.8211,0.5313,0.5908,196.36,196.36,392.73
92,0.8336,0.5289,0.5814,196.36,196.36,392.73
93,0.8207,0.5261,0.5901,196.36,196.36,392.73
94,0.8415,0.5202,0.5741,196.36,196.36,392.73
95,0.8289,0.5198,0.5806,196.36,196.36,392.73
96,0.8220,0.5255,0.5843,196.36,196.36,392.73
