round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1015,0.1015,2.3031,0.00,196.36,196.36
2,0.1751,0.1658,2.3084,196.36,196.36,392.73
3,0.1911,0.1881,2.2587,196.36,196.36,392.73
4,0.2625,0.2959,2.1668,196.36,196.36,392.73
5,0.3235,0.3990,2.0599,196.36,196.36,392.73
6,0.4131,0.4507,1.9593,196.36,196.36,392.73
7,0.4936,0.4735,1.8637,196.36,196.36,392.73
8,0.5431,0.4867,1.7810,196.36,196.36,392.73
9,0.5730,0.4922,1.7067,196.36,196.36,392.73
10,0.6000,0.4970,1.6364,196.36,196.36,392.73
11,0.6168,0.5034,1.5762,196.36,196.36,392.73
12,0.6335,0.5046,1.5219,196.36,196.36,392.73
13,0.6471,0.5076,1.4703,196.36,196.36,392.73
14,0.6586,0.5119,1.4200,196.36,196.36,392.73
15,0.6690,0.5124,1.3806,196.36,196.36,392.73
16,0.6801,0.5140,1.3425,196.36,196.36,392.73
17,0.6928,0.5169,1.3022,196.36,196.36,392.73
18,0.6974,0.5182,1.2677,196.36,196.36,392.73
19,0.7062,0.5204,1.2366,196.36,196.36,392.73
20,0.7094,0.5201,1.2073,196.36,196.36,392.73
21,0.7135,0.5203,1.1797,196.36,196.36,392.73
22,0.7144,0.5182,1.1565,196.36,196.36,392.73
23,0.7252,0.5209,1.1281,196.36,196.36,392.73
24,0.7381,0.5195,1.1065,196.36,196.36,392.73
25,0.7309,0.5198,1.0887,196.36,196.36,392.73
26,0.7345,0.5209,1.0674,196.36,196.36,392.73
27,0.7439,0.5212,1.0466,196.36,196.36,392.73
28,0.7486,0.5226,1.0260,196.36,196.36,392.73
29,0.7488,0.5213,1.0097,196.36,196.36,392.73
30,0.7566,0.5237,0.9905,196.36,196.36,392.73
31,0.7572,0.5240,0.9774,196.36,196.36,392.73
32,0.7631,0.5245,0.9626,196.36,196.36,392.73
33,0.7631,0.5221,0.9492,196.36,196.36,392.73
34,0.7730,0.5259,0.9379,196.36,196.36,392.73
35,0.7599,0.5238,0.9271,196.36,196.36,392.73
36,0.7690,0.5212,0.9135,196.36,196.36,392.73
37,0.7673,0.5204,0.8993,196.36,196.36,392.73
38,0.7776,0.5235,0.8832,196.36,196.36,392.73
39,0.7780,0.5239,0.8744,196.36,196.36,392.73
40,0.7860,0.5231,0.8610,196.36,196.36,392.73
41,0.7815,0.5231,0.8554,196.36,196.36,392.73
42,0.7865,0.5232,0.8411,196.36,196.36,392.73
43,0.7880,0.5229,0.8318,196.36,196.36,392.73
44,0.7934,0.5225,0.8187,196.36,196.36,392.73
45,0.7979,0.5252,0.8096,196.36,196.36,392.73
46,0.7940,0.5218,0.8060,196.36,196.36,392.73
47,0.8013,0.5205,0.7929,196.36,196.36,392.73
48,0.8074,0.5170,0.7866,196.36,196.36,392.73
49,0.8024,0.5205,0.7767,196.36,196.36,392.73
50,0.8023,0.5196,0.7674,196.36,196.36,392.73
51,0.8021,0.5211,0.7633,196.36,196.36,392.73
52,0.8026,0.5214,0.7553,196.36,196.36,392.73
53,0.8053,0.5184,0.7512,196.36,196.36,392.73
54,0.8077,0.5198,0.7399,196.36,196.36,392.73
55,0.7987,0.5188,0.7371,196.36,196.36,392.73
56,0.8113,0.5219,0.7209,196.36,196.36,392.73
57,0.8062,0.5181,0.7222,196.36,196.36,392.73
58,0.8142,0.5175,0.7100,196.36,196.36,392.73
59,0.8129,0.5171,0.7084,196.36,196.36,392.73
60,0.8077,0.5149,0.7089,196.36,196.36,392.73
61,0.8114,0.5171,0.6980,196.36,196.36,392.73
62,0.8082,0.5186,0.6913,196.36,196.36,392.73
63,0.8129,0.5158,0.6882,196.36,196.36,392.73
64,0.8215,0.5154,0.6805,196.36,196.36,392.73
65,0.8219,0.5163,0.6720,196.36,196.36,392.73
66,0.8181,0.5170,0.6667,196.36,196.36,392.73
67,0.8169,0.5152,0.6662,196.36,196.36,392.73
68,0.8207,0.5172,0.6565,196.36,196.36,392.73
69,0.8251,0.5186,0.6465,196.36,196.36,392.73
70,0.8307,0.5162,0.6396,196.36,196.36,392.73
71,0.8321,0.5144,0.6359,196.36,196.36,392.73
72,0.8210,0.5151,0.6364,196.36,196.36,392.73
73,0.8253,0.5137,0.6365,196.36,196.36,392.73
74,0.8221,0.5146,0.6268,196.36,196.36,392.73
75,0.8206,0.5125,0.6274,196.36,196.36,392.73
76,0.8437,0.5164,0.6105,196.36,196.36,392.73
77,0.8289,0.5123,0.6200,196.36,196.36,392.73
78,0.8258,0.5143,0.6178,196.36,196.36,392.73
79,0.8190,0.5150,0.6159,196.36,196.36,392.73
80,0.8309,0.5140,0.6028,196.36,196.36,392.73
81,0.8448,0.5122,0.5974,196.36,196.36,392.73
82,0.8342,0.5134,0.5953,196.36,196.36,392.73
83,0.8356,0.5108,0.5882,196.36,196.36,392.73
84,0.8366,0.5143,0.5848,196.36,196.36,392.73
