round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3032,0.00,196.36,196.36
2,0.0316,,2.3355,196.36,196.36,392.73
3,0.2325,,2.2407,196.36,196.36,392.73
4,0.3405,,2.1210,196.36,196.36,392.73
5,0.3893,,2.0293,196.36,196.36,392.73
6,0.4298,,1.9463,196.36,196.36,392.73
7,0.4691,,1.8691,196.36,196.36,392.73
8,0.5041,,1.7957,196.36,196.36,392.73
9,0.5325,,1.7278,196.36,196.36,392.73
10,0.5547,,1.6642,196.36,196.36,392.73
11,0.5748,,1.6063,196.36,196.36,392.73
12,0.5934,,1.5525,196.36,196.36,392.73
13,0.6104,,1.5036,196.36,196.36,392.73
14,0.6229,,1.4581,196.36,196.36,392.73
15,0.6367,,1.4154,196.36,196.36,392.73
16,0.6464,,1.3762,196.36,196.36,392.73
17,0.6544,,1.3396,196.36,196.36,392.73
18,0.6639,,1.3043,196.36,196.36,392.73
19,0.6722,,1.2717,196.36,196.36,392.73
20,0.6792,,1.2415,196.36,196.36,392.73
21,0.6862,,1.2122,196.36,196.36,392.73
22,0.6917,,1.1848,196.36,196.36,392.73
23,0.6989,,1.1587,196.36,196.36,392.73
24,0.7044,,1.1350,196.36,196.36,392.73
25,0.7088,,1.1109,196.36,196.36,392.73
26,0.7160,,1.0866,196.36,196.36,392.73
27,0.7202,,1.0657,196.36,196.36,392.73
28,0.7226,,1.0465,196.36,196.36,392.73
29,0.7270,,1.0267,196.36,196.36,392.73
30,0.7307,,1.0078,196.36,196.36,392.73
31,0.7334,,0.9887,196.36,196.36,392.73
32,0.7376,,0.9714,196.36,196.36,392.73
33,0.7394,,0.9552,196.36,196.36,392.73
34,0.7406,,0.9395,196.36,196.36,392.73
