round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1018,0.1018,2.3027,0.00,201.27,201.27
2,0.0760,0.1144,2.3435,196.36,201.27,397.63
3,0.0696,0.2054,2.3453,196.36,201.27,397.63
4,0.1228,0.3017,2.3270,196.36,201.27,397.63
5,0.1447,0.3602,2.3094,196.36,201.27,397.63
6,0.1626,0.4043,2.2865,196.36,201.27,397.63
7,0.1777,0.4352,2.2556,196.36,201.27,397.63
8,0.1943,0.4689,2.2299,196.36,201.27,397.63
9,0.2135,0.4874,2.1987,196.36,201.27,397.63
10,0.2316,0.5037,2.1730,196.36,201.27,397.63
11,0.2488,0.5155,2.1422,196.36,201.27,397.63
12,0.2638,0.5291,2.1175,196.36,201.27,397.63
13,0.2807,0.5411,2.0926,196.36,201.27,397.63
14,0.2948,0.5539,2.0655,196.36,201.27,397.63
15,0.3188,0.5653,2.0368,196.36,201.27,397.63
16,0.3202,0.5764,2.0290,196.36,201.27,397.63
17,0.3342,0.5843,1.9995,196.36,201.27,397.63
18,0.3422,0.5940,1.9932,196.36,201.27,397.63
19,0.3599,0.6026,1.9703,196.36,201.27,397.63
20,0.3644,0.6091,1.9544,196.36,201.27,397.63
21,0.3640,0.6128,1.9457,196.36,201.27,397.63
22,0.3760,0.6198,1.9247,196.36,201.27,397.63
23,0.3840,0.6237,1.9125,196.36,201.27,397.63
24,0.4034,0.6318,1.8820,196.36,201.27,397.63
25,0.4071,0.6362,1.8742,196.36,201.27,397.63
26,0.4053,0.6391,1.8732,196.36,201.27,397.63
27,0.4080,0.6414,1.8584,196.36,201.27,397.63
28,0.4195,0.6457,1.8372,196.36,201.27,397.63
29,0.4243,0.6484,1.8254,196.36,201.27,397.63
30,0.4232,0.6511,1.8180,196.36,201.27,397.63
31,0.4316,0.6542,1.8109,196.36,201.27,397.63
32,0.4304,0.6595,1.8092,196.36,201.27,397.63
33,0.4347,0.6595,1.8010,196.36,201.27,397.63
34,0.4382,0.6604,1.7903,196.36,201.27,397.63
35,0.4491,0.6655,1.7699,196.36,201.27,397.63
36,0.4502,0.6680,1.7613,196.36,201.27,397.63
37,0.4306,0.6689,1.7977,196.36,201.27,397.63
38,0.4590,0.6718,1.7437,196.36,201.27,397.63
39,0.4610,0.6712,1.7289,196.36,201.27,397.63
40,0.4668,0.6746,1.7175,196.36,201.27,397.63
41,0.4697,0.6740,1.7128,196.36,201.27,397.63
42,0.4715,0.6768,1.7047,196.36,201.27,397.63
43,0.4826,0.6792,1.6761,196.36,201.27,397.63
44,0.4746,0.6779,1.6908,196.36,201.27,397.63
45,0.4810,0.6819,1.6769,196.36,201.27,397.63
46,0.4844,0.6839,1.6625,196.36,201.27,397.63
47,0.4831,0.6860,1.6594,196.36,201.27,397.63
48,0.4819,0.6736,1.6500,196.36,201.27,397.63
49,0.4905,0.6818,1.6403,196.36,201.27,397.63
50,0.4950,0.6859,1.6277,196.36,201.27,397.63
51,0.4944,0.6873,1.6213,196.36,201.27,397.63
52,0.4948,0.6892,1.6201,196.36,201.27,397.63
53,0.4990,0.6900,1.6069,196.36,201.27,397.63
54,0.5091,0.6930,1.5823,196.36,201.27,397.63
55,0.5111,0.6920,1.5757,196.36,201.27,397.63
56,0.5003,0.6931,1.5981,196.36,201.27,397.63
57,0.5089,0.6949,1.5730,196.36,201.27,397.63
58,0.5071,0.6946,1.5759,196.36,201.27,397.63
59,0.5130,0.6968,1.5542,196.36,201.27,397.63
60,0.5145,0.6960,1.5509,196.36,201.27,397.63
61,0.5153,0.6973,1.5494,196.36,201.27,397.63
62,0.5187,0.6991,1.5389,196.36,201.27,397.63
63,0.5163,0.6992,1.5422,196.36,201.27,397.63
64,0.5199,0.6966,1.5328,196.36,201.27,397.63
65,0.5160,0.7022,1.5421,196.36,201.27,397.63
66,0.5186,0.7030,1.5288,196.36,201.27,397.63
67,0.5168,0.7024,1.5341,196.36,201.27,397.63
68,0.5200,0.7037,1.5247,196.36,201.27,397.63
69,0.5300,0.7075,1.4910,196.36,201.27,397.63
70,0.5278,0.7050,1.5010,196.36,201.27,397.63
71,0.5269,0.7067,1.5030,196.36,201.27,397.63
72,0.5281,0.7059,1.5023,196.36,201.27,397.63
73,0.5284,0.7070,1.4914,196.36,201.27,397.63
74,0.5106,0.7071,1.5352,196.36,201.27,397.63
75,0.5313,0.7081,1.4843,196.36,201.27,397.63
76,0.5338,0.7084,1.4728,196.36,201.27,397.63
77,0.5345,0.7081,1.4676,196.36,201.27,397.63
78,0.5348,0.7088,1.4695,196.36,201.27,397.63
79,0.5366,0.7106,1.4600,196.36,201.27,397.63
80,0.5352,0.7097,1.4574,196.36,201.27,397.63
81,0.5379,0.7065,1.4520,196.36,201.27,397.63
82,0.5366,0.7110,1.4495,196.36,201.27,397.63
83,0.5400,0.7112,1.4432,196.36,201.27,397.63
84,0.5382,0.7100,1.4472,196.36,201.27,397.63
85,0.5416,0.7124,1.4356,196.36,201.27,397.63
86,0.5446,0.7133,1.4318,196.36,201.27,397.63
87,0.5500,0.7058,1.4006,196.36,201.27,397.63
88,0.5488,0.7158,1.4093,196.36,201.27,397.63
89,0.5467,0.7165,1.4206,196.36,201.27,397.63
90,0.5549,0.7170,1.3971,196.36,201.27,397.63
91,0.5491,0.7168,1.4000,196.36,201.27,397.63
92,0.5481,0.7167,1.4093,196.36,201.27,397.63
93,0.5558,0.7166,1.3879,196.36,201.27,397.63
94,0.5599,0.7152,1.3806,196.36,201.27,397.63
95,0.5585,0.7169,1.3812,196.36,201.27,397.63
96,0.5545,0.7204,1.3923,196.36,201.27,397.63
97,0.5564,0.7180,1.3894,196.36,201.27,397.63
98,0.5588,0.7192,1.3789,196.36,201.27,397.63
99,0.5556,0.7187,1.3857,196.36,201.27,397.63
100,0.5585,0.7181,1.3787,196.36,201.27,397.63
101,0.5622,0.7204,1.3650,196.36,201.27,397.63
