round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,120.76,120.76
2,0.1661,,2.2378,,,,,,,117.82,120.76,238.58
3,0.2821,,1.8104,,,,,,,117.82,120.76,238.58
4,0.3426,,1.5072,,,,,,,117.82,120.76,238.58
5,0.3585,,1.3387,,,,,,,117.82,120.76,238.58
6,0.3694,,1.2153,,,,,,,117.82,120.76,238.58
7,0.3740,,1.1143,,,,,,,117.82,120.76,238.58
8,0.3781,,1.0296,,,,,,,117.82,120.76,238.58
9,0.3803,,0.9564,,,,,,,117.82,120.76,238.58
10,0.3805,,0.8947,,,,,,,117.82,120.76,238.58
11,0.3819,,0.8401,,,,,,,117.82,120.76,238.58
12,0.3829,,0.7916,,,,,,,117.82,120.76,238.58
13,0.3837,,0.7459,,,,,,,117.82,120.76,238.58
14,0.3845,,0.7064,,,,,,,117.82,120.76,238.58
15,0.3848,,0.6710,,,,,,,117.82,120.76,238.58
16,0.3846,,0.6391,,,,,,,117.82,120.76,238.58
17,0.3839,,0.6094,,,,,,,117.82,120.76,238.58
18,0.3839,,0.5820,,,,,,,117.82,120.76,238.58
19,0.3842,,0.5573,,,,,,,117.82,120.76,238.58
20,0.3832,,0.5339,,,,,,,117.82,120.76,238.58
21,0.3826,,0.5125,,,,,,,117.82,120.76,238.58
22,0.3833,,0.4935,,,,,,,117.82,120.76,238.58
23,0.3829,,0.4751,,,,,,,117.82,120.76,238.58
24,0.3836,,0.4575,,,,,,,117.82,120.76,238.58
25,0.3818,,0.4416,,,,,,,117.82,120.76,238.58
26,0.3804,,0.4276,,,,,,,117.82,120.76,238.58
27,0.3805,,0.4145,,,,,,,117.82,120.76,238.58
28,0.3804,,0.4007,,,,,,,117.82,120.76,238.58
29,0.3789,,0.3906,,,,,,,117.82,120.76,238.58
30,0.3777,,0.3784,,,,,,,117.82,120.76,238.58
31,0.3774,,0.3673,,,,,,,117.82,120.76,238.58
32,0.3787,,0.3601,,,,,,,117.82,120.76,238.58
33,0.3768,,0.3472,,,,,,,117.82,120.76,238.58
34,0.3770,,0.3416,,,,,,,117.82,120.76,238.58
35,0.3750,,0.3287,,,,,,,117.82,120.76,238.58
36,0.3745,,0.3218,,,,,,,117.82,120.76,238.58
37,0.3759,,0.3137,,,,,,,117.82,120.76,238.58
38,0.3734,,0.3055,,,,,,,117.82,120.76,238.58
39,0.3717,,0.3003,,,,,,,117.82,120.76,238.58
40,0.3740,,0.2919,,,,,,,117.82,120.76,238.58
41,0.3730,,0.2865,,,,,,,117.82,120.76,238.58
42,0.3697,,0.2803,,,,,,,117.82,120.76,238.58
43,0.3683,,0.2741,,,,,,,117.82,120.76,238.58
44,0.3691,,0.2691,,,,,,,117.82,120.76,238.58
45,0.3695,,0.2642,,,,,,,117.82,120.76,238.58
46,0.3687,,0.2593,,,,,,,117.82,120.76,238.58
47,0.3667,,0.2526,,,,,,,117.82,120.76,238.58
48,0.3656,,0.2481,,,,,,,117.82,120.76,238.58
49,0.3650,,0.2439,,,,,,,117.82,120.76,238.58
50,0.3652,,0.2401,,,,,,,117.82,120.76,238.58
51,0.3640,,0.2365,,,,,,,117.82,120.76,238.58
52,0.2920,,1.1004,,,,,,,117.82,201.27,319.08
53,0.2864,,1.3500,,,,,,,196.36,201.27,397.63
54,0.3283,,1.4833,,,,,,,196.36,201.27,397.63
55,0.3439,,1.3495,,,,,,,196.36,201.27,397.63
56,0.3611,,1.2721,,,,,,,196.36,201.27,397.63
57,0.3761,,1.2412,,,,,,,196.36,201.27,397.63
58,0.3877,,1.2165,,,,,,,196.36,201.27,397.63
59,0.3917,,1.1923,,,,,,,196.36,201.27,397.63
60,0.3928,,1.1677,,,,,,,196.36,201.27,397.63
61,0.3934,,1.1517,,,,,,,196.36,201.27,397.63
62,0.3984,,1.1301,,,,,,,196.36,201.27,397.63
63,0.3984,,1.1122,,,,,,,196.36,201.27,397.63
64,0.4008,,1.0982,,,,,,,196.36,201.27,397.63
65,0.4034,,1.0754,,,,,,,196.36,201.27,397.63
66,0.4013,,1.0721,,,,,,,196.36,201.27,397.63
67,0.4045,,1.0527,,,,,,,196.36,201.27,397.63
68,0.4064,,1.0381,,,,,,,196.36,201.27,397.63
69,0.4120,,1.0240,,,,,,,196.36,201.27,397.63
70,0.4119,,1.0132,,,,,,,196.36,201.27,397.63
71,0.4135,,1.0057,,,,,,,196.36,201.27,397.63
72,0.4180,,0.9875,,,,,,,196.36,201.27,397.63
73,0.4196,,0.9775,,,,,,,196.36,201.27,397.63
74,0.4196,,0.9697,,,,,,,196.36,201.27,397.63
75,0.4227,,0.9542,,,,,,,196.36,201.27,397.63
76,0.4236,,0.9509,,,,,,,196.36,201.27,397.63
77,0.4225,,0.9402,,,,,,,196.36,201.27,397.63
78,0.4223,,0.9347,,,,,,,196.36,201.27,397.63
79,0.4232,,0.9263,,,,,,,196.36,201.27,397.63
80,0.4215,,0.9129,,,,,,,196.36,201.27,397.63
81,0.4270,,0.8961,,,,,,,196.36,201.27,397.63
82,0.4245,,0.8869,,,,,,,196.36,201.27,397.63
83,0.4236,,0.8827,,,,,,,196.36,201.27,397.63
84,0.4233,,0.8733,,,,,,,196.36,201.27,397.63
85,0.4268,,0.8657,,,,,,,196.36,201.27,397.63
86,0.4215,,0.8575,,,,,,,196.36,201.27,397.63
87,0.4232,,0.8496,,,,,,,196.36,201.27,397.63
88,0.4229,,0.8413,,,,,,,196.36,201.27,397.63
89,0.4229,,0.8359,,,,,,,196.36,201.27,397.63
90,0.4214,,0.8267,,,,,,,196.36,201.27,397.63
91,0.4216,,0.8176,,,,,,,196.36,201.27,397.63
92,0.4190,,0.8113,,,,,,,196.36,201.27,397.63
93,0.4202,,0.8053,,,,,,,196.36,201.27,397.63
94,0.4194,,0.7952,,,,,,,196.36,201.27,397.63
95,0.4197,,0.7842,,,,,,,196.36,201.27,397.63
96,0.4188,,0.7830,,,,,,,196.36,201.27,397.63
97,0.4214,,0.7665,,,,,,,196.36,201.27,397.63
98,0.4201,,0.7657,,,,,,,196.36,201.27,397.63
99,0.4203,,0.7608,,,,,,,196.36,201.27,397.63
100,0.4194,,0.7537,,,,,,,196.36,201.27,397.63
101,0.4209,,0.7423,,,,,,,196.36,201.27,397.63
