round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,120.75965881,120.75965881,0.00000000,120.75965881,120.75965881,120.75965881
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16383333,0.16670833,,,0.22929851,0.11031276,,,30,30,0,0,983,6000,4001,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,117.81852722,241.51931763,359.33784485,179.66892242
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.38783333,0.25562500,,,0.35887018,0.07669933,,,30,30,0,0,2327,6000,6135,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,235.63705444,362.27897644,597.91603088,199.30534363
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.60483333,0.27708333,,,0.21933416,0.05789748,,,30,30,0,0,3629,6000,6650,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,353.45558167,483.03863525,836.49421692,209.12355423
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.69600000,0.27412500,,,0.16268784,0.05405452,,,30,30,0,0,4176,6000,6579,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,471.27410889,603.79829407,1075.07240295,215.01448059
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.75850000,0.27216667,,,0.12637345,0.05826121,,,30,30,0,0,4551,6000,6532,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,589.09263611,724.55795288,1313.65058899,218.94176483
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.79666667,0.26829167,,,0.10548565,0.06125126,,,30,30,0,0,4780,6000,6439,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,706.91116333,845.31761169,1552.22877502,221.74696786
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.81583333,0.26866667,,,0.09865836,0.06765640,,,30,30,0,0,4895,6000,6448,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,824.72969055,966.07727051,1790.80696106,223.85087013
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.82983333,0.26791667,,,0.09014325,0.07063870,,,30,30,0,0,4979,6000,6430,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,942.54821777,1086.83692932,2029.38514709,225.48723857
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.83916667,0.26579167,,,0.08374648,0.07053773,,,30,30,0,0,5035,6000,6379,24000,0,0,0,0,117.81852722,120.75965881,238.57818604,1060.36674500,1207.59658813,2267.96333313,226.79633331
