round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1015,0.1015,2.3044,0.00,201.27,201.27
2,0.2543,0.1170,2.2775,196.36,201.27,397.63
3,0.2820,0.1780,2.2184,196.36,201.27,397.63
4,0.3209,0.3157,2.1161,196.36,201.27,397.63
5,0.3944,0.4337,2.0005,196.36,201.27,397.63
6,0.4820,0.4907,1.8984,196.36,201.27,397.63
7,0.5425,0.5109,1.8073,196.36,201.27,397.63
8,0.5861,0.5186,1.7310,196.36,201.27,397.63
9,0.6116,0.5095,1.6668,196.36,201.27,397.63
10,0.6357,0.5182,1.6046,196.36,201.27,397.63
11,0.6542,0.5201,1.5528,196.36,201.27,397.63
12,0.6743,0.5218,1.5060,196.36,201.27,397.63
13,0.6877,0.5203,1.4649,196.36,201.27,397.63
14,0.7038,0.5238,1.4300,196.36,201.27,397.63
15,0.7115,0.5233,1.3936,196.36,201.27,397.63
16,0.7187,0.5222,1.3649,196.36,201.27,397.63
17,0.7315,0.5204,1.3367,196.36,201.27,397.63
18,0.7328,0.5162,1.3142,196.36,201.27,397.63
19,0.7513,0.5252,1.3024,196.36,201.27,397.63
20,0.7551,0.5224,1.2769,196.36,201.27,397.63
21,0.7666,0.5216,1.2529,196.36,201.27,397.63
22,0.7579,0.5128,1.2418,196.36,201.27,397.63
23,0.7833,0.5193,1.2205,196.36,201.27,397.63
24,0.7930,0.5194,1.2052,196.36,201.27,397.63
25,0.7861,0.5064,1.1970,196.36,201.27,397.63
26,0.8155,0.5157,1.1812,196.36,201.27,397.63
27,0.8283,0.5121,1.1713,196.36,201.27,397.63
28,0.8403,0.5052,1.1607,196.36,201.27,397.63
29,0.8617,0.4974,1.1404,196.36,201.27,397.63
30,0.8844,0.4842,1.0926,196.36,201.27,397.63
31,0.9286,0.4723,0.9574,196.36,201.27,397.63
32,0.9570,0.4189,0.7335,196.36,201.27,397.63
33,0.9810,0.2905,0.6121,196.36,201.27,397.63
34,0.9823,0.2028,0.4858,196.36,201.27,397.63
35,0.9830,0.1963,0.2293,196.36,201.27,397.63
36,0.9853,0.1969,0.1033,196.36,201.27,397.63
37,0.9856,0.1969,0.0843,196.36,201.27,397.63
38,0.9848,0.1967,0.0752,196.36,201.27,397.63
39,0.9852,0.1969,0.0673,196.36,201.27,397.63
40,0.9848,0.1970,0.0688,196.36,201.27,397.63
41,0.9856,0.1971,0.0675,196.36,201.27,397.63
42,0.9858,0.1971,0.0618,196.36,201.27,397.63
43,0.9856,0.1971,0.0652,196.36,201.27,397.63
44,0.9862,0.1970,0.0636,196.36,201.27,397.63
45,0.9860,0.1971,0.0611,196.36,201.27,397.63
46,0.9862,0.1971,0.0618,196.36,201.27,397.63
47,0.9867,0.1972,0.0601,196.36,201.27,397.63
48,0.9866,0.1972,0.0587,196.36,201.27,397.63
49,0.9868,0.1973,0.0561,196.36,201.27,397.63
50,0.9870,0.1972,0.0576,196.36,201.27,397.63
51,0.9873,0.1973,0.0554,196.36,201.27,397.63
52,0.9873,0.1974,0.0563,196.36,201.27,397.63
53,0.9873,0.1974,0.0598,196.36,201.27,397.63
54,0.9878,0.1975,0.0610,196.36,201.27,397.63
55,0.9879,0.1976,0.0598,196.36,201.27,397.63
56,0.9874,0.1975,0.0582,196.36,201.27,397.63
57,0.9880,0.1975,0.0572,196.36,201.27,397.63
58,0.9868,0.1973,0.0616,196.36,201.27,397.63
59,0.9871,0.1973,0.0567,196.36,201.27,397.63
60,0.9875,0.1974,0.0592,196.36,201.27,397.63
61,0.9878,0.1975,0.0566,196.36,201.27,397.63
62,0.9881,0.1974,0.0537,196.36,201.27,397.63
63,0.9880,0.1976,0.0556,196.36,201.27,397.63
64,0.9879,0.1976,0.0536,196.36,201.27,397.63
65,0.9880,0.1976,0.0499,196.36,201.27,397.63
66,0.9878,0.1976,0.0493,196.36,201.27,397.63
67,0.9877,0.1975,0.0517,196.36,201.27,397.63
68,0.9885,0.1976,0.0466,196.36,201.27,397.63
69,0.9886,0.1976,0.0452,196.36,201.27,397.63
70,0.9878,0.1975,0.0523,196.36,201.27,397.63
71,0.9888,0.1976,0.0468,196.36,201.27,397.63
72,0.9881,0.1975,0.0470,196.36,201.27,397.63
73,0.9885,0.1977,0.0475,196.36,201.27,397.63
74,0.9881,0.1976,0.0513,196.36,201.27,397.63
75,0.9886,0.1975,0.0496,196.36,201.27,397.63
76,0.9888,0.1976,0.0481,196.36,201.27,397.63
77,0.9889,0.1976,0.0458,196.36,201.27,397.63
78,0.9888,0.1976,0.0482,196.36,201.27,397.63
79,0.9892,0.1977,0.0463,196.36,201.27,397.63
80,0.9887,0.1977,0.0478,196.36,201.27,397.63
81,0.9885,0.1976,0.0476,196.36,201.27,397.63
82,0.9891,0.1977,0.0467,196.36,201.27,397.63
83,0.9892,0.1977,0.0470,196.36,201.27,397.63
84,0.9893,0.1978,0.0467,196.36,201.27,397.63
85,0.9889,0.1977,0.0476,196.36,201.27,397.63
86,0.9900,0.1979,0.0460,196.36,201.27,397.63
87,0.9887,0.1976,0.0458,196.36,201.27,397.63
88,0.9890,0.1976,0.0481,196.36,201.27,397.63
89,0.9882,0.1976,0.0506,196.36,201.27,397.63
90,0.9890,0.1976,0.0455,196.36,201.27,397.63
