round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0999,,2.3031,0.00,201.27,201.27
2,0.1131,,2.3513,196.36,201.27,397.63
3,0.2158,,2.2650,196.36,201.27,397.63
4,0.3001,,2.1405,196.36,201.27,397.63
5,0.3686,,2.0461,196.36,201.27,397.63
6,0.4320,,1.9607,196.36,201.27,397.63
7,0.4838,,1.8802,196.36,201.27,397.63
8,0.5270,,1.8044,196.36,201.27,397.63
9,0.5583,,1.7339,196.36,201.27,397.63
10,0.5880,,1.6676,196.36,201.27,397.63
11,0.6068,,1.6069,196.36,201.27,397.63
12,0.6253,,1.5498,196.36,201.27,397.63
13,0.6395,,1.4963,196.36,201.27,397.63
14,0.6504,,1.4471,196.36,201.27,397.63
15,0.6614,,1.4013,196.36,201.27,397.63
16,0.6705,,1.3582,196.36,201.27,397.63
17,0.6769,,1.3186,196.36,201.27,397.63
18,0.6844,,1.2812,196.36,201.27,397.63
19,0.6886,,1.2461,196.36,201.27,397.63
20,0.6938,,1.2145,196.36,201.27,397.63
21,0.6994,,1.1839,196.36,201.27,397.63
22,0.7063,,1.1541,196.36,201.27,397.63
23,0.7099,,1.1271,196.36,201.27,397.63
24,0.7144,,1.1018,196.36,201.27,397.63
25,0.7190,,1.0771,196.36,201.27,397.63
26,0.7211,,1.0545,196.36,201.27,397.63
27,0.7257,,1.0327,196.36,201.27,397.63
28,0.7309,,1.0118,196.36,201.27,397.63
29,0.7328,,0.9925,196.36,201.27,397.63
30,0.7372,,0.9718,196.36,201.27,397.63
31,0.7425,,0.9543,196.36,201.27,397.63
32,0.7446,,0.9365,196.36,201.27,397.63
33,0.7476,,0.9197,196.36,201.27,397.63
34,0.7499,,0.9034,196.36,201.27,397.63
35,0.7519,,0.8882,196.36,201.27,397.63
36,0.7562,,0.8750,196.36,201.27,397.63
37,0.7611,,0.8592,196.36,201.27,397.63
38,0.7598,,0.8476,196.36,201.27,397.63
39,0.7650,,0.8332,196.36,201.27,397.63
40,0.7670,,0.8211,196.36,201.27,397.63
41,0.7704,,0.8079,196.36,201.27,397.63
42,0.7716,,0.7965,196.36,201.27,397.63
43,0.7745,,0.7847,196.36,201.27,397.63
44,0.7746,,0.7742,196.36,201.27,397.63
45,0.7767,,0.7621,196.36,201.27,397.63
46,0.7781,,0.7528,196.36,201.27,397.63
47,0.7778,,0.7450,196.36,201.27,397.63
48,0.7842,,0.7320,196.36,201.27,397.63
49,0.7848,,0.7226,196.36,201.27,397.63
50,0.7840,,0.7154,196.36,201.27,397.63
51,0.7876,,0.7049,196.36,201.27,397.63
52,0.7884,,0.6970,196.36,201.27,397.63
53,0.7894,,0.6902,196.36,201.27,397.63
54,0.7922,,0.6810,196.36,201.27,397.63
55,0.7923,,0.6730,196.36,201.27,397.63
56,0.7930,,0.6650,196.36,201.27,397.63
57,0.7955,,0.6571,196.36,201.27,397.63
58,0.7975,,0.6490,196.36,201.27,397.63
59,0.7963,,0.6436,196.36,201.27,397.63
60,0.8017,,0.6331,196.36,201.27,397.63
61,0.8013,,0.6273,196.36,201.27,397.63
62,0.7990,,0.6240,196.36,201.27,397.63
63,0.8046,,0.6131,196.36,201.27,397.63
64,0.8048,,0.6085,196.36,201.27,397.63
65,0.8049,,0.6034,196.36,201.27,397.63
66,0.8046,,0.5996,196.36,201.27,397.63
67,0.8090,,0.5902,196.36,201.27,397.63
68,0.8090,,0.5854,196.36,201.27,397.63
69,0.8107,,0.5781,196.36,201.27,397.63
70,0.8112,,0.5745,196.36,201.27,397.63
71,0.8106,,0.5691,196.36,201.27,397.63
72,0.8119,,0.5627,196.36,201.27,397.63
73,0.8129,,0.5577,196.36,201.27,397.63
74,0.8130,,0.5515,196.36,201.27,397.63
75,0.8135,,0.5485,196.36,201.27,397.63
76,0.8165,,0.5422,196.36,201.27,397.63
77,0.8166,,0.5373,196.36,201.27,397.63
78,0.8157,,0.5333,196.36,201.27,397.63
79,0.8182,,0.5265,196.36,201.27,397.63
80,0.8191,,0.5232,196.36,201.27,397.63
81,0.8199,,0.5201,196.36,201.27,397.63
82,0.8197,,0.5152,196.36,201.27,397.63
83,0.8196,,0.5118,196.36,201.27,397.63
84,0.8230,,0.5044,196.36,201.27,397.63
85,0.8223,,0.5017,196.36,201.27,397.63
86,0.8229,,0.4970,196.36,201.27,397.63
87,0.8226,,0.4946,196.36,201.27,397.63
88,0.8244,,0.4890,196.36,201.27,397.63
89,0.8268,,0.4827,196.36,201.27,397.63
90,0.8244,,0.4828,196.36,201.27,397.63
91,0.8269,,0.4759,196.36,201.27,397.63
92,0.8252,,0.4754,196.36,201.27,397.63
93,0.8308,,0.4662,196.36,201.27,397.63
94,0.8290,,0.4662,196.36,201.27,397.63
95,0.8288,,0.4630,196.36,201.27,397.63
96,0.8266,,0.4620,196.36,201.27,397.63
97,0.8310,,0.4541,196.36,201.27,397.63
98,0.8325,,0.4499,196.36,201.27,397.63
99,0.8331,,0.4471,196.36,201.27,397.63
100,0.8326,,0.4431,196.36,201.27,397.63
101,0.8323,,0.4421,196.36,201.27,397.63
