round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1021,0.1021,2.3028,0.00,80.51,80.51
2,0.3704,0.4103,2.1576,78.55,80.51,159.05
3,0.4892,0.5218,1.8956,78.55,80.51,159.05
4,0.5488,0.5822,1.6720,78.55,80.51,159.05
5,0.5866,0.6268,1.4981,78.55,80.51,159.05
6,0.6109,0.6564,1.3730,78.55,80.51,159.05
7,0.6284,0.6733,1.2762,78.55,80.51,159.05
8,0.6494,0.6891,1.2008,78.55,80.51,159.05
9,0.6609,0.7003,1.1414,78.55,80.51,159.05
10,0.6757,0.7100,1.0860,78.55,80.51,159.05
11,0.6825,0.7167,1.0499,78.55,80.51,159.05
12,0.6890,0.7219,1.0199,78.55,80.51,159.05
13,0.6961,0.7274,0.9901,78.55,80.51,159.05
14,0.7024,0.7338,0.9657,78.55,80.51,159.05
15,0.7055,0.7370,0.9530,78.55,80.51,159.05
16,0.7113,0.7423,0.9302,78.55,80.51,159.05
17,0.7133,0.7459,0.9131,78.55,80.51,159.05
18,0.7181,0.7504,0.8978,78.55,80.51,159.05
19,0.7218,0.7526,0.8892,78.55,80.51,159.05
20,0.7200,0.7553,0.8802,78.55,80.51,159.05
21,0.7240,0.7581,0.8717,78.55,80.51,159.05
22,0.7213,0.7614,0.8649,78.55,80.51,159.05
23,0.7335,0.7659,0.8390,78.55,80.51,159.05
24,0.7291,0.7681,0.8416,78.55,80.51,159.05
25,0.7311,0.7706,0.8312,78.55,80.51,159.05
26,0.7336,0.7721,0.8286,78.55,80.51,159.05
27,0.7373,0.7763,0.8129,78.55,80.51,159.05
28,0.7404,0.7797,0.7981,78.55,80.51,159.05
29,0.7408,0.7797,0.8011,78.55,80.51,159.05
30,0.7418,0.7815,0.7971,78.55,80.51,159.05
31,0.7458,0.7842,0.7893,78.55,80.51,159.05
32,0.7416,0.7845,0.7903,78.55,80.51,159.05
33,0.7459,0.7877,0.7813,78.55,80.51,159.05
34,0.7466,0.7881,0.7763,78.55,80.51,159.05
35,0.7446,0.7905,0.7726,78.55,80.51,159.05
36,0.7446,0.7891,0.7728,78.55,80.51,159.05
37,0.7490,0.7937,0.7597,78.55,80.51,159.05
38,0.7499,0.7956,0.7578,78.55,80.51,159.05
39,0.7516,0.7958,0.7527,78.55,80.51,159.05
40,0.7540,0.7967,0.7459,78.55,80.51,159.05
41,0.7526,0.7996,0.7414,78.55,80.51,159.05
42,0.7516,0.8010,0.7393,78.55,80.51,159.05
43,0.7505,0.7985,0.7436,78.55,80.51,159.05
44,0.7537,0.8034,0.7385,78.55,80.51,159.05
45,0.7504,0.8040,0.7390,78.55,80.51,159.05
46,0.7560,0.8058,0.7270,78.55,80.51,159.05
47,0.7541,0.8044,0.7321,78.55,80.51,159.05
48,0.7542,0.8061,0.7262,78.55,80.51,159.05
49,0.7606,0.8094,0.7100,78.55,80.51,159.05
50,0.7651,0.8121,0.6993,78.55,80.51,159.05
51,0.7629,0.8110,0.7063,78.55,80.51,159.05
52,0.7598,0.8129,0.7014,78.55,80.51,159.05
53,0.7563,0.8111,0.7136,78.55,80.51,159.05
54,0.7593,0.8128,0.7055,78.55,80.51,159.05
55,0.7608,0.8129,0.7016,78.55,80.51,159.05
56,0.7612,0.8155,0.7024,78.55,80.51,159.05
57,0.7584,0.8161,0.7067,78.55,80.51,159.05
58,0.7634,0.8172,0.6978,78.55,80.51,159.05
59,0.7617,0.8183,0.6911,78.55,80.51,159.05
60,0.7638,0.8180,0.6860,78.55,80.51,159.05
61,0.7660,0.8217,0.6808,78.55,80.51,159.05
62,0.7650,0.8200,0.6860,78.55,80.51,159.05
63,0.7721,0.8255,0.6652,78.55,80.51,159.05
64,0.7705,0.8242,0.6702,78.55,80.51,159.05
65,0.7736,0.8264,0.6620,78.55,80.51,159.05
66,0.7678,0.8214,0.6769,78.55,80.51,159.05
67,0.7661,0.8215,0.6762,78.55,80.51,159.05
68,0.7718,0.8243,0.6624,78.55,80.51,159.05
69,0.7682,0.8258,0.6658,78.55,80.51,159.05
70,0.7726,0.8292,0.6626,78.55,80.51,159.05
71,0.7723,0.8242,0.6685,78.55,80.51,159.05
72,0.7678,0.8257,0.6687,78.55,80.51,159.05
73,0.7830,0.8332,0.6314,78.55,80.51,159.05
74,0.7743,0.8313,0.6527,78.55,80.51,159.05
75,0.7705,0.8275,0.6650,78.55,80.51,159.05
76,0.7723,0.8311,0.6618,78.55,80.51,159.05
77,0.7773,0.8322,0.6403,78.55,80.51,159.05
78,0.7724,0.8297,0.6552,78.55,80.51,159.05
79,0.7723,0.8319,0.6562,78.55,80.51,159.05
80,0.7762,0.8317,0.6480,78.55,80.51,159.05
81,0.7769,0.8363,0.6398,78.55,80.51,159.05
82,0.7771,0.8352,0.6465,78.55,80.51,159.05
83,0.7767,0.8328,0.6412,78.55,80.51,159.05
84,0.7781,0.8354,0.6342,78.55,80.51,159.05
85,0.7814,0.8384,0.6296,78.55,80.51,159.05
86,0.7829,0.8375,0.6247,78.55,80.51,159.05
87,0.7761,0.8350,0.6439,78.55,80.51,159.05
88,0.7807,0.8366,0.6344,78.55,80.51,159.05
89,0.7813,0.8404,0.6246,78.55,80.51,159.05
90,0.7789,0.8366,0.6357,78.55,80.51,159.05
91,0.7858,0.8426,0.6121,78.55,80.51,159.05
92,0.7825,0.8401,0.6228,78.55,80.51,159.05
93,0.7831,0.8416,0.6203,78.55,80.51,159.05
