round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1009,0.1009,2.3044,0.00,80.51,80.51
2,0.3408,0.1644,2.2435,78.55,80.51,159.05
3,0.4071,0.3187,2.1129,78.55,80.51,159.05
4,0.4482,0.4455,1.9866,78.55,80.51,159.05
5,0.5043,0.4810,1.8728,78.55,80.51,159.05
6,0.5617,0.4928,1.7740,78.55,80.51,159.05
7,0.6121,0.5017,1.6869,78.55,80.51,159.05
8,0.6549,0.5052,1.6124,78.55,80.51,159.05
9,0.6886,0.5097,1.5434,78.55,80.51,159.05
10,0.7109,0.5074,1.4874,78.55,80.51,159.05
11,0.7332,0.5075,1.4386,78.55,80.51,159.05
12,0.7607,0.5073,1.3897,78.55,80.51,159.05
13,0.7854,0.5041,1.3470,78.55,80.51,159.05
14,0.8157,0.4989,1.2992,78.55,80.51,159.05
15,0.8475,0.4907,1.2339,78.55,80.51,159.05
16,0.8949,0.4541,1.1072,78.55,80.51,159.05
17,0.9587,0.3622,0.7740,78.55,80.51,159.05
18,0.9747,0.2280,0.4761,78.55,80.51,159.05
19,0.9773,0.1949,0.1890,78.55,80.51,159.05
20,0.9834,0.1965,0.0834,78.55,80.51,159.05
21,0.9823,0.1963,0.0745,78.55,80.51,159.05
22,0.9837,0.1966,0.0713,78.55,80.51,159.05
23,0.9847,0.1969,0.0607,78.55,80.51,159.05
24,0.9825,0.1967,0.0639,78.55,80.51,159.05
25,0.9843,0.1969,0.0564,78.55,80.51,159.05
26,0.9830,0.1967,0.0591,78.55,80.51,159.05
27,0.9841,0.1968,0.0564,78.55,80.51,159.05
28,0.9847,0.1971,0.0538,78.55,80.51,159.05
29,0.9811,0.1962,0.0586,78.55,80.51,159.05
30,0.9845,0.1969,0.0535,78.55,80.51,159.05
31,0.9830,0.1968,0.0562,78.55,80.51,159.05
32,0.9851,0.1971,0.0545,78.55,80.51,159.05
33,0.9842,0.1968,0.0562,78.55,80.51,159.05
34,0.9837,0.1969,0.0539,78.55,80.51,159.05
35,0.9848,0.1969,0.0488,78.55,80.51,159.05
36,0.9826,0.1967,0.0537,78.55,80.51,159.05
37,0.9827,0.1967,0.0518,78.55,80.51,159.05
38,0.9826,0.1967,0.0512,78.55,80.51,159.05
39,0.9826,0.1964,0.0517,78.55,80.51,159.05
40,0.9834,0.1969,0.0492,78.55,80.51,159.05
41,0.9834,0.1967,0.0482,78.55,80.51,159.05
42,0.9839,0.1969,0.0477,78.55,80.51,159.05
43,0.9803,0.1960,0.0548,78.55,80.51,159.05
44,0.9795,0.1959,0.0559,78.55,80.51,159.05
45,0.9831,0.1968,0.0469,78.55,80.51,159.05
46,0.9818,0.1965,0.0499,78.55,80.51,159.05
47,0.9829,0.1968,0.0465,78.55,80.51,159.05
48,0.9834,0.1968,0.0458,78.55,80.51,159.05
49,0.9822,0.1966,0.0489,78.55,80.51,159.05
50,0.9845,0.1971,0.0446,78.55,80.51,159.05
51,0.9845,0.1970,0.0424,78.55,80.51,159.05
52,0.9826,0.1967,0.0472,78.55,80.51,159.05
53,0.9835,0.1969,0.0465,78.55,80.51,159.05
54,0.9854,0.1973,0.0400,78.55,80.51,159.05
55,0.9846,0.1970,0.0423,78.55,80.51,159.05
56,0.9823,0.1968,0.0485,78.55,80.51,159.05
57,0.9834,0.1967,0.0454,78.55,80.51,159.05
58,0.9810,0.1962,0.0505,78.55,80.51,159.05
59,0.9805,0.1961,0.0522,78.55,80.51,159.05
60,0.9835,0.1969,0.0433,78.55,80.51,159.05
61,0.9825,0.1967,0.0464,78.55,80.51,159.05
62,0.9822,0.1964,0.0480,78.55,80.51,159.05
63,0.9809,0.1961,0.0516,78.55,80.51,159.05
64,0.9839,0.1968,0.0436,78.55,80.51,159.05
65,0.9829,0.1967,0.0455,78.55,80.51,159.05
