round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0999,,2.3031,0.00,201.27,201.27
2,0.1241,,2.3513,196.36,201.27,397.63
3,0.2282,,2.2650,196.36,201.27,397.63
4,0.3199,,2.1405,196.36,201.27,397.63
5,0.3821,,2.0461,196.36,201.27,397.63
6,0.4347,,1.9608,196.36,201.27,397.63
7,0.4804,,1.8802,196.36,201.27,397.63
8,0.5164,,1.8045,196.36,201.27,397.63
9,0.5439,,1.7338,196.36,201.27,397.63
10,0.5679,,1.6676,196.36,201.27,397.63
11,0.5842,,1.6069,196.36,201.27,397.63
12,0.5986,,1.5498,196.36,201.27,397.63
13,0.6120,,1.4963,196.36,201.27,397.63
14,0.6219,,1.4470,196.36,201.27,397.63
15,0.6311,,1.4014,196.36,201.27,397.63
16,0.6392,,1.3583,196.36,201.27,397.63
17,0.6451,,1.3186,196.36,201.27,397.63
18,0.6513,,1.2812,196.36,201.27,397.63
19,0.6556,,1.2461,196.36,201.27,397.63
20,0.6596,,1.2145,196.36,201.27,397.63
21,0.6647,,1.1839,196.36,201.27,397.63
22,0.6698,,1.1541,196.36,201.27,397.63
23,0.6731,,1.1270,196.36,201.27,397.63
24,0.6769,,1.1019,196.36,201.27,397.63
25,0.6804,,1.0771,196.36,201.27,397.63
26,0.6821,,1.0546,196.36,201.27,397.63
27,0.6864,,1.0328,196.36,201.27,397.63
28,0.6906,,1.0119,196.36,201.27,397.63
29,0.6933,,0.9925,196.36,201.27,397.63
30,0.6969,,0.9717,196.36,201.27,397.63
31,0.7017,,0.9543,196.36,201.27,397.63
32,0.7029,,0.9365,196.36,201.27,397.63
33,0.7065,,0.9197,196.36,201.27,397.63
34,0.7077,,0.9034,196.36,201.27,397.63
35,0.7098,,0.8882,196.36,201.27,397.63
36,0.7133,,0.8751,196.36,201.27,397.63
37,0.7168,,0.8592,196.36,201.27,397.63
38,0.7159,,0.8476,196.36,201.27,397.63
39,0.7206,,0.8333,196.36,201.27,397.63
40,0.7225,,0.8211,196.36,201.27,397.63
41,0.7240,,0.8079,196.36,201.27,397.63
42,0.7261,,0.7964,196.36,201.27,397.63
43,0.7276,,0.7847,196.36,201.27,397.63
44,0.7283,,0.7742,196.36,201.27,397.63
45,0.7295,,0.7621,196.36,201.27,397.63
46,0.7306,,0.7529,196.36,201.27,397.63
47,0.7302,,0.7450,196.36,201.27,397.63
48,0.7355,,0.7321,196.36,201.27,397.63
49,0.7367,,0.7227,196.36,201.27,397.63
50,0.7348,,0.7154,196.36,201.27,397.63
51,0.7387,,0.7049,196.36,201.27,397.63
52,0.7392,,0.6970,196.36,201.27,397.63
53,0.7397,,0.6901,196.36,201.27,397.63
54,0.7414,,0.6810,196.36,201.27,397.63
55,0.7419,,0.6730,196.36,201.27,397.63
56,0.7425,,0.6649,196.36,201.27,397.63
57,0.7445,,0.6571,196.36,201.27,397.63
58,0.7459,,0.6491,196.36,201.27,397.63
59,0.7452,,0.6436,196.36,201.27,397.63
60,0.7499,,0.6331,196.36,201.27,397.63
61,0.7493,,0.6273,196.36,201.27,397.63
62,0.7468,,0.6240,196.36,201.27,397.63
63,0.7518,,0.6131,196.36,201.27,397.63
64,0.7518,,0.6084,196.36,201.27,397.63
65,0.7517,,0.6034,196.36,201.27,397.63
66,0.7507,,0.5995,196.36,201.27,397.63
67,0.7557,,0.5901,196.36,201.27,397.63
68,0.7552,,0.5854,196.36,201.27,397.63
69,0.7560,,0.5782,196.36,201.27,397.63
70,0.7570,,0.5745,196.36,201.27,397.63
71,0.7564,,0.5690,196.36,201.27,397.63
72,0.7576,,0.5627,196.36,201.27,397.63
73,0.7579,,0.5576,196.36,201.27,397.63
74,0.7586,,0.5515,196.36,201.27,397.63
75,0.7581,,0.5484,196.36,201.27,397.63
76,0.7609,,0.5423,196.36,201.27,397.63
77,0.7603,,0.5374,196.36,201.27,397.63
78,0.7597,,0.5335,196.36,201.27,397.63
79,0.7618,,0.5265,196.36,201.27,397.63
80,0.7634,,0.5232,196.36,201.27,397.63
81,0.7627,,0.5201,196.36,201.27,397.63
82,0.7632,,0.5153,196.36,201.27,397.63
83,0.7624,,0.5118,196.36,201.27,397.63
84,0.7649,,0.5043,196.36,201.27,397.63
85,0.7650,,0.5017,196.36,201.27,397.63
86,0.7655,,0.4969,196.36,201.27,397.63
87,0.7647,,0.4945,196.36,201.27,397.63
88,0.7660,,0.4890,196.36,201.27,397.63
89,0.7677,,0.4826,196.36,201.27,397.63
90,0.7662,,0.4828,196.36,201.27,397.63
91,0.7679,,0.4759,196.36,201.27,397.63
92,0.7671,,0.4753,196.36,201.27,397.63
93,0.7720,,0.4662,196.36,201.27,397.63
94,0.7700,,0.4662,196.36,201.27,397.63
95,0.7694,,0.4629,196.36,201.27,397.63
96,0.7688,,0.4620,196.36,201.27,397.63
97,0.7714,,0.4541,196.36,201.27,397.63
98,0.7741,,0.4498,196.36,201.27,397.63
99,0.7740,,0.4471,196.36,201.27,397.63
100,0.7730,,0.4429,196.36,201.27,397.63
101,0.7729,,0.4420,196.36,201.27,397.63
