round,global_local_test_acc,global_global_test_acc,global_train_loss,global_id_test_acc,global_ood_test_acc,global_id_test_count,global_ood_test_count,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,personalized_id_test_acc,personalized_ood_test_acc,personalized_id_test_count,personalized_ood_test_count,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,0.1000,,2.3018,,,,,0.00,117.82,117.82
2,0.1128,,2.3759,,,,,0.1917,,0.4261,,,,,117.82,117.82,235.64
3,0.1111,,2.3606,,,,,0.1919,,0.4188,,,,,117.82,117.82,235.64
4,0.1104,,2.3583,,,,,0.1920,,0.4134,,,,,117.82,117.82,235.64
5,0.1097,,2.3585,,,,,0.1916,,0.4112,,,,,117.82,117.82,235.64
6,0.1094,,2.3587,,,,,0.1924,,0.4122,,,,,117.82,117.82,235.64
7,0.1111,,2.3599,,,,,0.1924,,0.4128,,,,,117.82,117.82,235.64
8,0.1115,,2.3628,,,,,0.1926,,0.4115,,,,,117.82,117.82,235.64
9,0.1134,,2.3631,,,,,0.1929,,0.4076,,,,,117.82,117.82,235.64
10,0.1108,,2.3631,,,,,0.1922,,0.4123,,,,,117.82,117.82,235.64
11,0.1136,,2.3634,,,,,0.1923,,0.4138,,,,,117.82,117.82,235.64
12,0.1148,,2.3645,,,,,0.1927,,0.4116,,,,,117.82,117.82,235.64
13,0.1137,,2.3651,,,,,0.1916,,0.4140,,,,,117.82,117.82,235.64
14,0.1126,,2.3636,,,,,0.1923,,0.4121,,,,,117.82,117.82,235.64
15,0.1150,,2.3648,,,,,0.1927,,0.4064,,,,,117.82,117.82,235.64
16,0.1143,,2.3653,,,,,0.1906,,0.4218,,,,,117.82,117.82,235.64
17,0.1153,,2.3660,,,,,0.1917,,0.4139,,,,,117.82,117.82,235.64
18,0.1143,,2.3667,,,,,0.1925,,0.4130,,,,,117.82,117.82,235.64
19,0.1150,,2.3682,,,,,0.1928,,0.4087,,,,,117.82,117.82,235.64
20,0.1183,,2.3678,,,,,0.1925,,0.4118,,,,,117.82,117.82,235.64
21,0.1168,,2.3661,,,,,0.1921,,0.4117,,,,,117.82,117.82,235.64
22,0.1163,,2.3673,,,,,0.1919,,0.4143,,,,,117.82,117.82,235.64
23,0.1172,,2.3680,,,,,0.1926,,0.4086,,,,,117.82,117.82,235.64
24,0.1171,,2.3672,,,,,0.1923,,0.4111,,,,,117.82,117.82,235.64
25,0.1178,,2.3656,,,,,0.1920,,0.4143,,,,,117.82,117.82,235.64
26,0.1188,,2.3665,,,,,0.1921,,0.4094,,,,,117.82,117.82,235.64
27,0.1167,,2.3672,,,,,0.1910,,0.4190,,,,,117.82,117.82,235.64
28,0.1174,,2.3668,,,,,0.1923,,0.4093,,,,,117.82,117.82,235.64
29,0.1194,,2.3667,,,,,0.1927,,0.4069,,,,,117.82,117.82,235.64
30,0.1185,,2.3669,,,,,0.1928,,0.4100,,,,,117.82,117.82,235.64
31,0.1190,,2.3657,,,,,0.1921,,0.4106,,,,,117.82,117.82,235.64
32,0.1203,,2.3671,,,,,0.1924,,0.4094,,,,,117.82,117.82,235.64
33,0.1186,,2.3650,,,,,0.1925,,0.4084,,,,,117.82,117.82,235.64
34,0.1200,,2.3655,,,,,0.1921,,0.4166,,,,,117.82,117.82,235.64
35,0.1211,,2.3665,,,,,0.1921,,0.4105,,,,,117.82,117.82,235.64
36,0.1193,,2.3655,,,,,0.1918,,0.4097,,,,,117.82,117.82,235.64
37,0.1189,,2.3664,,,,,0.1928,,0.4075,,,,,117.82,117.82,235.64
38,0.1202,,2.3662,,,,,0.1926,,0.4087,,,,,117.82,117.82,235.64
39,0.1208,,2.3677,,,,,0.1924,,0.4085,,,,,117.82,117.82,235.64
40,0.1209,,2.3659,,,,,0.1923,,0.4093,,,,,117.82,117.82,235.64
41,0.1194,,2.3645,,,,,0.1919,,0.4134,,,,,117.82,117.82,235.64
42,0.1176,,2.3644,,,,,0.1922,,0.4075,,,,,117.82,117.82,235.64
43,0.1193,,2.3651,,,,,0.1924,,0.4108,,,,,117.82,117.82,235.64
44,0.1200,,2.3661,,,,,0.1927,,0.4087,,,,,117.82,117.82,235.64
45,0.1200,,2.3660,,,,,0.1924,,0.4098,,,,,117.82,117.82,235.64
46,0.1201,,2.3663,,,,,0.1922,,0.4104,,,,,117.82,117.82,235.64
47,0.1202,,2.3659,,,,,0.1921,,0.4130,,,,,117.82,117.82,235.64
48,0.1198,,2.3676,,,,,0.1921,,0.4135,,,,,117.82,117.82,235.64
49,0.1194,,2.3650,,,,,0.1923,,0.4096,,,,,117.82,117.82,235.64
50,0.1190,,2.3645,,,,,0.1921,,0.4083,,,,,117.82,117.82,235.64
51,0.1200,,2.3657,,,,,0.1923,,0.4099,,,,,117.82,117.82,235.64
52,0.1111,,2.3408,,,,,0.1550,,1.1749,,,,,117.82,196.36,314.18
53,0.1158,,2.3567,,,,,0.1955,,0.4043,,,,,196.36,196.36,392.73
54,0.1146,,2.3528,,,,,0.1948,,0.4045,,,,,196.36,196.36,392.73
55,0.1151,,2.3537,,,,,0.1953,,0.4008,,,,,196.36,196.36,392.73
56,0.1145,,2.3520,,,,,0.1953,,0.3975,,,,,196.36,196.36,392.73
57,0.1155,,2.3533,,,,,0.1950,,0.3996,,,,,196.36,196.36,392.73
58,0.1145,,2.3544,,,,,0.1954,,0.4003,,,,,196.36,196.36,392.73
59,0.1147,,2.3560,,,,,0.1953,,0.3980,,,,,196.36,196.36,392.73
60,0.1140,,2.3560,,,,,0.1954,,0.3982,,,,,196.36,196.36,392.73
61,0.1133,,2.3564,,,,,0.1951,,0.4004,,,,,196.36,196.36,392.73
62,0.1145,,2.3583,,,,,0.1954,,0.3966,,,,,196.36,196.36,392.73
63,0.1136,,2.3585,,,,,0.1952,,0.4015,,,,,196.36,196.36,392.73
64,0.1137,,2.3584,,,,,0.1953,,0.3975,,,,,196.36,196.36,392.73
65,0.1131,,2.3584,,,,,0.1953,,0.3983,,,,,196.36,196.36,392.73
66,0.1135,,2.3589,,,,,0.1955,,0.3983,,,,,196.36,196.36,392.73
67,0.1137,,2.3593,,,,,0.1951,,0.3999,,,,,196.36,196.36,392.73
68,0.1139,,2.3595,,,,,0.1954,,0.3997,,,,,196.36,196.36,392.73
69,0.1136,,2.3606,,,,,0.1955,,0.3977,,,,,196.36,196.36,392.73
70,0.1144,,2.3604,,,,,0.1950,,0.3990,,,,,196.36,196.36,392.73
71,0.1137,,2.3598,,,,,0.1951,,0.3998,,,,,196.36,196.36,392.73
72,0.1138,,2.3612,,,,,0.1953,,0.3977,,,,,196.36,196.36,392.73
73,0.1143,,2.3620,,,,,0.1954,,0.3990,,,,,196.36,196.36,392.73
74,0.1140,,2.3616,,,,,0.1955,,0.3989,,,,,196.36,196.36,392.73
75,0.1158,,2.3616,,,,,0.1951,,0.4008,,,,,196.36,196.36,392.73
76,0.1153,,2.3618,,,,,0.1954,,0.3971,,,,,196.36,196.36,392.73
77,0.1145,,2.3617,,,,,0.1952,,0.3978,,,,,196.36,196.36,392.73
78,0.1136,,2.3618,,,,,0.1949,,0.3983,,,,,196.36,196.36,392.73
79,0.1142,,2.3621,,,,,0.1952,,0.4000,,,,,196.36,196.36,392.73
80,0.1146,,2.3617,,,,,0.1951,,0.4009,,,,,196.36,196.36,392.73
81,0.1145,,2.3625,,,,,0.1950,,0.4033,,,,,196.36,196.36,392.73
82,0.1137,,2.3631,,,,,0.1950,,0.4001,,,,,196.36,196.36,392.73
83,0.1144,,2.3625,,,,,0.1952,,0.3991,,,,,196.36,196.36,392.73
84,0.1146,,2.3633,,,,,0.1954,,0.3984,,,,,196.36,196.36,392.73
85,0.1129,,2.3626,,,,,0.1951,,0.3987,,,,,196.36,196.36,392.73
86,0.1139,,2.3632,,,,,0.1951,,0.3993,,,,,196.36,196.36,392.73
87,0.1150,,2.3635,,,,,0.1952,,0.3980,,,,,196.36,196.36,392.73
