round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.81852722,117.81852722,0.00000000,117.81852722,117.81852722,117.81852722
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95833333,0.00000000,,,0.02589509,0.00000000,,,30,30,0,0,5750,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,117.81852722,235.63705444,353.45558167,176.72779083
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95933333,0.00000000,,,0.02390026,0.00000000,,,30,30,0,0,5756,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,235.63705444,353.45558167,589.09263611,196.36421204
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96016667,0.00000000,,,0.02557614,0.00000000,,,30,30,0,0,5761,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,353.45558167,471.27410889,824.72969055,206.18242264
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95800000,0.00000000,,,0.02970971,0.00000000,,,30,30,0,0,5748,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,471.27410889,589.09263611,1060.36674500,212.07334900
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96183333,0.00000000,,,0.02537989,0.00000000,,,30,30,0,0,5771,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,589.09263611,706.91116333,1296.00379944,216.00063324
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96216667,0.00000000,,,0.02382867,0.00000000,,,30,30,0,0,5773,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,706.91116333,824.72969055,1531.64085388,218.80583627
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96300000,0.00000000,,,0.02170253,0.00000000,,,30,30,0,0,5778,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,824.72969055,942.54821777,1767.27790833,220.90973854
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96433333,0.00000000,,,0.02223861,0.00000000,,,30,30,0,0,5786,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,942.54821777,1060.36674500,2002.91496277,222.54610697
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96083333,0.00000000,,,0.02636549,0.00000000,,,30,30,0,0,5765,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1060.36674500,1178.18527222,2238.55201721,223.85520172
