round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.1743,0.1018,1.3681,78.63,0.00,78.63
3,0.1765,0.1066,0.8425,157.27,0.00,157.27
4,0.1755,0.1098,0.6432,235.90,0.00,235.90
5,0.1813,0.1136,0.5492,314.53,0.00,314.53
6,0.1835,0.1156,0.4726,393.17,0.00,393.17
7,0.1886,0.1194,0.4479,471.80,0.00,471.80
8,0.1952,0.1235,0.4272,550.44,0.00,550.44
9,0.1994,0.1258,0.4049,629.07,0.00,629.07
10,0.2059,0.1269,0.3916,707.70,0.00,707.70
11,0.2051,0.1303,0.3791,786.34,0.00,786.34
12,0.2066,0.1316,0.3638,864.97,0.00,864.97
13,0.2012,0.1337,0.3610,943.60,0.00,943.60
14,0.2057,0.1344,0.3549,1022.24,0.00,1022.24
15,0.2076,0.1360,0.3442,1100.87,0.00,1100.87
16,0.2106,0.1365,0.3356,1179.50,0.00,1179.50
17,0.2140,0.1377,0.3284,1258.14,0.00,1258.14
18,0.2162,0.1406,0.3247,1336.77,0.00,1336.77
19,0.2135,0.1391,0.3206,1415.40,0.00,1415.40
20,0.2097,0.1411,0.3217,1494.04,0.00,1494.04
21,0.2074,0.1407,0.3205,1572.67,0.00,1572.67
22,0.2137,0.1441,0.3093,1651.31,0.00,1651.31
23,0.2123,0.1429,0.3053,1729.94,0.00,1729.94
24,0.2135,0.1450,0.3066,1808.57,0.00,1808.57
25,0.2099,0.1454,0.2997,1887.21,0.00,1887.21
26,0.2165,0.1454,0.3037,1965.84,0.00,1965.84
27,0.2130,0.1464,0.3043,2044.47,0.00,2044.47
28,0.2138,0.1472,0.2950,2123.11,0.00,2123.11
29,0.2130,0.1460,0.2928,2201.74,0.00,2201.74
30,0.2142,0.1457,0.2950,2280.37,0.00,2280.37
31,0.2195,0.1487,0.2899,2359.01,0.00,2359.01
32,0.2188,0.1463,0.2850,2437.64,0.00,2437.64
33,0.2199,0.1510,0.2970,2516.27,0.00,2516.27
34,0.2189,0.1499,0.2818,2594.91,0.00,2594.91
35,0.2129,0.1470,0.2810,2673.54,0.00,2673.54
36,0.2144,0.1443,0.2858,2752.18,0.00,2752.18
37,0.2088,0.1472,0.2749,2830.81,0.00,2830.81
38,0.2103,0.1504,0.2840,2909.44,0.00,2909.44
39,0.2154,0.1511,0.2780,2988.08,0.00,2988.08
40,0.2111,0.1501,0.2782,3066.71,0.00,3066.71
41,0.2091,0.1521,0.2768,3145.34,0.00,3145.34
42,0.2121,0.1517,0.2800,3223.98,0.00,3223.98
43,0.2192,0.1519,0.2821,3302.61,0.00,3302.61
44,0.2139,0.1487,0.2936,3381.24,0.00,3381.24
45,0.2154,0.1540,0.2702,3459.88,0.00,3459.88
46,0.2156,0.1522,0.2739,3538.51,0.00,3538.51
47,0.2146,0.1507,0.2584,3617.14,0.00,3617.14
48,0.2108,0.1515,0.2736,3695.78,0.00,3695.78
49,0.2160,0.1548,0.2639,3774.41,0.00,3774.41
50,0.2246,0.1540,0.2604,3853.05,0.00,3853.05
51,0.2175,0.1476,0.2866,3931.68,0.00,3931.68
52,0.2187,0.1525,0.2645,4010.31,0.00,4010.31
53,0.2162,0.1518,0.2630,4088.95,0.00,4088.95
