round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.5020,0.1005,2.0436,196.58,196.58,393.17
3,0.5892,0.1181,1.4303,196.58,196.58,393.17
4,0.7239,0.1447,0.9123,196.58,196.58,393.17
5,0.7368,0.1471,0.7370,196.58,196.58,393.17
6,0.7433,0.1485,0.6653,196.58,196.58,393.17
7,0.7500,0.1495,0.6187,196.58,196.58,393.17
8,0.7543,0.1506,0.5877,196.58,196.58,393.17
9,0.7569,0.1515,0.5670,196.58,196.58,393.17
10,0.7645,0.1521,0.5518,196.58,196.58,393.17
11,0.7664,0.1529,0.5374,196.58,196.58,393.17
12,0.7674,0.1532,0.5261,196.58,196.58,393.17
13,0.7744,0.1548,0.5146,196.58,196.58,393.17
14,0.7735,0.1548,0.5057,196.58,196.58,393.17
15,0.7835,0.1562,0.4942,196.58,196.58,393.17
16,0.7869,0.1567,0.4848,196.58,196.58,393.17
17,0.7872,0.1573,0.4760,196.58,196.58,393.17
18,0.7890,0.1579,0.4689,196.58,196.58,393.17
19,0.7969,0.1591,0.4565,196.58,196.58,393.17
20,0.7955,0.1591,0.4508,196.58,196.58,393.17
21,0.8029,0.1605,0.4381,196.58,196.58,393.17
22,0.7981,0.1595,0.4373,196.58,196.58,393.17
23,0.8061,0.1609,0.4281,196.58,196.58,393.17
24,0.8099,0.1612,0.4211,196.58,196.58,393.17
25,0.8083,0.1612,0.4178,196.58,196.58,393.17
26,0.8153,0.1624,0.4075,196.58,196.58,393.17
27,0.8042,0.1608,0.4130,196.58,196.58,393.17
28,0.8109,0.1614,0.4081,196.58,196.58,393.17
29,0.8096,0.1623,0.4018,196.58,196.58,393.17
30,0.8105,0.1615,0.4040,196.58,196.58,393.17
31,0.8165,0.1629,0.3941,196.58,196.58,393.17
32,0.8117,0.1623,0.3950,196.58,196.58,393.17
33,0.8147,0.1625,0.3925,196.58,196.58,393.17
34,0.8175,0.1627,0.3896,196.58,196.58,393.17
35,0.8174,0.1631,0.3827,196.58,196.58,393.17
36,0.8228,0.1638,0.3776,196.58,196.58,393.17
37,0.8231,0.1639,0.3763,196.58,196.58,393.17
38,0.8163,0.1631,0.3796,196.58,196.58,393.17
39,0.8159,0.1638,0.3753,196.58,196.58,393.17
40,0.8173,0.1639,0.3737,196.58,196.58,393.17
41,0.8232,0.1641,0.3705,196.58,196.58,393.17
42,0.8242,0.1648,0.3659,196.58,196.58,393.17
43,0.8264,0.1645,0.3665,196.58,196.58,393.17
44,0.8267,0.1655,0.3584,196.58,196.58,393.17
45,0.8237,0.1643,0.3657,196.58,196.58,393.17
46,0.8233,0.1647,0.3629,196.58,196.58,393.17
47,0.8294,0.1652,0.3592,196.58,196.58,393.17
48,0.8239,0.1652,0.3574,196.58,196.58,393.17
49,0.8324,0.1663,0.3484,196.58,196.58,393.17
50,0.8292,0.1661,0.3499,196.58,196.58,393.17
51,0.8224,0.1651,0.3547,196.58,196.58,393.17
52,0.8308,0.1658,0.3474,196.58,196.58,393.17
53,0.8324,0.1660,0.3504,196.58,196.58,393.17
54,0.8354,0.1662,0.3478,196.58,196.58,393.17
55,0.8357,0.1663,0.3456,196.58,196.58,393.17
56,0.8301,0.1657,0.3464,196.58,196.58,393.17
57,0.8398,0.1675,0.3349,196.58,196.58,393.17
58,0.8366,0.1670,0.3354,196.58,196.58,393.17
59,0.8340,0.1664,0.3370,196.58,196.58,393.17
60,0.8339,0.1668,0.3339,196.58,196.58,393.17
61,0.8408,0.1675,0.3277,196.58,196.58,393.17
62,0.8385,0.1678,0.3311,196.58,196.58,393.17
63,0.8338,0.1662,0.3431,196.58,196.58,393.17
64,0.8381,0.1679,0.3273,196.58,196.58,393.17
65,0.8412,0.1680,0.3272,196.58,196.58,393.17
66,0.8299,0.1662,0.3374,196.58,196.58,393.17
67,0.8336,0.1659,0.3370,196.58,196.58,393.17
68,0.8307,0.1665,0.3375,196.58,196.58,393.17
69,0.8389,0.1673,0.3286,196.58,196.58,393.17
70,0.8316,0.1662,0.3405,196.58,196.58,393.17
71,0.8291,0.1662,0.3400,196.58,196.58,393.17
72,0.8400,0.1669,0.3307,196.58,196.58,393.17
73,0.8489,0.1696,0.3100,196.58,196.58,393.17
74,0.8420,0.1683,0.3207,196.58,196.58,393.17
75,0.8400,0.1683,0.3173,196.58,196.58,393.17
76,0.8387,0.1675,0.3219,196.58,196.58,393.17
77,0.8451,0.1686,0.3150,196.58,196.58,393.17
78,0.8528,0.1700,0.3037,196.58,196.58,393.17
79,0.8512,0.1699,0.3050,196.58,196.58,393.17
80,0.8421,0.1681,0.3196,196.58,196.58,393.17
81,0.8373,0.1676,0.3217,196.58,196.58,393.17
82,0.8391,0.1682,0.3144,196.58,196.58,393.17
83,0.8431,0.1692,0.3077,196.58,196.58,393.17
84,0.8450,0.1689,0.3076,196.58,196.58,393.17
85,0.8370,0.1670,0.3263,196.58,196.58,393.17
86,0.8396,0.1674,0.3193,196.58,196.58,393.17
87,0.8422,0.1683,0.3116,196.58,196.58,393.17
88,0.8435,0.1682,0.3171,196.58,196.58,393.17
89,0.8506,0.1700,0.3016,196.58,196.58,393.17
90,0.8396,0.1676,0.3211,196.58,196.58,393.17
91,0.8433,0.1686,0.3111,196.58,196.58,393.17
92,0.8442,0.1690,0.3047,196.58,196.58,393.17
93,0.8501,0.1697,0.3007,196.58,196.58,393.17
94,0.8398,0.1677,0.3191,196.58,196.58,393.17
95,0.8449,0.1693,0.3019,196.58,196.58,393.17
96,0.8491,0.1694,0.3011,196.58,196.58,393.17
97,0.8420,0.1683,0.3092,196.58,196.58,393.17
98,0.8524,0.1703,0.2897,196.58,196.58,393.17
99,0.8434,0.1683,0.3116,196.58,196.58,393.17
100,0.8515,0.1698,0.2990,196.58,196.58,393.17
101,0.8518,0.1696,0.2971,196.58,196.58,393.17
