round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0943,2.4299,0.00,10246.39
2,0.2365,2.1784,10246.39,20492.78
3,0.3659,1.8920,20492.78,30739.18
4,0.4329,1.6131,30739.18,40985.57
5,0.4788,1.3875,40985.57,51231.96
6,0.5266,1.2272,51231.96,61478.35
7,0.5829,1.0924,61478.35,71724.75
8,0.6165,0.9990,71724.75,81971.14
9,0.6670,0.8996,81971.14,92217.53
10,0.6954,0.8448,92217.53,102463.92
11,0.7022,0.8133,102463.92,112710.32
12,0.7043,0.7827,112710.32,122956.71
13,0.7261,0.7343,122956.71,133203.10
14,0.7313,0.7211,133203.10,143449.49
15,0.7478,0.6782,143449.49,153695.89
16,0.7546,0.6567,153695.89,163942.28
17,0.7615,0.6315,163942.28,174188.67
18,0.7699,0.6015,174188.67,184435.06
19,0.7687,0.5950,184435.06,194681.45
20,0.7694,0.5920,194681.45,204927.85
21,0.7753,0.5732,204927.85,215174.24
22,0.7869,0.5460,215174.24,225420.63
23,0.7862,0.5434,225420.63,235667.02
24,0.7925,0.5227,235667.02,245913.42
25,0.7879,0.5263,245913.42,256159.81
26,0.7926,0.5106,256159.81,266406.20
27,0.7912,0.5118,266406.20,276652.59
28,0.8001,0.4851,276652.59,286898.99
29,0.7989,0.4873,286898.99,297145.38
30,0.8019,0.4776,297145.38,307391.77
31,0.8011,0.4797,307391.77,317638.16
32,0.8039,0.4695,317638.16,327884.56
33,0.8044,0.4679,327884.56,338130.95
34,0.8042,0.4700,338130.95,348377.34
35,0.8032,0.4679,348377.34,358623.73
36,0.8065,0.4662,358623.73,368870.13
37,0.8097,0.4448,368870.13,379116.52
38,0.8066,0.4539,379116.52,389362.91
39,0.8057,0.4489,389362.91,399609.30
40,0.8111,0.4379,399609.30,409855.69
41,0.8157,0.4263,409855.69,420102.09
42,0.8106,0.4377,420102.09,430348.48
43,0.8161,0.4215,430348.48,440594.87
44,0.8144,0.4235,440594.87,450841.26
45,0.8138,0.4270,450841.26,461087.66
46,0.8150,0.4168,461087.66,471334.05
47,0.8177,0.4093,471334.05,481580.44
48,0.8174,0.4064,481580.44,491826.83
49,0.8191,0.4067,491826.83,502073.23
50,0.8159,0.4135,502073.23,512319.62
51,0.8161,0.4135,512319.62,522566.01
52,0.8135,0.4083,522566.01,532812.40
53,0.8175,0.3987,532812.40,543058.80
54,0.8224,0.3817,543058.80,553305.19
55,0.8195,0.3925,553305.19,563551.58
56,0.8177,0.3943,563551.58,573797.97
57,0.8158,0.4009,573797.97,584044.36
58,0.8225,0.3806,584044.36,594290.76
59,0.8247,0.3736,594290.76,604537.15
60,0.8244,0.3758,604537.15,614783.54
61,0.8237,0.3763,614783.54,625029.93
62,0.8233,0.3749,625029.93,635276.33
63,0.8275,0.3622,635276.33,645522.72
64,0.8221,0.3700,645522.72,655769.11
65,0.8265,0.3635,655769.11,666015.50
66,0.8243,0.3666,666015.50,676261.90
67,0.8233,0.3658,676261.90,686508.29
68,0.8258,0.3626,686508.29,696754.68
69,0.8282,0.3540,696754.68,707001.07
70,0.8307,0.3535,707001.07,717247.47
71,0.8251,0.3530,717247.47,727493.86
72,0.8279,0.3557,727493.86,737740.25
73,0.8275,0.3528,737740.25,747986.64
74,0.8285,0.3470,747986.64,758233.03
75,0.8265,0.3508,758233.03,768479.43
76,0.8298,0.3412,768479.43,778725.82
77,0.8269,0.3468,778725.82,788972.21
78,0.8287,0.3355,788972.21,799218.60
79,0.8311,0.3363,799218.60,809465.00
80,0.8305,0.3370,809465.00,819711.39
81,0.8309,0.3422,819711.39,829957.78
82,0.8295,0.3416,829957.78,840204.17
83,0.8320,0.3284,840204.17,850450.57
84,0.8311,0.3336,850450.57,860696.96
85,0.8334,0.3196,860696.96,870943.35
86,0.8311,0.3243,870943.35,881189.74
87,0.8286,0.3331,881189.74,891436.14
88,0.8301,0.3275,891436.14,901682.53
89,0.8288,0.3285,901682.53,911928.92
90,0.8343,0.3174,911928.92,922175.31
91,0.8333,0.3245,922175.31,932421.71
92,0.8366,0.3042,932421.71,942668.10
93,0.8372,0.3049,942668.10,952914.49
94,0.8346,0.3131,952914.49,963160.88
95,0.8330,0.3105,963160.88,973407.27
96,0.8375,0.3080,973407.27,983653.67
97,0.8377,0.3063,983653.67,993900.06
98,0.8335,0.3132,993900.06,1004146.45
99,0.8351,0.3039,1004146.45,1014392.84
100,0.8356,0.3053,1014392.84,1024639.24
101,0.8395,0.2904,1024639.24,1034885.63
