round,test_acc,common_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0961,0.1020,2.4307,0.00,10246.39,10246.39
2,0.2464,0.2380,2.0927,10246.39,20492.78,30739.18
3,0.3905,0.3840,1.8083,20492.78,30739.18,51231.96
4,0.4710,0.4815,1.6074,30739.18,40985.57,71724.75
5,0.5223,0.5215,1.4656,40985.57,51231.96,92217.53
6,0.5561,0.5640,1.3659,51231.96,61478.35,112710.32
7,0.5837,0.5830,1.2878,61478.35,71724.75,133203.10
8,0.5978,0.5980,1.2305,71724.75,81971.14,153695.89
9,0.6128,0.6150,1.1779,81971.14,92217.53,174188.67
10,0.6231,0.6265,1.1439,92217.53,102463.92,194681.45
11,0.6338,0.6390,1.1065,102463.92,112710.32,215174.24
12,0.6443,0.6470,1.0744,112710.32,122956.71,235667.02
13,0.6526,0.6555,1.0438,122956.71,133203.10,256159.81
14,0.6593,0.6615,1.0171,133203.10,143449.49,276652.59
15,0.6655,0.6695,0.9940,143449.49,153695.89,297145.38
16,0.6705,0.6715,0.9779,153695.89,163942.28,317638.16
17,0.6749,0.6740,0.9596,163942.28,174188.67,338130.95
18,0.6815,0.6845,0.9421,174188.67,184435.06,358623.73
19,0.6864,0.6850,0.9255,184435.06,194681.45,379116.52
20,0.6890,0.6890,0.9082,194681.45,204927.85,399609.30
21,0.6905,0.6885,0.9023,204927.85,215174.24,420102.09
22,0.6927,0.6895,0.8855,215174.24,225420.63,440594.87
23,0.6983,0.6950,0.8732,225420.63,235667.02,461087.66
24,0.7019,0.7000,0.8601,235667.02,245913.42,481580.44
25,0.7037,0.7005,0.8547,245913.42,256159.81,502073.23
26,0.7041,0.7015,0.8427,256159.81,266406.20,522566.01
27,0.7051,0.7035,0.8373,266406.20,276652.59,543058.80
28,0.7085,0.7085,0.8269,276652.59,286898.99,563551.58
29,0.7118,0.7120,0.8153,286898.99,297145.38,584044.36
30,0.7158,0.7125,0.8056,297145.38,307391.77,604537.15
31,0.7157,0.7125,0.8018,307391.77,317638.16,625029.93
32,0.7214,0.7185,0.7917,317638.16,327884.56,645522.72
33,0.7190,0.7185,0.7869,327884.56,338130.95,666015.50
34,0.7217,0.7195,0.7799,338130.95,348377.34,686508.29
35,0.7209,0.7225,0.7769,348377.34,358623.73,707001.07
36,0.7243,0.7225,0.7684,358623.73,368870.13,727493.86
37,0.7257,0.7265,0.7612,368870.13,379116.52,747986.64
38,0.7285,0.7295,0.7560,379116.52,389362.91,768479.43
39,0.7304,0.7310,0.7481,389362.91,399609.30,788972.21
40,0.7293,0.7295,0.7459,399609.30,409855.69,809465.00
