round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.1782,0.1431,2.2108,78.63,78.63,157.27
3,0.2448,0.2108,2.1117,78.63,78.63,157.27
4,0.2653,0.2387,2.0516,78.63,78.63,157.27
5,0.2759,0.2557,2.0038,78.63,78.63,157.27
6,0.2858,0.2699,1.9597,78.63,78.63,157.27
7,0.2913,0.2819,1.9241,78.63,78.63,157.27
8,0.2987,0.2906,1.8905,78.63,78.63,157.27
9,0.3058,0.2995,1.8600,78.63,78.63,157.27
10,0.3108,0.3065,1.8414,78.63,78.63,157.27
11,0.3196,0.3140,1.8236,78.63,78.63,157.27
12,0.3252,0.3202,1.8119,78.63,78.63,157.27
13,0.3269,0.3249,1.8009,78.63,78.63,157.27
14,0.3347,0.3284,1.7979,78.63,78.63,157.27
15,0.3402,0.3368,1.7855,78.63,78.63,157.27
16,0.3512,0.3435,1.7722,78.63,78.63,157.27
17,0.3557,0.3506,1.7703,78.63,78.63,157.27
18,0.3581,0.3540,1.7653,78.63,78.63,157.27
19,0.3606,0.3610,1.7628,78.63,78.63,157.27
20,0.3660,0.3655,1.7489,78.63,78.63,157.27
21,0.3729,0.3729,1.7418,78.63,78.63,157.27
22,0.3724,0.3766,1.7412,78.63,78.63,157.27
23,0.3837,0.3868,1.7257,78.63,78.63,157.27
24,0.3911,0.3927,1.7124,78.63,78.63,157.27
25,0.3986,0.3975,1.7013,78.63,78.63,157.27
26,0.3976,0.4023,1.6934,78.63,78.63,157.27
27,0.4111,0.4116,1.6910,78.63,78.63,157.27
28,0.4161,0.4171,1.6709,78.63,78.63,157.27
29,0.4196,0.4217,1.6576,78.63,78.63,157.27
30,0.4212,0.4215,1.6652,78.63,78.63,157.27
31,0.4314,0.4298,1.6421,78.63,78.63,157.27
32,0.4281,0.4319,1.6526,78.63,78.63,157.27
33,0.4282,0.4335,1.6513,78.63,78.63,157.27
34,0.4437,0.4403,1.6377,78.63,78.63,157.27
35,0.4526,0.4479,1.6144,78.63,78.63,157.27
36,0.4476,0.4471,1.6288,78.63,78.63,157.27
37,0.4542,0.4545,1.6106,78.63,78.63,157.27
38,0.4562,0.4560,1.6059,78.63,78.63,157.27
39,0.4608,0.4634,1.6160,78.63,78.63,157.27
40,0.4636,0.4658,1.5902,78.63,78.63,157.27
41,0.4696,0.4700,1.5870,78.63,78.63,157.27
42,0.4712,0.4730,1.5929,78.63,78.63,157.27
43,0.4654,0.4721,1.5943,78.63,78.63,157.27
44,0.4723,0.4751,1.5890,78.63,78.63,157.27
45,0.4765,0.4783,1.5833,78.63,78.63,157.27
46,0.4829,0.4826,1.5647,78.63,78.63,157.27
47,0.4785,0.4786,1.5970,78.63,78.63,157.27
48,0.4888,0.4877,1.5768,78.63,78.63,157.27
49,0.4834,0.4822,1.5893,78.63,78.63,157.27
50,0.4912,0.4957,1.5556,78.63,78.63,157.27
51,0.4818,0.4872,1.5834,78.63,78.63,157.27
52,0.5010,0.4987,1.5500,78.63,78.63,157.27
53,0.4869,0.4886,1.5953,78.63,78.63,157.27
54,0.4891,0.4916,1.5763,78.63,78.63,157.27
55,0.4912,0.4954,1.5579,78.63,78.63,157.27
56,0.4985,0.4971,1.5856,78.63,78.63,157.27
57,0.4956,0.4987,1.5716,78.63,78.63,157.27
58,0.5027,0.5030,1.5656,78.63,78.63,157.27
59,0.5040,0.5040,1.5783,78.63,78.63,157.27
60,0.5074,0.5039,1.5499,78.63,78.63,157.27
61,0.5036,0.5023,1.5723,78.63,78.63,157.27
62,0.5141,0.5117,1.5731,78.63,78.63,157.27
63,0.5108,0.5151,1.5508,78.63,78.63,157.27
64,0.5254,0.5189,1.5468,78.63,78.63,157.27
65,0.5010,0.5038,1.5715,78.63,78.63,157.27
66,0.5100,0.5127,1.5517,78.63,78.63,157.27
67,0.5234,0.5192,1.5443,78.63,78.63,157.27
68,0.5167,0.5190,1.5363,78.63,78.63,157.27
69,0.5162,0.5159,1.5568,78.63,78.63,157.27
70,0.5281,0.5259,1.5365,78.63,78.63,157.27
71,0.5200,0.5216,1.5495,78.63,78.63,157.27
72,0.5286,0.5294,1.5416,78.63,78.63,157.27
73,0.5211,0.5206,1.5654,78.63,78.63,157.27
