round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,196.58,196.58
2,0.2391,0.1055,2.3137,196.58,196.58,393.17
3,0.3138,0.1233,2.2959,196.58,196.58,393.17
4,0.3184,0.1541,2.2490,196.58,196.58,393.17
5,0.3219,0.1701,2.2223,196.58,196.58,393.17
6,0.3226,0.1805,2.2078,196.58,196.58,393.17
7,0.3226,0.1883,2.1984,196.58,196.58,393.17
8,0.3161,0.1931,2.1902,196.58,196.58,393.17
9,0.3084,0.1970,2.1831,196.58,196.58,393.17
10,0.3024,0.1998,2.1765,196.58,196.58,393.17
11,0.2969,0.2036,2.1701,196.58,196.58,393.17
12,0.2954,0.2069,2.1642,196.58,196.58,393.17
13,0.2928,0.2098,2.1586,196.58,196.58,393.17
14,0.2911,0.2127,2.1525,196.58,196.58,393.17
15,0.2897,0.2163,2.1467,196.58,196.58,393.17
16,0.2880,0.2197,2.1413,196.58,196.58,393.17
17,0.2904,0.2230,2.1352,196.58,196.58,393.17
18,0.2879,0.2255,2.1292,196.58,196.58,393.17
19,0.2890,0.2299,2.1233,196.58,196.58,393.17
20,0.2898,0.2321,2.1181,196.58,196.58,393.17
21,0.2923,0.2350,2.1119,196.58,196.58,393.17
22,0.2955,0.2400,2.1063,196.58,196.58,393.17
23,0.3011,0.2432,2.1013,196.58,196.58,393.17
24,0.3024,0.2464,2.0959,196.58,196.58,393.17
25,0.3040,0.2494,2.0903,196.58,196.58,393.17
26,0.3051,0.2524,2.0850,196.58,196.58,393.17
27,0.3080,0.2566,2.0797,196.58,196.58,393.17
28,0.3127,0.2579,2.0742,196.58,196.58,393.17
29,0.3135,0.2603,2.0688,196.58,196.58,393.17
30,0.3193,0.2648,2.0639,196.58,196.58,393.17
31,0.3211,0.2664,2.0592,196.58,196.58,393.17
32,0.3250,0.2688,2.0541,196.58,196.58,393.17
33,0.3234,0.2709,2.0490,196.58,196.58,393.17
34,0.3222,0.2725,2.0429,196.58,196.58,393.17
35,0.3256,0.2718,2.0394,196.58,196.58,393.17
36,0.3280,0.2744,2.0340,196.58,196.58,393.17
37,0.3272,0.2757,2.0291,196.58,196.58,393.17
38,0.3300,0.2757,2.0253,196.58,196.58,393.17
39,0.3301,0.2769,2.0198,196.58,196.58,393.17
40,0.3324,0.2775,2.0157,196.58,196.58,393.17
41,0.3358,0.2786,2.0120,196.58,196.58,393.17
42,0.3315,0.2800,2.0064,196.58,196.58,393.17
43,0.3363,0.2800,2.0034,196.58,196.58,393.17
44,0.3364,0.2813,1.9993,196.58,196.58,393.17
45,0.3358,0.2839,1.9967,196.58,196.58,393.17
46,0.3362,0.2830,1.9931,196.58,196.58,393.17
47,0.3407,0.2841,1.9885,196.58,196.58,393.17
48,0.3381,0.2852,1.9848,196.58,196.58,393.17
49,0.3369,0.2843,1.9827,196.58,196.58,393.17
50,0.3451,0.2861,1.9812,196.58,196.58,393.17
51,0.3441,0.2863,1.9765,196.58,196.58,393.17
52,0.3420,0.2881,1.9733,196.58,196.58,393.17
53,0.3442,0.2886,1.9715,196.58,196.58,393.17
54,0.3421,0.2888,1.9678,196.58,196.58,393.17
55,0.3474,0.2906,1.9652,196.58,196.58,393.17
56,0.3484,0.2900,1.9633,196.58,196.58,393.17
57,0.3439,0.2903,1.9594,196.58,196.58,393.17
58,0.3533,0.2917,1.9574,196.58,196.58,393.17
59,0.3487,0.2935,1.9534,196.58,196.58,393.17
60,0.3547,0.2936,1.9516,196.58,196.58,393.17
61,0.3575,0.2937,1.9496,196.58,196.58,393.17
62,0.3544,0.2926,1.9463,196.58,196.58,393.17
63,0.3508,0.2970,1.9422,196.58,196.58,393.17
64,0.3497,0.2963,1.9389,196.58,196.58,393.17
65,0.3539,0.2977,1.9355,196.58,196.58,393.17
66,0.3517,0.2985,1.9321,196.58,196.58,393.17
67,0.3560,0.3003,1.9300,196.58,196.58,393.17
68,0.3587,0.2985,1.9297,196.58,196.58,393.17
69,0.3562,0.2997,1.9252,196.58,196.58,393.17
70,0.3648,0.2989,1.9284,196.58,196.58,393.17
71,0.3663,0.2974,1.9281,196.58,196.58,393.17
72,0.3627,0.3015,1.9226,196.58,196.58,393.17
73,0.3614,0.3027,1.9156,196.58,196.58,393.17
74,0.3684,0.3033,1.9133,196.58,196.58,393.17
75,0.3673,0.3040,1.9116,196.58,196.58,393.17
76,0.3711,0.3038,1.9112,196.58,196.58,393.17
77,0.3704,0.3046,1.9082,196.58,196.58,393.17
78,0.3681,0.3074,1.9026,196.58,196.58,393.17
79,0.3710,0.3077,1.9014,196.58,196.58,393.17
80,0.3725,0.3055,1.9007,196.58,196.58,393.17
81,0.3661,0.3097,1.8932,196.58,196.58,393.17
82,0.3742,0.3093,1.8943,196.58,196.58,393.17
83,0.3717,0.3102,1.8909,196.58,196.58,393.17
