round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3037,0.00,0.00,0.00
2,0.0929,0.1115,2.1648,0.00,0.00,0.00
3,0.1365,0.1444,1.8835,0.00,0.00,0.00
4,0.1519,0.1605,1.7581,0.00,0.00,0.00
5,0.1693,0.1733,1.6970,0.00,0.00,0.00
6,0.1781,0.1841,1.6537,0.00,0.00,0.00
7,0.1939,0.1936,1.6184,0.00,0.00,0.00
8,0.2043,0.2015,1.5852,0.00,0.00,0.00
9,0.2094,0.2087,1.5556,0.00,0.00,0.00
10,0.2195,0.2164,1.5277,0.00,0.00,0.00
11,0.2242,0.2211,1.5016,0.00,0.00,0.00
12,0.2301,0.2237,1.4810,0.00,0.00,0.00
13,0.2306,0.2300,1.4545,0.00,0.00,0.00
14,0.2433,0.2386,1.4362,0.00,0.00,0.00
15,0.2471,0.2390,1.4199,0.00,0.00,0.00
16,0.2581,0.2482,1.3967,0.00,0.00,0.00
17,0.2434,0.2449,1.3889,0.00,0.00,0.00
18,0.2602,0.2564,1.3622,0.00,0.00,0.00
19,0.2728,0.2606,1.3415,0.00,0.00,0.00
20,0.2776,0.2663,1.3195,0.00,0.00,0.00
21,0.2786,0.2678,1.3088,0.00,0.00,0.00
22,0.2723,0.2658,1.3089,0.00,0.00,0.00
23,0.2737,0.2693,1.2897,0.00,0.00,0.00
24,0.2925,0.2757,1.2906,0.00,0.00,0.00
25,0.2910,0.2783,1.2545,0.00,0.00,0.00
26,0.3056,0.2851,1.2706,0.00,0.00,0.00
27,0.2934,0.2810,1.2349,0.00,0.00,0.00
28,0.3066,0.2887,1.2174,0.00,0.00,0.00
29,0.3000,0.2894,1.2215,0.00,0.00,0.00
30,0.2974,0.2892,1.2032,0.00,0.00,0.00
31,0.2874,0.2852,1.2222,0.00,0.00,0.00
32,0.3037,0.2895,1.2084,0.00,0.00,0.00
33,0.3166,0.2987,1.1772,0.00,0.00,0.00
34,0.2954,0.2871,1.1966,0.00,0.00,0.00
35,0.2974,0.2955,1.1675,0.00,0.00,0.00
36,0.3079,0.2967,1.1899,0.00,0.00,0.00
37,0.3083,0.2997,1.1594,0.00,0.00,0.00
38,0.3261,0.3042,1.1319,0.00,0.00,0.00
39,0.3173,0.3075,1.1226,0.00,0.00,0.00
40,0.3149,0.2981,1.1247,0.00,0.00,0.00
41,0.3244,0.3043,1.1088,0.00,0.00,0.00
42,0.3278,0.3137,1.1159,0.00,0.00,0.00
43,0.3288,0.3082,1.1269,0.00,0.00,0.00
44,0.3158,0.3041,1.1448,0.00,0.00,0.00
45,0.3334,0.3169,1.0813,0.00,0.00,0.00
46,0.3411,0.3202,1.1031,0.00,0.00,0.00
47,0.3242,0.3177,1.0567,0.00,0.00,0.00
48,0.3363,0.3171,1.0782,0.00,0.00,0.00
49,0.3240,0.3134,1.1092,0.00,0.00,0.00
50,0.3453,0.3172,1.0527,0.00,0.00,0.00
51,0.3559,0.3245,1.0530,0.00,0.00,0.00
52,0.3044,0.3130,1.0987,0.00,0.00,0.00
53,0.3395,0.3243,1.0058,0.00,0.00,0.00
54,0.3363,0.3197,1.0333,0.00,0.00,0.00
55,0.3392,0.3218,1.0938,0.00,0.00,0.00
56,0.2977,0.3137,1.0702,0.00,0.00,0.00
57,0.3440,0.3294,0.9857,0.00,0.00,0.00
58,0.3486,0.3359,0.9736,0.00,0.00,0.00
59,0.3500,0.3375,0.9906,0.00,0.00,0.00
60,0.3432,0.3313,0.9890,0.00,0.00,0.00
61,0.3319,0.3225,1.0053,0.00,0.00,0.00
62,0.3253,0.3274,1.0012,0.00,0.00,0.00
63,0.3661,0.3410,0.9390,0.00,0.00,0.00
64,0.3520,0.3343,0.9520,0.00,0.00,0.00
65,0.3284,0.3251,1.0304,0.00,0.00,0.00
66,0.3623,0.3411,0.9456,0.00,0.00,0.00
67,0.3413,0.3326,0.9647,0.00,0.00,0.00
68,0.3504,0.3341,0.9508,0.00,0.00,0.00
69,0.3411,0.3392,0.9143,0.00,0.00,0.00
70,0.3525,0.3294,0.9646,0.00,0.00,0.00
71,0.3580,0.3379,0.9404,0.00,0.00,0.00
72,0.3284,0.3210,1.0186,0.00,0.00,0.00
73,0.3582,0.3467,0.8999,0.00,0.00,0.00
74,0.3435,0.3307,0.9571,0.00,0.00,0.00
75,0.3814,0.3508,0.8739,0.00,0.00,0.00
76,0.3562,0.3321,0.9459,0.00,0.00,0.00
77,0.3526,0.3427,0.9196,0.00,0.00,0.00
78,0.3507,0.3420,0.8833,0.00,0.00,0.00
79,0.3504,0.3471,0.8547,0.00,0.00,0.00
80,0.3681,0.3410,0.8822,0.00,0.00,0.00
81,0.3172,0.3368,0.9349,0.00,0.00,0.00
82,0.3501,0.3274,0.9352,0.00,0.00,0.00
83,0.3320,0.3226,0.9060,0.00,0.00,0.00
