round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3037,0.00,0.00,0.00
2,0.6536,0.1308,1.0335,120.24,78.63,198.88
3,0.7575,0.1512,0.7636,118.70,78.63,197.33
4,0.7790,0.1556,0.6859,117.84,78.63,196.47
5,0.8003,0.1601,0.6233,117.25,78.63,195.88
6,0.8164,0.1630,0.5753,116.82,78.63,195.45
7,0.8262,0.1657,0.5389,116.47,78.63,195.10
8,0.8389,0.1674,0.5168,116.20,78.63,194.83
9,0.8400,0.1683,0.4999,115.97,78.63,194.60
10,0.8514,0.1695,0.4891,115.77,78.63,194.40
11,0.8555,0.1705,0.4802,115.62,78.63,194.25
12,0.8471,0.1693,0.4785,115.47,78.63,194.10
13,0.8537,0.1710,0.4671,115.35,78.63,193.98
14,0.8615,0.1714,0.4592,115.27,78.63,193.91
15,0.8642,0.1722,0.4530,115.19,78.63,193.83
16,0.8617,0.1720,0.4478,115.12,78.63,193.75
17,0.8472,0.1692,0.4579,115.04,78.63,193.67
18,0.8472,0.1694,0.4536,114.96,78.63,193.59
19,0.8505,0.1701,0.4491,114.88,78.63,193.52
20,0.8530,0.1705,0.4431,114.84,78.63,193.48
21,0.8569,0.1713,0.4319,114.84,78.63,193.48
22,0.8669,0.1734,0.4116,114.84,78.63,193.48
23,0.8632,0.1719,0.4208,114.84,78.63,193.48
24,0.8649,0.1721,0.4112,114.84,78.63,193.48
25,0.8749,0.1745,0.3905,114.84,78.63,193.48
26,0.8672,0.1731,0.3965,114.84,78.63,193.48
27,0.8524,0.1698,0.4143,114.84,78.63,193.48
28,0.8595,0.1718,0.4007,114.84,78.63,193.48
29,0.8601,0.1723,0.3955,114.84,78.63,193.48
30,0.8719,0.1739,0.3790,114.84,78.63,193.48
31,0.8541,0.1703,0.4157,114.84,78.63,193.48
32,0.8480,0.1691,0.4203,114.84,78.63,193.48
33,0.8626,0.1726,0.3927,114.84,78.63,193.48
34,0.8672,0.1735,0.3774,114.84,78.63,193.48
35,0.8646,0.1732,0.3788,114.84,78.63,193.48
36,0.8582,0.1714,0.4017,114.84,78.63,193.48
37,0.8777,0.1747,0.3528,114.84,78.63,193.48
38,0.8661,0.1721,0.3726,114.84,78.63,193.48
39,0.8652,0.1727,0.3676,114.84,78.63,193.48
40,0.8687,0.1731,0.3598,114.84,78.63,193.48
41,0.8711,0.1744,0.3487,114.84,78.63,193.48
42,0.8528,0.1700,0.3850,114.84,78.63,193.48
43,0.8631,0.1716,0.3672,114.84,78.63,193.48
44,0.8583,0.1712,0.3698,114.84,78.63,193.48
45,0.8585,0.1719,0.3632,114.84,78.63,193.48
46,0.8682,0.1735,0.3506,114.84,78.63,193.48
47,0.8766,0.1748,0.3332,114.84,78.63,193.48
48,0.8776,0.1759,0.3229,114.84,78.63,193.48
49,0.8816,0.1757,0.3227,114.84,78.63,193.48
50,0.8829,0.1764,0.3175,114.84,78.63,193.48
51,0.8822,0.1763,0.3184,114.84,78.63,193.48
52,0.8710,0.1739,0.3583,114.84,78.63,193.48
53,0.8809,0.1759,0.3150,114.84,78.63,193.48
54,0.8760,0.1751,0.3251,114.84,78.63,193.48
55,0.8856,0.1766,0.3116,114.84,78.63,193.48
56,0.8828,0.1761,0.3168,114.84,78.63,193.48
57,0.8799,0.1758,0.3175,114.84,78.63,193.48
58,0.8846,0.1761,0.3109,114.84,78.63,193.48
59,0.8731,0.1754,0.3229,114.84,78.63,193.48
60,0.8826,0.1760,0.3109,114.84,78.63,193.48
61,0.8635,0.1728,0.3406,114.84,78.63,193.48
62,0.8596,0.1723,0.3618,114.84,78.63,193.48
63,0.8705,0.1743,0.3169,114.84,78.63,193.48
64,0.8756,0.1756,0.3158,114.84,78.63,193.48
65,0.8903,0.1775,0.2989,114.84,78.63,193.48
66,0.8848,0.1769,0.3015,114.84,78.63,193.48
67,0.8767,0.1758,0.3363,114.84,78.63,193.48
68,0.8857,0.1771,0.3033,114.84,78.63,193.48
69,0.8808,0.1757,0.3137,114.84,78.63,193.48
70,0.8856,0.1764,0.3037,114.84,78.63,193.48
71,0.8933,0.1781,0.2927,114.84,78.63,193.48
72,0.8820,0.1759,0.3141,114.84,78.63,193.48
73,0.8808,0.1761,0.3113,114.84,78.63,193.48
74,0.8659,0.1730,0.3648,114.84,78.63,193.48
75,0.8889,0.1776,0.2963,114.84,78.63,193.48
76,0.8865,0.1771,0.2973,114.84,78.63,193.48
77,0.8848,0.1764,0.3033,114.84,78.63,193.48
78,0.8743,0.1748,0.3188,114.84,78.63,193.48
79,0.8877,0.1770,0.2983,114.84,78.63,193.48
80,0.8858,0.1769,0.3015,114.84,78.63,193.48
81,0.8851,0.1767,0.3038,114.84,78.63,193.48
82,0.8867,0.1773,0.2935,114.84,78.63,193.48
83,0.8917,0.1771,0.2939,114.84,78.63,193.48
84,0.8672,0.1732,0.3435,114.84,78.63,193.48
85,0.8906,0.1778,0.2943,114.84,78.63,193.48
86,0.8947,0.1787,0.2855,114.84,78.63,193.48
87,0.8709,0.1742,0.3242,114.84,78.63,193.48
88,0.8924,0.1779,0.2940,114.84,78.63,193.48
89,0.8795,0.1752,0.3156,114.84,78.63,193.48
90,0.8804,0.1757,0.3072,114.84,78.63,193.48
91,0.8693,0.1741,0.3375,114.84,78.63,193.48
92,0.8856,0.1767,0.2988,114.84,78.63,193.48
93,0.8844,0.1767,0.3038,114.84,78.63,193.48
94,0.8828,0.1763,0.3012,114.84,78.63,193.48
95,0.8714,0.1738,0.3293,114.84,78.63,193.48
96,0.8816,0.1757,0.3143,114.84,78.63,193.48
97,0.8846,0.1769,0.2967,114.84,78.63,193.48
98,0.8854,0.1763,0.3076,114.84,78.63,193.48
