round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0943,2.4299,0.00,10246.39
2,0.2304,2.1567,10246.39,20492.78
3,0.3609,1.8686,20492.78,30739.18
4,0.4508,1.5842,30739.18,40985.57
5,0.4929,1.3809,40985.57,51231.96
6,0.5478,1.2239,51231.96,61478.35
7,0.5937,1.0791,61478.35,71724.75
8,0.6211,1.0216,71724.75,81971.14
9,0.6685,0.9041,81971.14,92217.53
10,0.6909,0.8467,92217.53,102463.92
11,0.6961,0.8151,102463.92,112710.32
12,0.7171,0.7679,112710.32,122956.71
13,0.7335,0.7253,122956.71,133203.10
14,0.7456,0.6961,133203.10,143449.49
15,0.7546,0.6697,143449.49,153695.89
16,0.7623,0.6461,153695.89,163942.28
17,0.7664,0.6253,163942.28,174188.67
18,0.7806,0.5940,174188.67,184435.06
19,0.7785,0.5939,184435.06,194681.45
20,0.7735,0.5816,194681.45,204927.85
21,0.7827,0.5622,204927.85,215174.24
22,0.7846,0.5487,215174.24,225420.63
23,0.7839,0.5463,225420.63,235667.02
24,0.7889,0.5303,235667.02,245913.42
25,0.7937,0.5130,245913.42,256159.81
26,0.7944,0.5074,256159.81,266406.20
27,0.7955,0.5022,266406.20,276652.59
28,0.7977,0.4931,276652.59,286898.99
29,0.7996,0.4841,286898.99,297145.38
30,0.8019,0.4801,297145.38,307391.77
31,0.8030,0.4743,307391.77,317638.16
32,0.8041,0.4730,317638.16,327884.56
33,0.8002,0.4791,327884.56,338130.95
34,0.8050,0.4666,338130.95,348377.34
35,0.8042,0.4646,348377.34,358623.73
36,0.8053,0.4564,358623.73,368870.13
37,0.8041,0.4600,368870.13,379116.52
38,0.8099,0.4441,379116.52,389362.91
39,0.8093,0.4484,389362.91,399609.30
40,0.8017,0.4632,399609.30,409855.69
41,0.8045,0.4542,409855.69,420102.09
42,0.8143,0.4208,420102.09,430348.48
43,0.8114,0.4267,430348.48,440594.87
44,0.8165,0.4088,440594.87,450841.26
45,0.8174,0.4113,450841.26,461087.66
46,0.8140,0.4258,461087.66,471334.05
47,0.8169,0.4096,471334.05,481580.44
48,0.8161,0.4099,481580.44,491826.83
49,0.8208,0.3996,491826.83,502073.23
50,0.8173,0.4046,502073.23,512319.62
51,0.8192,0.3970,512319.62,522566.01
52,0.8229,0.3885,522566.01,532812.40
53,0.8207,0.3895,532812.40,543058.80
54,0.8173,0.3981,543058.80,553305.19
55,0.8212,0.3843,553305.19,563551.58
56,0.8210,0.3848,563551.58,573797.97
57,0.8259,0.3703,573797.97,584044.36
58,0.8223,0.3778,584044.36,594290.76
59,0.8212,0.3785,594290.76,604537.15
60,0.8237,0.3704,604537.15,614783.54
61,0.8242,0.3727,614783.54,625029.93
62,0.8233,0.3709,625029.93,635276.33
63,0.8227,0.3706,635276.33,645522.72
64,0.8268,0.3601,645522.72,655769.11
65,0.8284,0.3560,655769.11,666015.50
66,0.8284,0.3552,666015.50,676261.90
67,0.8283,0.3551,676261.90,686508.29
68,0.8270,0.3584,686508.29,696754.68
69,0.8298,0.3495,696754.68,707001.07
70,0.8235,0.3631,707001.07,717247.47
71,0.8273,0.3508,717247.47,727493.86
72,0.8267,0.3481,727493.86,737740.25
