round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,196.58,196.58
2,0.1140,0.1039,2.2672,196.58,196.58,393.17
3,0.1399,0.1141,2.2286,196.58,196.58,393.17
4,0.1861,0.1373,2.2251,196.58,196.58,393.17
5,0.1956,0.1565,2.2276,196.58,196.58,393.17
6,0.1981,0.1685,2.2318,196.58,196.58,393.17
7,0.2021,0.1788,2.2355,196.58,196.58,393.17
8,0.2058,0.1852,2.2357,196.58,196.58,393.17
9,0.2088,0.1941,2.2368,196.58,196.58,393.17
10,0.2094,0.2017,2.2352,196.58,196.58,393.17
11,0.2166,0.2111,2.2347,196.58,196.58,393.17
12,0.2165,0.2149,2.2323,196.58,196.58,393.17
13,0.2206,0.2203,2.2322,196.58,196.58,393.17
14,0.2290,0.2292,2.2267,196.58,196.58,393.17
15,0.2345,0.2361,2.2233,196.58,196.58,393.17
16,0.2397,0.2414,2.2228,196.58,196.58,393.17
17,0.2439,0.2458,2.2159,196.58,196.58,393.17
18,0.2480,0.2506,2.2130,196.58,196.58,393.17
19,0.2512,0.2532,2.2079,196.58,196.58,393.17
20,0.2527,0.2556,2.2052,196.58,196.58,393.17
21,0.2559,0.2563,2.1966,196.58,196.58,393.17
22,0.2551,0.2575,2.1967,196.58,196.58,393.17
23,0.2592,0.2623,2.1943,196.58,196.58,393.17
24,0.2648,0.2664,2.1886,196.58,196.58,393.17
25,0.2655,0.2677,2.1828,196.58,196.58,393.17
26,0.2704,0.2710,2.1768,196.58,196.58,393.17
27,0.2697,0.2712,2.1763,196.58,196.58,393.17
28,0.2746,0.2739,2.1738,196.58,196.58,393.17
29,0.2707,0.2744,2.1665,196.58,196.58,393.17
30,0.2786,0.2774,2.1657,196.58,196.58,393.17
31,0.2830,0.2791,2.1670,196.58,196.58,393.17
32,0.2787,0.2798,2.1653,196.58,196.58,393.17
33,0.2842,0.2823,2.1657,196.58,196.58,393.17
34,0.2847,0.2831,2.1629,196.58,196.58,393.17
35,0.2843,0.2840,2.1645,196.58,196.58,393.17
36,0.2861,0.2871,2.1581,196.58,196.58,393.17
