round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.3515,0.1106,2.3117,78.63,157.27,235.90
3,0.3471,0.1302,2.2646,157.27,235.90,393.17
4,0.3483,0.1572,2.2200,235.90,314.53,550.44
5,0.3453,0.1736,2.2033,314.53,393.17,707.70
6,0.3429,0.1841,2.1928,393.17,471.80,864.97
7,0.3348,0.1902,2.1862,471.80,550.44,1022.24
8,0.3288,0.1976,2.1785,550.44,629.07,1179.50
9,0.3107,0.2006,2.1722,629.07,707.70,1336.77
10,0.3065,0.2053,2.1660,707.70,786.34,1494.04
11,0.2981,0.2086,2.1601,786.34,864.97,1651.31
12,0.2968,0.2136,2.1537,864.97,943.60,1808.57
13,0.2961,0.2163,2.1480,943.60,1022.24,1965.84
14,0.2891,0.2201,2.1404,1022.24,1100.87,2123.11
15,0.2908,0.2254,2.1340,1100.87,1179.50,2280.37
16,0.2916,0.2282,2.1273,1179.50,1258.14,2437.64
17,0.2932,0.2330,2.1207,1258.14,1336.77,2594.91
18,0.2943,0.2362,2.1141,1336.77,1415.40,2752.18
19,0.2954,0.2387,2.1074,1415.40,1494.04,2909.44
20,0.2982,0.2457,2.1019,1494.04,1572.67,3066.71
21,0.3057,0.2501,2.0963,1572.67,1651.31,3223.98
22,0.3081,0.2542,2.0887,1651.31,1729.94,3381.24
23,0.3114,0.2562,2.0825,1729.94,1808.57,3538.51
24,0.3082,0.2591,2.0749,1808.57,1887.21,3695.78
25,0.3127,0.2616,2.0690,1887.21,1965.84,3853.05
26,0.3198,0.2659,2.0640,1965.84,2044.47,4010.31
27,0.3266,0.2677,2.0600,2044.47,2123.11,4167.58
28,0.3156,0.2667,2.0500,2123.11,2201.74,4324.85
29,0.3247,0.2698,2.0452,2201.74,2280.37,4482.11
30,0.3228,0.2704,2.0402,2280.37,2359.01,4639.38
31,0.3273,0.2713,2.0346,2359.01,2437.64,4796.65
32,0.3270,0.2748,2.0313,2437.64,2516.27,4953.92
