round,test_acc,common_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0942,0.1035,2.4299,0.00,0.00,0.00
2,0.8937,0.1692,0.2993,0.00,0.00,0.00
3,0.9088,0.1874,0.2256,0.00,0.00,0.00
4,0.9148,0.1959,0.1934,0.00,0.00,0.00
5,0.9198,0.1972,0.1677,0.00,0.00,0.00
6,0.9285,0.2097,0.1277,0.00,0.00,0.00
7,0.9288,0.2154,0.1077,0.00,0.00,0.00
8,0.9309,0.2144,0.0971,0.00,0.00,0.00
9,0.9298,0.2201,0.0814,0.00,0.00,0.00
10,0.9336,0.2236,0.0672,0.00,0.00,0.00
11,0.9362,0.2240,0.0584,0.00,0.00,0.00
12,0.9340,0.2259,0.0493,0.00,0.00,0.00
13,0.9351,0.2277,0.0389,0.00,0.00,0.00
14,0.9357,0.2315,0.0336,0.00,0.00,0.00
15,0.9363,0.2315,0.0282,0.00,0.00,0.00
16,0.9402,0.2316,0.0228,0.00,0.00,0.00
17,0.9372,0.2354,0.0177,0.00,0.00,0.00
18,0.9386,0.2346,0.0168,0.00,0.00,0.00
19,0.9391,0.2381,0.0124,0.00,0.00,0.00
20,0.9394,0.2373,0.0098,0.00,0.00,0.00
21,0.9391,0.2357,0.0105,0.00,0.00,0.00
22,0.9349,0.2390,0.0186,0.00,0.00,0.00
23,0.9406,0.2392,0.0060,0.00,0.00,0.00
24,0.9390,0.2418,0.0059,0.00,0.00,0.00
25,0.9398,0.2421,0.0058,0.00,0.00,0.00
26,0.9412,0.2426,0.0052,0.00,0.00,0.00
27,0.9417,0.2428,0.0030,0.00,0.00,0.00
28,0.9394,0.2418,0.0046,0.00,0.00,0.00
29,0.9404,0.2436,0.0023,0.00,0.00,0.00
30,0.9412,0.2432,0.0020,0.00,0.00,0.00
31,0.9405,0.2441,0.0018,0.00,0.00,0.00
32,0.9404,0.2450,0.0016,0.00,0.00,0.00
33,0.9415,0.2456,0.0014,0.00,0.00,0.00
34,0.9412,0.2436,0.0013,0.00,0.00,0.00
35,0.9411,0.2453,0.0011,0.00,0.00,0.00
36,0.9412,0.2431,0.0015,0.00,0.00,0.00
37,0.9416,0.2455,0.0014,0.00,0.00,0.00
38,0.9418,0.2451,0.0008,0.00,0.00,0.00
39,0.9415,0.2448,0.0007,0.00,0.00,0.00
40,0.9412,0.2456,0.0007,0.00,0.00,0.00
41,0.9418,0.2467,0.0006,0.00,0.00,0.00
42,0.9413,0.2474,0.0006,0.00,0.00,0.00
43,0.9419,0.2469,0.0006,0.00,0.00,0.00
44,0.9414,0.2474,0.0005,0.00,0.00,0.00
45,0.9419,0.2457,0.0005,0.00,0.00,0.00
46,0.9415,0.2469,0.0004,0.00,0.00,0.00
47,0.9404,0.2469,0.0004,0.00,0.00,0.00
48,0.9414,0.2468,0.0004,0.00,0.00,0.00
49,0.9417,0.2482,0.0003,0.00,0.00,0.00
50,0.9420,0.2456,0.0003,0.00,0.00,0.00
51,0.9416,0.2472,0.0003,0.00,0.00,0.00
52,0.9418,0.2469,0.0009,0.00,0.00,0.00
53,0.9406,0.2460,0.0016,0.00,0.00,0.00
54,0.9416,0.2469,0.0003,0.00,0.00,0.00
55,0.9410,0.2468,0.0003,0.00,0.00,0.00
56,0.9416,0.2482,0.0002,0.00,0.00,0.00
57,0.9424,0.2480,0.0002,0.00,0.00,0.00
58,0.9419,0.2479,0.0002,0.00,0.00,0.00
59,0.9421,0.2489,0.0002,0.00,0.00,0.00
60,0.9426,0.2482,0.0002,0.00,0.00,0.00
61,0.9422,0.2483,0.0002,0.00,0.00,0.00
62,0.9426,0.2477,0.0002,0.00,0.00,0.00
63,0.9414,0.2481,0.0002,0.00,0.00,0.00
64,0.9391,0.2475,0.0057,0.00,0.00,0.00
65,0.9420,0.2482,0.0001,0.00,0.00,0.00
66,0.9422,0.2467,0.0002,0.00,0.00,0.00
67,0.9426,0.2474,0.0001,0.00,0.00,0.00
68,0.9429,0.2478,0.0001,0.00,0.00,0.00
69,0.9419,0.2478,0.0001,0.00,0.00,0.00
70,0.9421,0.2471,0.0001,0.00,0.00,0.00
71,0.9420,0.2483,0.0001,0.00,0.00,0.00
72,0.9421,0.2474,0.0001,0.00,0.00,0.00
73,0.9423,0.2483,0.0001,0.00,0.00,0.00
74,0.9420,0.2486,0.0001,0.00,0.00,0.00
75,0.9426,0.2479,0.0001,0.00,0.00,0.00
76,0.9406,0.2491,0.0001,0.00,0.00,0.00
77,0.9418,0.2482,0.0001,0.00,0.00,0.00
78,0.9420,0.2484,0.0001,0.00,0.00,0.00
79,0.9416,0.2473,0.0002,0.00,0.00,0.00
80,0.9418,0.2494,0.0001,0.00,0.00,0.00
81,0.9420,0.2479,0.0001,0.00,0.00,0.00
82,0.9424,0.2488,0.0001,0.00,0.00,0.00
83,0.9416,0.2479,0.0001,0.00,0.00,0.00
84,0.9424,0.2489,0.0001,0.00,0.00,0.00
85,0.9426,0.2490,0.0001,0.00,0.00,0.00
