round,test_acc,common_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0961,0.1020,2.4307,0.00,0.00,0.00
2,0.8861,0.1778,0.2640,0.00,0.00,0.00
3,0.9145,0.1827,0.1749,0.00,0.00,0.00
4,0.9182,0.1840,0.1465,0.00,0.00,0.00
5,0.9252,0.1851,0.1180,0.00,0.00,0.00
6,0.9283,0.1869,0.0902,0.00,0.00,0.00
7,0.9335,0.1869,0.0739,0.00,0.00,0.00
8,0.9364,0.1878,0.0550,0.00,0.00,0.00
9,0.9369,0.1883,0.0420,0.00,0.00,0.00
10,0.9354,0.1880,0.0465,0.00,0.00,0.00
11,0.9421,0.1888,0.0256,0.00,0.00,0.00
12,0.9409,0.1879,0.0276,0.00,0.00,0.00
13,0.9419,0.1886,0.0147,0.00,0.00,0.00
14,0.9425,0.1891,0.0105,0.00,0.00,0.00
15,0.9414,0.1887,0.0120,0.00,0.00,0.00
16,0.9429,0.1887,0.0087,0.00,0.00,0.00
17,0.9441,0.1891,0.0070,0.00,0.00,0.00
18,0.9438,0.1884,0.0088,0.00,0.00,0.00
19,0.9458,0.1893,0.0034,0.00,0.00,0.00
20,0.9466,0.1892,0.0027,0.00,0.00,0.00
21,0.9457,0.1893,0.0023,0.00,0.00,0.00
22,0.9457,0.1891,0.0021,0.00,0.00,0.00
23,0.9459,0.1893,0.0014,0.00,0.00,0.00
24,0.9462,0.1895,0.0012,0.00,0.00,0.00
25,0.9468,0.1892,0.0009,0.00,0.00,0.00
26,0.9469,0.1897,0.0011,0.00,0.00,0.00
27,0.9469,0.1895,0.0008,0.00,0.00,0.00
28,0.9464,0.1895,0.0006,0.00,0.00,0.00
29,0.9467,0.1895,0.0006,0.00,0.00,0.00
30,0.9473,0.1894,0.0005,0.00,0.00,0.00
31,0.9467,0.1896,0.0005,0.00,0.00,0.00
32,0.9470,0.1894,0.0004,0.00,0.00,0.00
33,0.9476,0.1895,0.0003,0.00,0.00,0.00
34,0.9471,0.1897,0.0003,0.00,0.00,0.00
35,0.9465,0.1894,0.0003,0.00,0.00,0.00
36,0.9465,0.1894,0.0002,0.00,0.00,0.00
37,0.9464,0.1897,0.0003,0.00,0.00,0.00
38,0.9466,0.1893,0.0002,0.00,0.00,0.00
39,0.9470,0.1893,0.0002,0.00,0.00,0.00
40,0.9471,0.1894,0.0002,0.00,0.00,0.00
41,0.9472,0.1895,0.0002,0.00,0.00,0.00
42,0.9475,0.1894,0.0002,0.00,0.00,0.00
43,0.9470,0.1894,0.0002,0.00,0.00,0.00
44,0.9468,0.1892,0.0002,0.00,0.00,0.00
45,0.9466,0.1895,0.0001,0.00,0.00,0.00
46,0.9468,0.1894,0.0001,0.00,0.00,0.00
47,0.9464,0.1896,0.0001,0.00,0.00,0.00
48,0.9470,0.1896,0.0001,0.00,0.00,0.00
49,0.9469,0.1896,0.0001,0.00,0.00,0.00
50,0.9471,0.1894,0.0001,0.00,0.00,0.00
51,0.9469,0.1895,0.0001,0.00,0.00,0.00
52,0.9467,0.1894,0.0001,0.00,0.00,0.00
53,0.9469,0.1893,0.0001,0.00,0.00,0.00
54,0.9469,0.1893,0.0001,0.00,0.00,0.00
55,0.9467,0.1894,0.0001,0.00,0.00,0.00
56,0.9475,0.1894,0.0001,0.00,0.00,0.00
57,0.9476,0.1896,0.0001,0.00,0.00,0.00
58,0.9465,0.1895,0.0001,0.00,0.00,0.00
59,0.9473,0.1896,0.0001,0.00,0.00,0.00
60,0.9475,0.1895,0.0001,0.00,0.00,0.00
61,0.9475,0.1894,0.0001,0.00,0.00,0.00
62,0.9471,0.1895,0.0001,0.00,0.00,0.00
63,0.9472,0.1893,0.0001,0.00,0.00,0.00
64,0.9469,0.1894,0.0001,0.00,0.00,0.00
65,0.9467,0.1894,0.0001,0.00,0.00,0.00
66,0.9479,0.1896,0.0000,0.00,0.00,0.00
67,0.9468,0.1895,0.0001,0.00,0.00,0.00
68,0.9468,0.1896,0.0001,0.00,0.00,0.00
69,0.9469,0.1895,0.0000,0.00,0.00,0.00
70,0.9475,0.1894,0.0000,0.00,0.00,0.00
71,0.9467,0.1894,0.0001,0.00,0.00,0.00
72,0.9480,0.1893,0.0000,0.00,0.00,0.00
73,0.9475,0.1896,0.0000,0.00,0.00,0.00
74,0.9482,0.1896,0.0000,0.00,0.00,0.00
75,0.9481,0.1896,0.0000,0.00,0.00,0.00
76,0.9482,0.1895,0.0000,0.00,0.00,0.00
77,0.9475,0.1895,0.0000,0.00,0.00,0.00
78,0.9480,0.1894,0.0000,0.00,0.00,0.00
79,0.9475,0.1897,0.0000,0.00,0.00,0.00
80,0.9477,0.1895,0.0000,0.00,0.00,0.00
81,0.9485,0.1894,0.0000,0.00,0.00,0.00
82,0.9473,0.1895,0.0000,0.00,0.00,0.00
83,0.9489,0.1894,0.0000,0.00,0.00,0.00
84,0.9478,0.1897,0.0000,0.00,0.00,0.00
85,0.9476,0.1896,0.0000,0.00,0.00,0.00
86,0.9480,0.1896,0.0000,0.00,0.00,0.00
87,0.9476,0.1895,0.0000,0.00,0.00,0.00
88,0.9478,0.1895,0.0000,0.00,0.00,0.00
89,0.9476,0.1895,0.0000,0.00,0.00,0.00
90,0.9477,0.1896,0.0000,0.00,0.00,0.00
91,0.9477,0.1895,0.0000,0.00,0.00,0.00
92,0.9475,0.1895,0.0000,0.00,0.00,0.00
93,0.9474,0.1896,0.0000,0.00,0.00,0.00
94,0.9478,0.1895,0.0000,0.00,0.00,0.00
95,0.9475,0.1896,0.0000,0.00,0.00,0.00
96,0.9479,0.1895,0.0000,0.00,0.00,0.00
97,0.9477,0.1896,0.0000,0.00,0.00,0.00
98,0.9481,0.1895,0.0000,0.00,0.00,0.00
99,0.9481,0.1894,0.0000,0.00,0.00,0.00
100,0.9481,0.1895,0.0000,0.00,0.00,0.00
101,0.9483,0.1895,0.0000,0.00,0.00,0.00
