round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.1360,0.1037,2.2687,0.00,0.00,0.00
3,0.1578,0.1081,2.1798,0.00,0.00,0.00
4,0.1563,0.1154,2.0318,0.00,0.00,0.00
5,0.1665,0.1302,1.8712,0.00,0.00,0.00
6,0.1813,0.1437,1.7480,0.00,0.00,0.00
7,0.1920,0.1556,1.6692,0.00,0.00,0.00
8,0.1970,0.1642,1.6165,0.00,0.00,0.00
9,0.2027,0.1710,1.5792,0.00,0.00,0.00
10,0.2076,0.1769,1.5490,0.00,0.00,0.00
11,0.2086,0.1811,1.5241,0.00,0.00,0.00
12,0.2132,0.1853,1.5026,0.00,0.00,0.00
13,0.2165,0.1889,1.4820,0.00,0.00,0.00
14,0.2173,0.1921,1.4641,0.00,0.00,0.00
15,0.2221,0.1951,1.4466,0.00,0.00,0.00
16,0.2279,0.1983,1.4302,0.00,0.00,0.00
17,0.2307,0.2014,1.4142,0.00,0.00,0.00
18,0.2325,0.2042,1.4000,0.00,0.00,0.00
19,0.2348,0.2067,1.3842,0.00,0.00,0.00
20,0.2371,0.2101,1.3704,0.00,0.00,0.00
21,0.2396,0.2126,1.3554,0.00,0.00,0.00
22,0.2407,0.2138,1.3426,0.00,0.00,0.00
23,0.2439,0.2176,1.3294,0.00,0.00,0.00
24,0.2450,0.2198,1.3188,0.00,0.00,0.00
25,0.2485,0.2235,1.3037,0.00,0.00,0.00
26,0.2522,0.2257,1.2927,0.00,0.00,0.00
27,0.2545,0.2285,1.2788,0.00,0.00,0.00
28,0.2568,0.2308,1.2678,0.00,0.00,0.00
29,0.2574,0.2320,1.2594,0.00,0.00,0.00
30,0.2591,0.2349,1.2471,0.00,0.00,0.00
31,0.2652,0.2369,1.2414,0.00,0.00,0.00
32,0.2643,0.2393,1.2253,0.00,0.00,0.00
33,0.2659,0.2420,1.2139,0.00,0.00,0.00
34,0.2681,0.2436,1.2026,0.00,0.00,0.00
35,0.2699,0.2453,1.1958,0.00,0.00,0.00
36,0.2717,0.2485,1.1843,0.00,0.00,0.00
37,0.2724,0.2504,1.1808,0.00,0.00,0.00
38,0.2775,0.2514,1.1662,0.00,0.00,0.00
39,0.2737,0.2534,1.1597,0.00,0.00,0.00
40,0.2726,0.2545,1.1519,0.00,0.00,0.00
41,0.2758,0.2546,1.1388,0.00,0.00,0.00
42,0.2795,0.2570,1.1336,0.00,0.00,0.00
43,0.2821,0.2597,1.1213,0.00,0.00,0.00
44,0.2849,0.2603,1.1183,0.00,0.00,0.00
45,0.2827,0.2597,1.1174,0.00,0.00,0.00
46,0.2844,0.2616,1.1076,0.00,0.00,0.00
47,0.2891,0.2662,1.0933,0.00,0.00,0.00
48,0.2898,0.2663,1.0826,0.00,0.00,0.00
49,0.2921,0.2692,1.0835,0.00,0.00,0.00
50,0.2876,0.2666,1.0696,0.00,0.00,0.00
51,0.2927,0.2693,1.0705,0.00,0.00,0.00
52,0.2977,0.2738,1.0428,0.00,0.00,0.00
53,0.2920,0.2703,1.0545,0.00,0.00,0.00
54,0.2957,0.2722,1.0387,0.00,0.00,0.00
55,0.2963,0.2741,1.0330,0.00,0.00,0.00
56,0.2920,0.2718,1.0493,0.00,0.00,0.00
57,0.2946,0.2762,1.0218,0.00,0.00,0.00
58,0.3017,0.2788,1.0088,0.00,0.00,0.00
59,0.3011,0.2782,1.0009,0.00,0.00,0.00
60,0.2990,0.2799,1.0073,0.00,0.00,0.00
61,0.2951,0.2828,0.9988,0.00,0.00,0.00
62,0.2965,0.2828,0.9767,0.00,0.00,0.00
63,0.3057,0.2805,0.9919,0.00,0.00,0.00
64,0.3019,0.2817,0.9690,0.00,0.00,0.00
65,0.2945,0.2808,0.9915,0.00,0.00,0.00
66,0.2962,0.2815,0.9927,0.00,0.00,0.00
67,0.3066,0.2856,0.9648,0.00,0.00,0.00
68,0.2983,0.2837,0.9650,0.00,0.00,0.00
69,0.3092,0.2823,0.9670,0.00,0.00,0.00
70,0.3031,0.2852,0.9628,0.00,0.00,0.00
71,0.3116,0.2861,0.9474,0.00,0.00,0.00
72,0.3105,0.2916,0.9367,0.00,0.00,0.00
73,0.3070,0.2871,0.9313,0.00,0.00,0.00
74,0.3089,0.2898,0.9367,0.00,0.00,0.00
75,0.3115,0.2912,0.9417,0.00,0.00,0.00
76,0.3049,0.2891,0.9390,0.00,0.00,0.00
77,0.3068,0.2929,0.9083,0.00,0.00,0.00
78,0.3076,0.2882,0.9352,0.00,0.00,0.00
79,0.3145,0.2922,0.8943,0.00,0.00,0.00
80,0.3068,0.2904,0.9213,0.00,0.00,0.00
81,0.3173,0.2930,0.9151,0.00,0.00,0.00
82,0.3191,0.2964,0.8992,0.00,0.00,0.00
83,0.3172,0.2943,0.8532,0.00,0.00,0.00
84,0.3085,0.2925,0.9063,0.00,0.00,0.00
85,0.3193,0.2996,0.8678,0.00,0.00,0.00
86,0.3132,0.2974,0.8646,0.00,0.00,0.00
87,0.3186,0.2983,0.8703,0.00,0.00,0.00
88,0.3151,0.3013,0.8462,0.00,0.00,0.00
89,0.3179,0.2988,0.8595,0.00,0.00,0.00
90,0.3147,0.2984,0.8684,0.00,0.00,0.00
91,0.3052,0.2930,0.8829,0.00,0.00,0.00
92,0.3178,0.2989,0.8931,0.00,0.00,0.00
93,0.3170,0.2996,0.8377,0.00,0.00,0.00
94,0.3194,0.3019,0.8367,0.00,0.00,0.00
95,0.3252,0.3017,0.8502,0.00,0.00,0.00
96,0.3226,0.3003,0.8212,0.00,0.00,0.00
97,0.3212,0.3064,0.8040,0.00,0.00,0.00
98,0.3299,0.3001,0.8315,0.00,0.00,0.00
99,0.3169,0.2999,0.8352,0.00,0.00,0.00
100,0.3096,0.3033,0.8044,0.00,0.00,0.00
101,0.3190,0.3028,0.7944,0.00,0.00,0.00
