round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.5042,0.1007,1.9371,0.00,0.00,0.00
3,0.5601,0.1122,1.1094,0.00,0.00,0.00
4,0.7150,0.1426,0.6917,0.00,0.00,0.00
5,0.7505,0.1500,0.5836,0.00,0.00,0.00
6,0.7628,0.1523,0.5400,0.00,0.00,0.00
7,0.7714,0.1541,0.5102,0.00,0.00,0.00
8,0.7834,0.1565,0.4843,0.00,0.00,0.00
9,0.7935,0.1585,0.4602,0.00,0.00,0.00
10,0.8046,0.1604,0.4370,0.00,0.00,0.00
11,0.8092,0.1618,0.4153,0.00,0.00,0.00
12,0.8178,0.1632,0.3962,0.00,0.00,0.00
13,0.8189,0.1638,0.3793,0.00,0.00,0.00
14,0.8281,0.1650,0.3608,0.00,0.00,0.00
15,0.8316,0.1654,0.3485,0.00,0.00,0.00
16,0.8337,0.1661,0.3349,0.00,0.00,0.00
17,0.8337,0.1668,0.3207,0.00,0.00,0.00
18,0.8393,0.1670,0.3103,0.00,0.00,0.00
19,0.8371,0.1671,0.3035,0.00,0.00,0.00
20,0.8391,0.1672,0.2951,0.00,0.00,0.00
21,0.8389,0.1682,0.2769,0.00,0.00,0.00
22,0.8449,0.1682,0.2729,0.00,0.00,0.00
23,0.8421,0.1679,0.2679,0.00,0.00,0.00
24,0.8498,0.1697,0.2471,0.00,0.00,0.00
25,0.8429,0.1685,0.2514,0.00,0.00,0.00
26,0.8472,0.1693,0.2367,0.00,0.00,0.00
27,0.8467,0.1688,0.2357,0.00,0.00,0.00
28,0.8476,0.1688,0.2278,0.00,0.00,0.00
29,0.8499,0.1692,0.2196,0.00,0.00,0.00
30,0.8492,0.1689,0.2171,0.00,0.00,0.00
31,0.8457,0.1693,0.2108,0.00,0.00,0.00
32,0.8376,0.1671,0.2246,0.00,0.00,0.00
33,0.8474,0.1689,0.1947,0.00,0.00,0.00
34,0.8467,0.1689,0.2039,0.00,0.00,0.00
35,0.8436,0.1687,0.1911,0.00,0.00,0.00
36,0.8449,0.1695,0.1845,0.00,0.00,0.00
37,0.8461,0.1688,0.1854,0.00,0.00,0.00
38,0.8477,0.1694,0.1774,0.00,0.00,0.00
39,0.8476,0.1683,0.1853,0.00,0.00,0.00
40,0.8538,0.1701,0.1600,0.00,0.00,0.00
41,0.8543,0.1707,0.1462,0.00,0.00,0.00
42,0.8473,0.1699,0.1546,0.00,0.00,0.00
43,0.8533,0.1699,0.1443,0.00,0.00,0.00
44,0.8415,0.1679,0.1934,0.00,0.00,0.00
45,0.8446,0.1688,0.1545,0.00,0.00,0.00
46,0.8428,0.1680,0.1622,0.00,0.00,0.00
47,0.8502,0.1693,0.1486,0.00,0.00,0.00
48,0.8493,0.1692,0.1445,0.00,0.00,0.00
49,0.8390,0.1670,0.1751,0.00,0.00,0.00
50,0.8534,0.1702,0.1221,0.00,0.00,0.00
51,0.8633,0.1720,0.1044,0.00,0.00,0.00
52,0.8523,0.1705,0.1138,0.00,0.00,0.00
53,0.8527,0.1706,0.1111,0.00,0.00,0.00
54,0.8368,0.1677,0.1531,0.00,0.00,0.00
55,0.8533,0.1698,0.1102,0.00,0.00,0.00
56,0.8510,0.1711,0.1075,0.00,0.00,0.00
57,0.8537,0.1703,0.1083,0.00,0.00,0.00
58,0.8497,0.1692,0.1333,0.00,0.00,0.00
59,0.8536,0.1709,0.0936,0.00,0.00,0.00
60,0.8483,0.1694,0.1473,0.00,0.00,0.00
61,0.8570,0.1709,0.1092,0.00,0.00,0.00
62,0.8451,0.1689,0.1466,0.00,0.00,0.00
63,0.8536,0.1699,0.1236,0.00,0.00,0.00
64,0.8529,0.1703,0.1101,0.00,0.00,0.00
65,0.8601,0.1715,0.0943,0.00,0.00,0.00
66,0.8646,0.1716,0.0866,0.00,0.00,0.00
67,0.8554,0.1701,0.1062,0.00,0.00,0.00
68,0.8646,0.1723,0.0766,0.00,0.00,0.00
69,0.8485,0.1689,0.1393,0.00,0.00,0.00
70,0.8682,0.1733,0.0510,0.00,0.00,0.00
71,0.8722,0.1735,0.0613,0.00,0.00,0.00
72,0.8623,0.1716,0.1027,0.00,0.00,0.00
73,0.8653,0.1720,0.0757,0.00,0.00,0.00
74,0.8709,0.1728,0.0617,0.00,0.00,0.00
75,0.8728,0.1740,0.0392,0.00,0.00,0.00
76,0.8705,0.1735,0.0446,0.00,0.00,0.00
77,0.8723,0.1736,0.0487,0.00,0.00,0.00
78,0.8764,0.1747,0.0334,0.00,0.00,0.00
79,0.8671,0.1723,0.0761,0.00,0.00,0.00
80,0.8694,0.1731,0.0572,0.00,0.00,0.00
81,0.8803,0.1747,0.0256,0.00,0.00,0.00
82,0.8725,0.1737,0.0400,0.00,0.00,0.00
83,0.8668,0.1726,0.0890,0.00,0.00,0.00
84,0.8727,0.1746,0.0213,0.00,0.00,0.00
85,0.8771,0.1746,0.0238,0.00,0.00,0.00
86,0.8729,0.1740,0.0269,0.00,0.00,0.00
87,0.8676,0.1735,0.0462,0.00,0.00,0.00
88,0.8705,0.1738,0.0552,0.00,0.00,0.00
89,0.8631,0.1724,0.0916,0.00,0.00,0.00
90,0.8738,0.1743,0.0536,0.00,0.00,0.00
91,0.8762,0.1741,0.0741,0.00,0.00,0.00
92,0.8748,0.1744,0.0406,0.00,0.00,0.00
93,0.8822,0.1757,0.0125,0.00,0.00,0.00
94,0.8831,0.1760,0.0089,0.00,0.00,0.00
95,0.8787,0.1751,0.0148,0.00,0.00,0.00
96,0.8796,0.1753,0.0227,0.00,0.00,0.00
97,0.8835,0.1759,0.0097,0.00,0.00,0.00
98,0.8801,0.1757,0.0128,0.00,0.00,0.00
99,0.8812,0.1750,0.0171,0.00,0.00,0.00
100,0.8795,0.1751,0.0136,0.00,0.00,0.00
101,0.8800,0.1752,0.0299,0.00,0.00,0.00
