round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1112,0.1112,2.3024,0.1112,0.1112,2.3024,0.00,196.36,196.36
2,0.0537,0.1117,2.4593,0.6931,0.1063,2.1594,196.36,196.36,392.73
3,0.0969,0.1878,2.5046,0.8011,0.1157,1.5740,196.36,196.36,392.73
4,0.1255,0.2161,2.4832,0.8326,0.1215,1.1388,196.36,196.36,392.73
5,0.1466,0.2440,2.4493,0.8459,0.1245,0.9324,196.36,196.36,392.73
6,0.1552,0.2725,2.4141,0.8675,0.1317,0.8133,196.36,196.36,392.73
7,0.1656,0.2932,2.3837,0.8833,0.1391,0.7411,196.36,196.36,392.73
8,0.1765,0.3126,2.3547,0.8944,0.1442,0.6953,196.36,196.36,392.73
9,0.1867,0.3303,2.3310,0.9077,0.1513,0.6616,196.36,196.36,392.73
10,0.1948,0.3469,2.3099,0.9151,0.1553,0.6373,196.36,196.36,392.73
11,0.2045,0.3618,2.2933,0.9207,0.1602,0.6168,196.36,196.36,392.73
12,0.2140,0.3772,2.2771,0.9293,0.1676,0.5980,196.36,196.36,392.73
13,0.2219,0.3965,2.2675,0.9332,0.1704,0.5828,196.36,196.36,392.73
14,0.2275,0.4021,2.2532,0.9365,0.1742,0.5707,196.36,196.36,392.73
15,0.2266,0.4026,2.2439,0.9389,0.1770,0.5557,196.36,196.36,392.73
16,0.2386,0.4276,2.2378,0.9406,0.1794,0.5436,196.36,196.36,392.73
17,0.2485,0.4495,2.2265,0.9424,0.1821,0.5336,196.36,196.36,392.73
18,0.2553,0.4638,2.2207,0.9456,0.1853,0.5243,196.36,196.36,392.73
19,0.2616,0.4720,2.2136,0.9475,0.1879,0.5134,196.36,196.36,392.73
20,0.2681,0.4847,2.2063,0.9491,0.1893,0.5046,196.36,196.36,392.73
21,0.2715,0.4907,2.2059,0.9500,0.1913,0.4962,196.36,196.36,392.73
22,0.2779,0.5012,2.2012,0.9530,0.1942,0.4887,196.36,196.36,392.73
23,0.2805,0.5043,2.1948,0.9538,0.1966,0.4835,196.36,196.36,392.73
24,0.2856,0.5166,2.1995,0.9560,0.1990,0.4755,196.36,196.36,392.73
25,0.2893,0.5162,2.1886,0.9578,0.2016,0.4665,196.36,196.36,392.73
26,0.2918,0.5298,2.1934,0.9575,0.2021,0.4605,196.36,196.36,392.73
27,0.2962,0.5362,2.1966,0.9612,0.2082,0.4532,196.36,196.36,392.73
28,0.3044,0.5448,2.1919,0.9620,0.2113,0.4460,196.36,196.36,392.73
29,0.3020,0.5488,2.1979,0.9627,0.2121,0.4398,196.36,196.36,392.73
30,0.3063,0.5565,2.1905,0.9640,0.2147,0.4330,196.36,196.36,392.73
31,0.3049,0.5563,2.2011,0.9649,0.2169,0.4272,196.36,196.36,392.73
32,0.3103,0.5617,2.1955,0.9655,0.2192,0.4222,196.36,196.36,392.73
