round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1124,0.1124,2.3024,0.1124,0.1124,2.3024,0.00,78.55,78.55
2,0.1258,0.1361,2.4677,0.8423,0.1359,1.3393,78.55,78.55,157.09
3,0.1385,0.3135,2.3699,0.9078,0.1540,0.8796,78.55,78.55,157.09
4,0.1958,0.3969,2.2590,0.9327,0.1715,0.6650,78.55,78.55,157.09
5,0.2703,0.4431,2.1572,0.9621,0.1772,0.5328,78.55,78.55,157.09
6,0.3214,0.4709,2.0636,0.9719,0.1827,0.4802,78.55,78.55,157.09
7,0.3632,0.4921,1.9742,0.9776,0.1854,0.4530,78.55,78.55,157.09
8,0.3946,0.5132,1.8945,0.9750,0.1869,0.4403,78.55,78.55,157.09
9,0.4209,0.5304,1.8230,0.9842,0.1914,0.4140,78.55,78.55,157.09
10,0.4413,0.5419,1.7624,0.9862,0.1929,0.3977,78.55,78.55,157.09
11,0.4685,0.5600,1.7158,0.9835,0.1945,0.3950,78.55,78.55,157.09
12,0.4833,0.5694,1.6627,0.9894,0.1955,0.3686,78.55,78.55,157.09
13,0.4992,0.5763,1.6111,0.9905,0.1960,0.3556,78.55,78.55,157.09
14,0.5180,0.5899,1.5697,0.9910,0.1964,0.3447,78.55,78.55,157.09
15,0.5265,0.6011,1.5363,0.9901,0.1971,0.3372,78.55,78.55,157.09
16,0.5393,0.6094,1.4992,0.9897,0.1964,0.3306,78.55,78.55,157.09
17,0.5478,0.6181,1.4529,0.9918,0.1972,0.3152,78.55,78.55,157.09
18,0.5268,0.5907,1.4794,0.9928,0.1978,0.3052,78.55,78.55,157.09
19,0.5689,0.6352,1.4139,0.9339,0.1935,0.4737,78.55,78.55,157.09
20,0.5759,0.6373,1.3834,0.9921,0.1979,0.2939,78.55,78.55,157.09
21,0.5823,0.6412,1.3680,0.9910,0.1980,0.2879,78.55,78.55,157.09
22,0.5903,0.6492,1.3437,0.9913,0.1980,0.2799,78.55,78.55,157.09
23,0.5937,0.6473,1.3229,0.9930,0.1980,0.2677,78.55,78.55,157.09
24,0.6052,0.6556,1.3057,0.9936,0.1982,0.2627,78.55,78.55,157.09
25,0.6064,0.6669,1.2801,0.9865,0.1967,0.2729,78.55,78.55,157.09
26,0.6188,0.6704,1.2569,0.9942,0.1985,0.2484,78.55,78.55,157.09
27,0.6218,0.6723,1.2487,0.9939,0.1983,0.2450,78.55,78.55,157.09
28,0.6195,0.6709,1.2516,0.9946,0.1985,0.2387,78.55,78.55,157.09
29,0.6284,0.6791,1.2297,0.9893,0.1980,0.2484,78.55,78.55,157.09
30,0.6377,0.6851,1.1994,0.9710,0.1969,0.2877,78.55,78.55,157.09
31,0.6359,0.6830,1.1982,0.9953,0.1987,0.2237,78.55,78.55,157.09
32,0.6444,0.6886,1.1853,0.9949,0.1988,0.2198,78.55,78.55,157.09
33,0.6471,0.6880,1.1688,0.9762,0.1946,0.2843,78.55,78.55,157.09
34,0.6466,0.6913,1.1691,0.9951,0.1990,0.2112,78.55,78.55,157.09
35,0.6508,0.6952,1.1454,0.9956,0.1992,0.2066,78.55,78.55,157.09
36,0.6498,0.6925,1.1371,0.9952,0.1993,0.2035,78.55,78.55,157.09
37,0.6537,0.7006,1.1407,0.9955,0.1994,0.1994,78.55,78.55,157.09
38,0.6623,0.7040,1.1209,0.9957,0.1998,0.1968,78.55,78.55,157.09
39,0.6634,0.6992,1.1382,0.9955,0.1996,0.1938,78.55,78.55,157.09
40,0.6613,0.7052,1.1128,0.9927,0.2000,0.1957,78.55,78.55,157.09
41,0.6722,0.7069,1.1103,0.9922,0.2001,0.1959,78.55,78.55,157.09
42,0.6677,0.7033,1.1002,0.9260,0.1960,0.5509,78.55,78.55,157.09
43,0.6677,0.7128,1.0768,0.9934,0.2008,0.1902,78.55,78.55,157.09
44,0.6852,0.7176,1.0478,0.9951,0.2016,0.1818,78.55,78.55,157.09
45,0.6024,0.6389,1.1754,0.9962,0.2017,0.1752,78.55,78.55,157.09
46,0.6746,0.7168,1.0605,0.9912,0.2014,0.1857,78.55,78.55,157.09
47,0.6806,0.7190,1.0738,0.9823,0.2010,0.2054,78.55,78.55,157.09
48,0.6800,0.7177,1.0485,0.9965,0.2032,0.1663,78.55,78.55,157.09
49,0.6884,0.7195,1.0317,0.9960,0.2045,0.1653,78.55,78.55,157.09
50,0.6857,0.7211,1.0412,0.9973,0.2053,0.1613,78.55,78.55,157.09
51,0.6907,0.7238,1.0473,0.9972,0.2062,0.1588,78.55,78.55,157.09
52,0.6869,0.7184,1.0342,0.9970,0.2074,0.1566,78.55,78.55,157.09
53,0.6664,0.7043,1.0474,0.9962,0.2080,0.1569,78.55,78.55,157.09
54,0.6946,0.7219,1.0223,0.9954,0.2097,0.1565,78.55,78.55,157.09
55,0.6786,0.7068,1.0358,0.9971,0.2100,0.1508,78.55,78.55,157.09
56,0.6957,0.7314,1.0064,0.9962,0.2108,0.1514,78.55,78.55,157.09
57,0.6960,0.7237,1.0090,0.9977,0.2129,0.1465,78.55,78.55,157.09
58,0.7111,0.7338,0.9605,0.9301,0.2089,0.6625,78.55,78.55,157.09
59,0.6858,0.7151,0.9965,0.9973,0.2167,0.1440,78.55,78.55,157.09
60,0.6872,0.7175,1.0140,0.9877,0.2132,0.1697,78.55,78.55,157.09
61,0.7079,0.7402,0.9835,0.9973,0.2183,0.1392,78.55,78.55,157.09
62,0.6778,0.6837,1.1883,0.9977,0.2215,0.1380,78.55,78.55,157.09
63,0.7033,0.7334,0.9940,0.9972,0.2221,0.1367,78.55,78.55,157.09
64,0.7001,0.7221,0.9919,0.9960,0.2225,0.1374,78.55,78.55,157.09
65,0.7037,0.7286,0.9756,0.9885,0.2242,0.1597,78.55,78.55,157.09
66,0.7183,0.7389,0.9498,0.9969,0.2282,0.1334,78.55,78.55,157.09
67,0.7100,0.7362,0.9746,0.9967,0.2297,0.1322,78.55,78.55,157.09
68,0.7103,0.7349,0.9528,0.9977,0.2319,0.1288,78.55,78.55,157.09
69,0.7125,0.7314,0.9771,0.9733,0.2293,0.2911,78.55,78.55,157.09
70,0.7158,0.7380,0.9339,0.8846,0.2245,1.3100,78.55,78.55,157.09
71,0.6711,0.6860,1.0363,0.9973,0.2329,0.1268,78.55,78.55,157.09
72,0.7117,0.7332,0.9524,0.9516,0.2318,0.3807,78.55,78.55,157.09
73,0.7102,0.7247,0.9703,0.9726,0.2332,0.2036,78.55,78.55,157.09
74,0.7214,0.7315,0.9500,0.9769,0.2362,0.2319,78.55,78.55,157.09
75,0.6257,0.6403,1.1608,0.9978,0.2457,0.1216,78.55,78.55,157.09
76,0.7149,0.7333,0.9797,0.9505,0.2427,0.4116,78.55,78.55,157.09
77,0.7154,0.7369,0.9499,0.9975,0.2480,0.1215,78.55,78.55,157.09
78,0.7214,0.7446,0.9142,0.9971,0.2528,0.1202,78.55,78.55,157.09
79,0.7181,0.7325,0.9296,0.9978,0.2551,0.1184,78.55,78.55,157.09
80,0.7194,0.7250,0.9567,0.9976,0.2570,0.1165,78.55,78.55,157.09
81,0.7259,0.7371,0.9351,0.9976,0.2590,0.1152,78.55,78.55,157.09
82,0.7173,0.7357,0.9147,0.9977,0.2606,0.1135,78.55,78.55,157.09
83,0.7228,0.7339,0.9631,0.9475,0.2626,0.3256,78.55,78.55,157.09
84,0.7261,0.7408,0.9056,0.9975,0.2663,0.1119,78.55,78.55,157.09
85,0.7334,0.7409,0.9343,0.9780,0.2655,0.2020,78.55,78.55,157.09
86,0.7090,0.7254,0.9338,0.9978,0.2709,0.1103,78.55,78.55,157.09
87,0.7262,0.7334,0.9614,0.9160,0.2609,2.3640,78.55,78.55,157.09
88,0.6778,0.6923,1.0105,0.9965,0.2773,0.1144,78.55,78.55,157.09
89,0.7291,0.7423,0.9259,0.9963,0.2804,0.1112,78.55,78.55,157.09
90,0.7257,0.7360,0.9315,0.9979,0.2821,0.1068,78.55,78.55,157.09
91,0.7231,0.7357,0.9153,0.9980,0.2859,0.1066,78.55,78.55,157.09
92,0.7336,0.7399,0.9250,0.9978,0.2848,0.1048,78.55,78.55,157.09
93,0.7370,0.7487,0.8728,0.9958,0.2863,0.1095,78.55,78.55,157.09
94,0.7309,0.7390,0.9110,0.9979,0.2920,0.1036,78.55,78.55,157.09
95,0.7306,0.7387,0.9079,0.9967,0.2921,0.1066,78.55,78.55,157.09
96,0.7323,0.7340,0.8843,0.9795,0.2954,0.1652,78.55,78.55,157.09
97,0.7331,0.7377,0.8932,0.9979,0.2983,0.1008,78.55,78.55,157.09
98,0.7312,0.7302,0.9213,0.9329,0.2900,1.1949,78.55,78.55,157.09
99,0.7395,0.7330,0.9266,0.9969,0.3021,0.1055,78.55,78.55,157.09
100,0.7140,0.7172,0.9274,0.9978,0.3042,0.1007,78.55,78.55,157.09
101,0.7338,0.7335,0.9220,0.9958,0.3061,0.1079,78.55,78.55,157.09
