round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1121,0.1121,2.3023,0.00,0.00,0.00
2,0.5881,0.1555,1.4302,78.55,78.55,157.09
3,0.6756,0.2034,1.0556,78.55,78.55,157.09
4,0.7475,0.2578,0.8587,78.55,78.55,157.09
5,0.7916,0.2988,0.7177,78.55,78.55,157.09
6,0.8283,0.3347,0.6053,78.55,78.55,157.09
7,0.8576,0.3697,0.5200,78.55,78.55,157.09
8,0.8763,0.3954,0.4547,78.55,78.55,157.09
9,0.8967,0.4300,0.4010,78.55,78.55,157.09
10,0.9114,0.4525,0.3601,78.55,78.55,157.09
11,0.9214,0.4705,0.3251,78.55,78.55,157.09
12,0.9276,0.4866,0.3007,78.55,78.55,157.09
13,0.9352,0.5014,0.2714,78.55,78.55,157.09
14,0.9404,0.5142,0.2520,78.55,78.55,157.09
15,0.9455,0.5285,0.2334,78.55,78.55,157.09
16,0.9495,0.5399,0.2186,78.55,78.55,157.09
17,0.9511,0.5472,0.2043,78.55,78.55,157.09
18,0.9552,0.5577,0.1935,78.55,78.55,157.09
19,0.9585,0.5661,0.1833,78.55,78.55,157.09
20,0.9566,0.5688,0.1731,78.55,78.55,157.09
21,0.9642,0.5876,0.1604,78.55,78.55,157.09
22,0.9650,0.5948,0.1525,78.55,78.55,157.09
23,0.9680,0.5978,0.1427,78.55,78.55,157.09
24,0.9690,0.6024,0.1362,78.55,78.55,157.09
25,0.9704,0.6068,0.1299,78.55,78.55,157.09
26,0.9706,0.6118,0.1235,78.55,78.55,157.09
27,0.9697,0.6182,0.1285,78.55,78.55,157.09
28,0.9690,0.6139,0.1224,78.55,78.55,157.09
29,0.9740,0.6297,0.1107,78.55,78.55,157.09
30,0.9743,0.6336,0.1087,78.55,78.55,157.09
31,0.9742,0.6318,0.1049,78.55,78.55,157.09
32,0.9757,0.6404,0.0998,78.55,78.55,157.09
33,0.9764,0.6455,0.0977,78.55,78.55,157.09
34,0.9768,0.6507,0.0954,78.55,78.55,157.09
35,0.9770,0.6537,0.0937,78.55,78.55,157.09
36,0.9767,0.6601,0.0986,78.55,78.55,157.09
37,0.9788,0.6575,0.0880,78.55,78.55,157.09
38,0.9793,0.6611,0.0841,78.55,78.55,157.09
39,0.9780,0.6601,0.0855,78.55,78.55,157.09
40,0.9807,0.6684,0.0813,78.55,78.55,157.09
41,0.9818,0.6742,0.0774,78.55,78.55,157.09
42,0.9810,0.6746,0.0780,78.55,78.55,157.09
43,0.9815,0.6756,0.0727,78.55,78.55,157.09
44,0.9826,0.6819,0.0708,78.55,78.55,157.09
45,0.9835,0.6829,0.0693,78.55,78.55,157.09
46,0.9833,0.6869,0.0686,78.55,78.55,157.09
47,0.9839,0.6929,0.0667,78.55,78.55,157.09
48,0.9835,0.6871,0.0652,78.55,78.55,157.09
49,0.9830,0.6892,0.0676,78.55,78.55,157.09
50,0.9841,0.6926,0.0623,78.55,78.55,157.09
51,0.9855,0.6956,0.0611,78.55,78.55,157.09
52,0.9854,0.6966,0.0595,78.55,78.55,157.09
53,0.9846,0.6945,0.0598,78.55,78.55,157.09
54,0.9849,0.7015,0.0585,78.55,78.55,157.09
55,0.9857,0.7002,0.0568,78.55,78.55,157.09
56,0.9842,0.6996,0.0595,78.55,78.55,157.09
57,0.9868,0.7016,0.0550,78.55,78.55,157.09
58,0.9857,0.7015,0.0566,78.55,78.55,157.09
59,0.9866,0.7046,0.0520,78.55,78.55,157.09
60,0.9855,0.7006,0.0548,78.55,78.55,157.09
61,0.9863,0.7069,0.0514,78.55,78.55,157.09
62,0.9847,0.7036,0.0538,78.55,78.55,157.09
63,0.9874,0.7104,0.0490,78.55,78.55,157.09
64,0.9874,0.7092,0.0486,78.55,78.55,157.09
65,0.9871,0.7114,0.0489,78.55,78.55,157.09
66,0.9882,0.7138,0.0468,78.55,78.55,157.09
67,0.9874,0.7117,0.0470,78.55,78.55,157.09
68,0.9872,0.7158,0.0467,78.55,78.55,157.09
69,0.9874,0.7127,0.0467,78.55,78.55,157.09
70,0.9878,0.7146,0.0442,78.55,78.55,157.09
71,0.9875,0.7174,0.0447,78.55,78.55,157.09
72,0.9880,0.7127,0.0433,78.55,78.55,157.09
73,0.9878,0.7143,0.0430,78.55,78.55,157.09
74,0.9883,0.7180,0.0423,78.55,78.55,157.09
75,0.9882,0.7172,0.0423,78.55,78.55,157.09
76,0.9866,0.7180,0.0488,78.55,78.55,157.09
77,0.9884,0.7162,0.0419,78.55,78.55,157.09
78,0.9876,0.7192,0.0428,78.55,78.55,157.09
79,0.9883,0.7195,0.0403,78.55,78.55,157.09
80,0.9889,0.7238,0.0407,78.55,78.55,157.09
81,0.9851,0.7191,0.0436,78.55,78.55,157.09
82,0.9886,0.7219,0.0393,78.55,78.55,157.09
83,0.9895,0.7248,0.0391,78.55,78.55,157.09
84,0.9848,0.7253,0.0537,78.55,78.55,157.09
85,0.9885,0.7181,0.0394,78.55,78.55,157.09
86,0.9895,0.7240,0.0373,78.55,78.55,157.09
87,0.9890,0.7230,0.0388,78.55,78.55,157.09
88,0.9896,0.7240,0.0376,78.55,78.55,157.09
89,0.9898,0.7267,0.0347,78.55,78.55,157.09
90,0.9897,0.7280,0.0348,78.55,78.55,157.09
91,0.9896,0.7299,0.0350,78.55,78.55,157.09
92,0.9884,0.7226,0.0360,78.55,78.55,157.09
93,0.9900,0.7302,0.0339,78.55,78.55,157.09
94,0.9904,0.7319,0.0340,78.55,78.55,157.09
95,0.9901,0.7326,0.0335,78.55,78.55,157.09
96,0.9903,0.7294,0.0324,78.55,78.55,157.09
97,0.9902,0.7317,0.0336,78.55,78.55,157.09
98,0.9895,0.7316,0.0356,78.55,78.55,157.09
99,0.9886,0.7254,0.0360,78.55,78.55,157.09
100,0.9902,0.7287,0.0322,78.55,78.55,157.09
101,0.9898,0.7293,0.0327,78.55,78.55,157.09
