round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1106,0.1106,2.3024,0.00,0.00,0.00
2,0.7950,0.1167,1.2391,196.36,196.36,392.73
3,0.8587,0.1281,0.8824,196.36,196.36,392.73
4,0.9001,0.1422,0.5406,196.36,196.36,392.73
5,0.9304,0.1548,0.3603,196.36,196.36,392.73
6,0.9461,0.1650,0.2555,196.36,196.36,392.73
7,0.9619,0.1745,0.2172,196.36,196.36,392.73
8,0.9675,0.1777,0.1892,196.36,196.36,392.73
9,0.9732,0.1821,0.1560,196.36,196.36,392.73
10,0.9764,0.1841,0.1343,196.36,196.36,392.73
11,0.9791,0.1865,0.1190,196.36,196.36,392.73
12,0.9799,0.1883,0.1093,196.36,196.36,392.73
13,0.9845,0.1919,0.0941,196.36,196.36,392.73
14,0.9855,0.1918,0.0859,196.36,196.36,392.73
15,0.9861,0.1928,0.0801,196.36,196.36,392.73
16,0.9878,0.1937,0.0731,196.36,196.36,392.73
17,0.9881,0.1948,0.0704,196.36,196.36,392.73
18,0.9890,0.1945,0.0639,196.36,196.36,392.73
19,0.9908,0.1957,0.0599,196.36,196.36,392.73
20,0.9901,0.1963,0.0568,196.36,196.36,392.73
21,0.9903,0.1961,0.0549,196.36,196.36,392.73
22,0.9902,0.1961,0.0514,196.36,196.36,392.73
23,0.9909,0.1968,0.0518,196.36,196.36,392.73
24,0.9912,0.1958,0.0490,196.36,196.36,392.73
25,0.9912,0.1963,0.0469,196.36,196.36,392.73
26,0.9925,0.1971,0.0450,196.36,196.36,392.73
27,0.9922,0.1973,0.0427,196.36,196.36,392.73
28,0.9930,0.1974,0.0414,196.36,196.36,392.73
29,0.9925,0.1970,0.0403,196.36,196.36,392.73
30,0.9924,0.1972,0.0392,196.36,196.36,392.73
31,0.9933,0.1976,0.0379,196.36,196.36,392.73
32,0.9930,0.1976,0.0373,196.36,196.36,392.73
33,0.9933,0.1978,0.0344,196.36,196.36,392.73
34,0.9931,0.1977,0.0341,196.36,196.36,392.73
35,0.9930,0.1977,0.0344,196.36,196.36,392.73
36,0.9938,0.1974,0.0329,196.36,196.36,392.73
37,0.9936,0.1977,0.0321,196.36,196.36,392.73
38,0.9941,0.1974,0.0323,196.36,196.36,392.73
39,0.9944,0.1980,0.0301,196.36,196.36,392.73
40,0.9943,0.1979,0.0299,196.36,196.36,392.73
41,0.9940,0.1981,0.0281,196.36,196.36,392.73
42,0.9934,0.1978,0.0284,196.36,196.36,392.73
43,0.9937,0.1982,0.0293,196.36,196.36,392.73
44,0.9944,0.1982,0.0278,196.36,196.36,392.73
45,0.9947,0.1982,0.0264,196.36,196.36,392.73
46,0.9947,0.1982,0.0260,196.36,196.36,392.73
47,0.9945,0.1983,0.0253,196.36,196.36,392.73
48,0.9947,0.1982,0.0249,196.36,196.36,392.73
49,0.9945,0.1984,0.0245,196.36,196.36,392.73
50,0.9943,0.1984,0.0246,196.36,196.36,392.73
51,0.9954,0.1985,0.0244,196.36,196.36,392.73
52,0.9946,0.1985,0.0233,196.36,196.36,392.73
53,0.9953,0.1984,0.0221,196.36,196.36,392.73
54,0.9942,0.1985,0.0265,196.36,196.36,392.73
55,0.9949,0.1986,0.0219,196.36,196.36,392.73
56,0.9947,0.1982,0.0225,196.36,196.36,392.73
57,0.9950,0.1984,0.0202,196.36,196.36,392.73
58,0.9958,0.1986,0.0196,196.36,196.36,392.73
