round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1121,0.1121,2.3023,0.00,78.55,78.55
2,0.1797,0.2542,2.4010,78.55,78.55,157.09
3,0.2557,0.3668,2.2112,78.55,78.55,157.09
4,0.3146,0.4383,2.0501,78.55,78.55,157.09
5,0.3750,0.5174,1.9119,78.55,78.55,157.09
6,0.4170,0.5676,1.7947,78.55,78.55,157.09
7,0.4747,0.6379,1.6820,78.55,78.55,157.09
8,0.5097,0.6814,1.5855,78.55,78.55,157.09
9,0.5428,0.7191,1.5027,78.55,78.55,157.09
10,0.5633,0.7417,1.4319,78.55,78.55,157.09
11,0.5730,0.7572,1.3820,78.55,78.55,157.09
12,0.5875,0.7749,1.3385,78.55,78.55,157.09
13,0.5924,0.7824,1.3192,78.55,78.55,157.09
14,0.6025,0.7964,1.2832,78.55,78.55,157.09
15,0.6084,0.8004,1.2720,78.55,78.55,157.09
16,0.6052,0.8033,1.2782,78.55,78.55,157.09
17,0.6149,0.8108,1.2634,78.55,78.55,157.09
18,0.6167,0.8133,1.2634,78.55,78.55,157.09
19,0.6151,0.8166,1.2336,78.55,78.55,157.09
20,0.6161,0.8192,1.2637,78.55,78.55,157.09
21,0.6119,0.8194,1.2582,78.55,78.55,157.09
22,0.6103,0.8204,1.2616,78.55,78.55,157.09
23,0.6139,0.8222,1.2655,78.55,78.55,157.09
24,0.6058,0.8177,1.2994,78.55,78.55,157.09
25,0.5979,0.8160,1.3112,78.55,78.55,157.09
26,0.6029,0.8214,1.3049,78.55,78.55,157.09
27,0.5937,0.8172,1.3117,78.55,78.55,157.09
28,0.5936,0.8183,1.3305,78.55,78.55,157.09
29,0.5997,0.8235,1.3267,78.55,78.55,157.09
30,0.6031,0.8257,1.3263,78.55,78.55,157.09
31,0.5969,0.8245,1.3598,78.55,78.55,157.09
32,0.5926,0.8246,1.3656,78.55,78.55,157.09
33,0.5978,0.8257,1.3577,78.55,78.55,157.09
34,0.5951,0.8242,1.3619,78.55,78.55,157.09
35,0.5930,0.8252,1.3813,78.55,78.55,157.09
36,0.5919,0.8238,1.3947,78.55,78.55,157.09
37,0.5931,0.8281,1.3818,78.55,78.55,157.09
38,0.5934,0.8268,1.3781,78.55,78.55,157.09
39,0.5972,0.8296,1.3841,78.55,78.55,157.09
40,0.5944,0.8287,1.4060,78.55,78.55,157.09
41,0.5933,0.8295,1.4177,78.55,78.55,157.09
42,0.5840,0.8260,1.4243,78.55,78.55,157.09
43,0.5867,0.8272,1.4274,78.55,78.55,157.09
44,0.5925,0.8304,1.4159,78.55,78.55,157.09
45,0.5874,0.8280,1.4288,78.55,78.55,157.09
46,0.5878,0.8293,1.4277,78.55,78.55,157.09
47,0.5893,0.8321,1.4196,78.55,78.55,157.09
48,0.5891,0.8314,1.4356,78.55,78.55,157.09
49,0.5958,0.8350,1.4367,78.55,78.55,157.09
50,0.5928,0.8336,1.4564,78.55,78.55,157.09
51,0.5972,0.8342,1.4444,78.55,78.55,157.09
52,0.5945,0.8362,1.4431,78.55,78.55,157.09
53,0.5920,0.8361,1.4280,78.55,78.55,157.09
54,0.5889,0.8335,1.4415,78.55,78.55,157.09
55,0.5874,0.8343,1.4428,78.55,78.55,157.09
56,0.5882,0.8351,1.4348,78.55,78.55,157.09
57,0.5878,0.8333,1.4620,78.55,78.55,157.09
58,0.5889,0.8333,1.4450,78.55,78.55,157.09
59,0.5916,0.8316,1.5132,78.55,78.55,157.09
60,0.5960,0.8367,1.4501,78.55,78.55,157.09
61,0.5906,0.8344,1.5012,78.55,78.55,157.09
62,0.5937,0.8350,1.4680,78.55,78.55,157.09
63,0.5885,0.8365,1.4721,78.55,78.55,157.09
64,0.5897,0.8378,1.4742,78.55,78.55,157.09
65,0.6042,0.8462,1.4469,78.55,78.55,157.09
66,0.6008,0.8423,1.4267,78.55,78.55,157.09
67,0.5982,0.8404,1.4738,78.55,78.55,157.09
68,0.5949,0.8402,1.4618,78.55,78.55,157.09
69,0.5946,0.8391,1.4894,78.55,78.55,157.09
70,0.5923,0.8406,1.4751,78.55,78.55,157.09
71,0.6037,0.8461,1.4584,78.55,78.55,157.09
72,0.5955,0.8424,1.4578,78.55,78.55,157.09
73,0.5956,0.8404,1.4684,78.55,78.55,157.09
74,0.6047,0.8457,1.4479,78.55,78.55,157.09
75,0.6013,0.8446,1.4832,78.55,78.55,157.09
76,0.5987,0.8434,1.4760,78.55,78.55,157.09
77,0.5962,0.8414,1.4708,78.55,78.55,157.09
78,0.6095,0.8461,1.5142,78.55,78.55,157.09
79,0.5950,0.8408,1.4952,78.55,78.55,157.09
80,0.6062,0.8486,1.4781,78.55,78.55,157.09
81,0.6042,0.8456,1.4993,78.55,78.55,157.09
