round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1124,0.1124,2.3024,0.00,78.55,78.55
2,0.1244,0.1357,2.4686,78.55,78.55,157.09
3,0.1358,0.3078,2.3719,78.55,78.55,157.09
4,0.1758,0.3950,2.2601,78.55,78.55,157.09
5,0.2902,0.4347,2.1574,78.55,78.55,157.09
6,0.3248,0.4676,2.0636,78.55,78.55,157.09
7,0.3614,0.4919,1.9755,78.55,78.55,157.09
8,0.3953,0.5054,1.8969,78.55,78.55,157.09
9,0.4190,0.5339,1.8267,78.55,78.55,157.09
10,0.4457,0.5442,1.7608,78.55,78.55,157.09
11,0.4656,0.5573,1.7126,78.55,78.55,157.09
12,0.4873,0.5719,1.6601,78.55,78.55,157.09
13,0.5001,0.5776,1.6135,78.55,78.55,157.09
14,0.5139,0.5828,1.5651,78.55,78.55,157.09
15,0.5230,0.5983,1.5293,78.55,78.55,157.09
16,0.5324,0.5995,1.5026,78.55,78.55,157.09
17,0.5536,0.6222,1.4713,78.55,78.55,157.09
18,0.5683,0.6301,1.4267,78.55,78.55,157.09
19,0.5630,0.6220,1.4077,78.55,78.55,157.09
20,0.5767,0.6396,1.3845,78.55,78.55,157.09
21,0.5909,0.6480,1.3664,78.55,78.55,157.09
22,0.5924,0.6502,1.3404,78.55,78.55,157.09
23,0.5940,0.6561,1.3301,78.55,78.55,157.09
24,0.6035,0.6593,1.2908,78.55,78.55,157.09
25,0.6105,0.6689,1.2851,78.55,78.55,157.09
26,0.6134,0.6693,1.2697,78.55,78.55,157.09
27,0.6168,0.6727,1.2492,78.55,78.55,157.09
28,0.6226,0.6751,1.2385,78.55,78.55,157.09
29,0.6343,0.6820,1.2191,78.55,78.55,157.09
30,0.6305,0.6736,1.2180,78.55,78.55,157.09
31,0.6403,0.6875,1.1870,78.55,78.55,157.09
32,0.6413,0.6872,1.1781,78.55,78.55,157.09
33,0.6466,0.6923,1.1541,78.55,78.55,157.09
34,0.6547,0.6920,1.1874,78.55,78.55,157.09
35,0.6504,0.6986,1.1449,78.55,78.55,157.09
36,0.6545,0.6986,1.1269,78.55,78.55,157.09
37,0.6622,0.6990,1.1273,78.55,78.55,157.09
38,0.6641,0.6921,1.1851,78.55,78.55,157.09
39,0.6611,0.7004,1.1283,78.55,78.55,157.09
40,0.6682,0.7080,1.1101,78.55,78.55,157.09
41,0.6707,0.7059,1.0982,78.55,78.55,157.09
42,0.6699,0.7137,1.0847,78.55,78.55,157.09
43,0.6810,0.7177,1.0586,78.55,78.55,157.09
44,0.6578,0.7033,1.0698,78.55,78.55,157.09
45,0.6772,0.7160,1.0647,78.55,78.55,157.09
46,0.6840,0.7223,1.0349,78.55,78.55,157.09
47,0.6816,0.7174,1.0568,78.55,78.55,157.09
48,0.6862,0.7219,1.0483,78.55,78.55,157.09
49,0.6866,0.7239,1.0381,78.55,78.55,157.09
50,0.6867,0.7212,1.0315,78.55,78.55,157.09
51,0.6915,0.7246,1.0160,78.55,78.55,157.09
52,0.6920,0.7246,1.0480,78.55,78.55,157.09
53,0.6910,0.7263,1.0121,78.55,78.55,157.09
54,0.6986,0.7228,1.0505,78.55,78.55,157.09
55,0.6936,0.7324,1.0127,78.55,78.55,157.09
56,0.6966,0.7256,1.0121,78.55,78.55,157.09
57,0.6994,0.7300,1.0223,78.55,78.55,157.09
58,0.7003,0.7343,0.9918,78.55,78.55,157.09
59,0.7049,0.7362,0.9829,78.55,78.55,157.09
60,0.7090,0.7370,0.9698,78.55,78.55,157.09
61,0.7069,0.7314,0.9969,78.55,78.55,157.09
62,0.6987,0.7190,1.0298,78.55,78.55,157.09
63,0.7133,0.7353,0.9741,78.55,78.55,157.09
64,0.6897,0.7230,0.9698,78.55,78.55,157.09
65,0.7158,0.7360,0.9818,78.55,78.55,157.09
66,0.7073,0.7355,0.9701,78.55,78.55,157.09
67,0.7113,0.7219,1.0271,78.55,78.55,157.09
